VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	PUERTO TALARA	2020-12-04 00:00:00	2020-12-04 23:59:59	23:53:00	23:53:00	00:07:00
CHIMERA	PUERTO TALARA	2020-12-04 00:00:00	2020-12-04 23:59:59	21:59:00	21:59:00	02:01:00
CHIP II	FLOTANTE PN	2020-12-04 00:00:00	2020-12-04 23:59:59	04:10:00	04:10:00	13:29:00
CHIP II	DD	2020-12-04 00:00:00	2020-12-04 23:59:59	00:30:00	00:37:00	--
CHIP II	PN4	2020-12-04 00:00:00	2020-12-04 23:59:59	00:17:00	00:19:00	--
CHIP II	UU	2020-12-04 00:00:00	2020-12-04 23:59:59	00:08:00	00:12:00	--
CHIP II	PN5	2020-12-04 00:00:00	2020-12-04 23:59:59	00:06:00	00:13:00	--
CHIP II	NN	2020-12-04 00:00:00	2020-12-04 23:59:59	00:08:00	00:16:00	--
CHIP II	GG	2020-12-04 00:00:00	2020-12-04 23:59:59	00:12:00	00:17:00	--
CHIP II	TT	2020-12-04 00:00:00	2020-12-04 23:59:59	00:10:00	00:22:00	--
CHIP II	A2	2020-12-04 00:00:00	2020-12-04 23:59:59	00:06:00	00:09:00	--
CHIP II	FF	2020-12-04 00:00:00	2020-12-04 23:59:59	00:06:00	00:06:00	--
CHIP II	M	2020-12-04 00:00:00	2020-12-04 23:59:59	00:07:00	00:08:00	--
CHIP II	CAMPO PENA NEGRA	2020-12-04 00:00:00	2020-12-04 23:59:59	03:22:00	03:22:00	--
CHIP II	PN14	2020-12-04 00:00:00	2020-12-04 23:59:59	00:05:00	00:05:00	--
CHIP II	SS	2020-12-04 00:00:00	2020-12-04 23:59:59	00:04:00	00:04:00	--
CHIP II	R	2020-12-04 00:00:00	2020-12-04 23:59:59	00:10:00	00:10:00	--
CHIP II	PN11	2020-12-04 00:00:00	2020-12-04 23:59:59	00:01:00	00:01:00	--
CHIRIBAY	PUERTO TALARA	2020-12-04 00:00:00	2020-12-04 23:59:59	23:52:00	23:52:00	00:08:00
D.VICTOR	PUERTO TALARA	2020-12-04 00:00:00	2020-12-04 23:59:59	20:59:00	22:59:00	01:00:00
D.VICTOR	MC DONALD	2020-12-04 00:00:00	2020-12-04 23:59:59	00:01:00	00:01:00	--
DONALD R	FLOTANTE LO	2020-12-04 00:00:00	2020-12-04 23:59:59	10:11:00	10:11:00	05:12:00
DONALD R	CAMPO LOBITOS	2020-12-04 00:00:00	2020-12-04 23:59:59	00:16:00	03:30:00	--
DONALD R	H	2020-12-04 00:00:00	2020-12-04 23:59:59	00:06:00	00:06:00	--
DONALD R	LO9	2020-12-04 00:00:00	2020-12-04 23:59:59	00:09:00	00:09:00	--
DONALD R	ZZ	2020-12-04 00:00:00	2020-12-04 23:59:59	00:13:00	00:24:00	--
DONALD R	LO19	2020-12-04 00:00:00	2020-12-04 23:59:59	00:09:00	00:09:00	--
