Diciembre 6	BUCKLEY	06/12/2020 00:00:27	06/12/2020 23:58:27	23H 58M		On	Ca.S/N Ub Barrio Acapulco, Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5724048	-81.2754302	0	1,73
Diciembre 6	CHIMERA	06/12/2020 00:00:00	06/12/2020 00:53:08	53M		Off	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5700500	-81.2909664	0	0
Diciembre 6	CHIMERA	06/12/2020 00:53:08	06/12/2020 08:53:01	8H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5700500	-81.2909664	0	0,09
Diciembre 6	CHIMERA	06/12/2020 09:53:19	06/12/2020 18:08:51	8H 16M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5701000	-81.2917166	0,12	0,28
Diciembre 6	CHIMERA	06/12/2020 19:29:54	06/12/2020 23:30:03	4H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5700500	-81.2910664	3,39	6,51
Diciembre 6	CHIMERA	06/12/2020 23:30:03	06/12/2020 23:59:59	30M		Off	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5700165	-81.2911500	6,51	6,51
Diciembre 6	CHIP II	06/12/2020 00:00:00	06/12/2020 07:26:39	7H 27M		Off	PI-100, Lobitos Piura, PER	Flotante PN	-4.3238528	-81.2897919	0	1,07
Diciembre 6	CHIP II	06/12/2020 07:30:57	06/12/2020 07:39:00	8M		On	El Alto Piura, PER	DD	-4.3097849	-81.2783400	2,12	1,17
Diciembre 6	CHIP II	06/12/2020 07:43:30	06/12/2020 07:51:18	8M		On	El Alto Piura, PER	NN	-4.3026000	-81.2702549	3,37	2,48
Diciembre 6	CHIP II	06/12/2020 07:55:15	06/12/2020 08:00:48	6M		On	El Alto Piura, PER	GG	-4.3008899	-81.2787900	4,56	3,62
Diciembre 6	CHIP II	06/12/2020 08:17:09	06/12/2020 08:38:45	22M		On	El Alto Piura, PER	OO	-4.3022999	-81.3188699	9,12	8,29
Diciembre 6	CHIP II	06/12/2020 08:47:00	06/12/2020 09:01:57	15M		On	El Alto Piura, PER	LL	-4.2941247	-81.3054079	11,11	10,53
