VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2020-12-26 00:00:00;2020-12-26 23:59:59;23:53:00;23:53:00;00:07:00
CHIMERA;PUERTO TALARA;2020-12-26 00:00:00;2020-12-26 23:59:59;21:59:00;21:59:00;01:02:00
CHIMERA;RIO AMAZONAS;2020-12-26 00:00:00;2020-12-26 23:59:59;00:59:00;00:59:00;--
CHIP II;FLOTANTE PN;2020-12-26 00:00:00;2020-12-26 23:59:59;01:37:00;01:37:00;12:24:00
CHIP II;DD;2020-12-26 00:00:00;2020-12-26 23:59:59;00:44:00;00:53:00;--
CHIP II;GG;2020-12-26 00:00:00;2020-12-26 23:59:59;01:45:00;01:59:00;--
CHIP II;TT;2020-12-26 00:00:00;2020-12-26 23:59:59;01:18:00;01:22:00;--
CHIP II;A2;2020-12-26 00:00:00;2020-12-26 23:59:59;00:08:00;00:10:00;--
CHIP II;R;2020-12-26 00:00:00;2020-12-26 23:59:59;00:57:00;01:01:00;--
CHIP II;M;2020-12-26 00:00:00;2020-12-26 23:59:59;00:07:00;00:07:00;--
CHIP II;PN5;2020-12-26 00:00:00;2020-12-26 23:59:59;00:08:00;00:11:00;--
CHIP II;NN;2020-12-26 00:00:00;2020-12-26 23:59:59;00:14:00;00:29:00;--
CHIP II;CAMPO PENA NEGRA;2020-12-26 00:00:00;2020-12-26 23:59:59;03:17:00;03:17:00;--
CHIP II;PN11;2020-12-26 00:00:00;2020-12-26 23:59:59;00:01:00;00:01:00;--
CHIP II;PN4;2020-12-26 00:00:00;2020-12-26 23:59:59;00:08:00;00:08:00;--
CHIP II;FF;2020-12-26 00:00:00;2020-12-26 23:59:59;00:05:00;00:05:00;--
CHIP II;SS;2020-12-26 00:00:00;2020-12-26 23:59:59;00:05:00;00:05:00;--
CHIP II;UU;2020-12-26 00:00:00;2020-12-26 23:59:59;00:05:00;00:05:00;--
CHIP II;PN14;2020-12-26 00:00:00;2020-12-26 23:59:59;00:05:00;00:05:00;--
CHIP II;Z;2020-12-26 00:00:00;2020-12-26 23:59:59;00:01:00;00:01:00;--
CHIRIBAY;CAMPO PENA NEGRA;2020-12-26 00:00:00;2020-12-26 23:59:59;17:31:00;17:31:00;00:08:00
CHIRIBAY;Z;2020-12-26 00:00:00;2020-12-26 23:59:59;00:01:00;00:01:00;--
CHIRIBAY;TT;2020-12-26 00:00:00;2020-12-26 23:59:59;06:20:00;06:20:00;--
D.VICTOR;PUERTO TALARA;2020-12-26 00:00:00;2020-12-26 23:59:59;23:00:00;23:00:00;01:00:00
DONALD R;FLOTANTE LO;2020-12-26 00:00:00;2020-12-26 23:59:59;05:14:00;05:14:00;05:09:00
DONALD R;H;2020-12-26 00:00:00;2020-12-26 23:59:59;00:11:00;00:11:00;--
DONALD R;LO9;2020-12-26 00:00:00;2020-12-26 23:59:59;00:09:00;00:09:00;--
DONALD R;ZZ;2020-12-26 00:00:00;2020-12-26 23:59:59;00:22:00;00:22:00;--
DONALD R;LO10;2020-12-26 00:00:00;2020-12-26 23:59:59;04:49:00;04:56:00;--
DONALD R;LO13;2020-12-26 00:00:00;2020-12-26 23:59:59;00:53:00;00:55:00;--
DONALD R;LO14;2020-12-26 00:00:00;2020-12-26 23:59:59;00:30:00;00:32:00;--
DONALD R;LO18;2020-12-26 00:00:00;2020-12-26 23:59:59;00:15:00;00:15:00;--
DONALD R;CAMPO LOBITOS;2020-12-26 00:00:00;2020-12-26 23:59:59;05:49:00;05:49:00;--
DONALD R;LO8;2020-12-26 00:00:00;2020-12-26 23:59:59;00:10:00;00:10:00;--
DONALD R;LO11;2020-12-26 00:00:00;2020-12-26 23:59:59;00:03:00;00:03:00;--
DONALD R;U;2020-12-26 00:00:00;2020-12-26 23:59:59;00:01:00;00:01:00;--
DONALD R;LO16;2020-12-26 00:00:00;2020-12-26 23:59:59;00:14:00;00:14:00;--
ELIZABET;PN3;2020-12-26 00:00:00;2020-12-26 23:59:59;19:43:00;19:43:00;00:04:00
ELIZABET;CAMPO PENA NEGRA;2020-12-26 00:00:00;2020-12-26 23:59:59;04:13:00;04:13:00;--
HIPPO;MC DONALD;2020-12-26 00:00:00;2020-12-26 23:59:59;23:52:00;23:52:00;00:08:00
IRIS;FLOTANTE PN;2020-12-26 00:00:00;2020-12-26 23:59:59;08:41:00;10:19:00;00:14:00
IRIS;CAMPO PENA NEGRA;2020-12-26 00:00:00;2020-12-26 23:59:59;01:21:00;07:05:00;--
IRIS;HH;2020-12-26 00:00:00;2020-12-26 23:59:59;00:06:00;00:16:00;--
IRIS;Z;2020-12-26 00:00:00;2020-12-26 23:59:59;00:07:00;00:17:00;--
IRIS;DD;2020-12-26 00:00:00;2020-12-26 23:59:59;00:38:00;00:40:00;--
IRIS;KK;2020-12-26 00:00:00;2020-12-26 23:59:59;00:55:00;01:07:00;--
IRIS;OO;2020-12-26 00:00:00;2020-12-26 23:59:59;01:08:00;01:16:00;--
IRIS;PN8;2020-12-26 00:00:00;2020-12-26 23:59:59;00:24:00;00:26:00;--
IRIS;R;2020-12-26 00:00:00;2020-12-26 23:59:59;00:06:00;00:08:00;--
IRIS;GG;2020-12-26 00:00:00;2020-12-26 23:59:59;00:07:00;00:08:00;--
IRIS;NN;2020-12-26 00:00:00;2020-12-26 23:59:59;00:07:00;00:09:00;--
IRIS;PN2;2020-12-26 00:00:00;2020-12-26 23:59:59;00:06:00;00:08:00;--
IRIS;PN3;2020-12-26 00:00:00;2020-12-26 23:59:59;00:19:00;00:29:00;--
IRIS;PN1;2020-12-26 00:00:00;2020-12-26 23:59:59;00:11:00;00:14:00;--
IRIS;TT;2020-12-26 00:00:00;2020-12-26 23:59:59;00:06:00;00:06:00;--
IRIS;PN11;2020-12-26 00:00:00;2020-12-26 23:59:59;00:01:00;00:01:00;--
IRIS;PN4;2020-12-26 00:00:00;2020-12-26 23:59:59;00:16:00;00:16:00;--
IRIS;A2;2020-12-26 00:00:00;2020-12-26 23:59:59;00:01:00;00:01:00;--
IRIS;PN5;2020-12-26 00:00:00;2020-12-26 23:59:59;00:08:00;00:08:00;--
IRIS;PN7;2020-12-26 00:00:00;2020-12-26 23:59:59;00:05:00;00:05:00;--
IRIS;BB;2020-12-26 00:00:00;2020-12-26 23:59:59;00:06:00;00:06:00;--
IRIS;PN9;2020-12-26 00:00:00;2020-12-26 23:59:59;00:06:00;00:06:00;--
IRIS;LL;2020-12-26 00:00:00;2020-12-26 23:59:59;00:15:00;00:15:00;--
KELLEY;SP1-A;2020-12-26 00:00:00;2020-12-26 23:59:59;01:00:00;02:59:00;02:02:00
KELLEY;CAMPO SAN PEDRO;2020-12-26 00:00:00;2020-12-26 23:59:59;09:00:00;14:00:00;--
KELLEY;ES1;2020-12-26 00:00:00;2020-12-26 23:59:59;01:00:00;02:59:00;--
KELLEY;SP1;2020-12-26 00:00:00;2020-12-26 23:59:59;02:00:00;02:00:00;--
