VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	PUERTO TALARA	2020-11-19 00:00:00	2020-11-19 23:59:59	23:53:00	23:53:00	00:07:00
CHIMERA	PUERTO TALARA	2020-11-19 00:00:00	2020-11-19 23:59:59	13:50:00	22:18:00	00:42:00
CHIMERA	CAMPO LOBITOS	2020-11-19 00:00:00	2020-11-19 23:59:59	01:00:00	01:00:00	--
CHIP II	FLOTANTE PN	2020-11-19 00:00:00	2020-11-19 23:59:59	00:59:00	00:59:00	13:35:00
CHIP II	CAMPO PENA NEGRA	2020-11-19 00:00:00	2020-11-19 23:59:59	01:11:00	03:22:00	--
CHIP II	DD	2020-11-19 00:00:00	2020-11-19 23:59:59	00:08:00	00:27:00	--
CHIP II	PN4	2020-11-19 00:00:00	2020-11-19 23:59:59	01:13:00	01:13:00	--
CHIP II	GG	2020-11-19 00:00:00	2020-11-19 23:59:59	02:07:00	02:07:00	--
CHIP II	NN	2020-11-19 00:00:00	2020-11-19 23:59:59	00:13:00	00:24:00	--
CHIP II	PN14	2020-11-19 00:00:00	2020-11-19 23:59:59	00:05:00	00:06:00	--
CHIP II	UU	2020-11-19 00:00:00	2020-11-19 23:59:59	00:07:00	00:16:00	--
CHIP II	R	2020-11-19 00:00:00	2020-11-19 23:59:59	00:08:00	00:24:00	--
CHIP II	FF	2020-11-19 00:00:00	2020-11-19 23:59:59	00:09:00	00:09:00	--
CHIP II	M	2020-11-19 00:00:00	2020-11-19 23:59:59	00:06:00	00:07:00	--
CHIP II	A2	2020-11-19 00:00:00	2020-11-19 23:59:59	00:06:00	00:06:00	--
CHIP II	TT	2020-11-19 00:00:00	2020-11-19 23:59:59	00:09:00	00:10:00	--
CHIP II	KK	2020-11-19 00:00:00	2020-11-19 23:59:59	00:06:00	00:16:00	--
CHIP II	PN11	2020-11-19 00:00:00	2020-11-19 23:59:59	00:01:00	00:01:00	--
CHIP II	PN5	2020-11-19 00:00:00	2020-11-19 23:59:59	00:08:00	00:08:00	--
CHIP II	SS	2020-11-19 00:00:00	2020-11-19 23:59:59	00:05:00	00:05:00	--
CHIP II	OO	2020-11-19 00:00:00	2020-11-19 23:59:59	00:04:00	00:04:00	--
CHIP II	Z	2020-11-19 00:00:00	2020-11-19 23:59:59	00:01:00	00:01:00	--
CHIRIBAY	PUERTO TALARA	2020-11-19 00:00:00	2020-11-19 23:59:59	23:53:00	23:53:00	00:07:00
D.VICTOR	MC DONALD	2020-11-19 00:00:00	2020-11-19 23:59:59	23:00:00	23:00:00	01:00:00
