VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;15:45:00;16:34:00;00:10:00
BUCKLEY;FLOTANTE PN;2020-11-30 00:00:00;2020-11-30 23:59:59;00:32:00;00:36:00;--
BUCKLEY;GG;2020-11-30 00:00:00;2020-11-30 23:59:59;00:33:00;00:34:00;--
BUCKLEY;NN;2020-11-30 00:00:00;2020-11-30 23:59:59;00:34:00;00:35:00;--
BUCKLEY;PN14;2020-11-30 00:00:00;2020-11-30 23:59:59;00:22:00;00:22:00;--
BUCKLEY;DD;2020-11-30 00:00:00;2020-11-30 23:59:59;00:32:00;00:32:00;--
BUCKLEY;PN11;2020-11-30 00:00:00;2020-11-30 23:59:59;00:18:00;00:18:00;--
BUCKLEY;PN4;2020-11-30 00:00:00;2020-11-30 23:59:59;00:40:00;00:40:00;--
BUCKLEY;PN7;2020-11-30 00:00:00;2020-11-30 23:59:59;00:17:00;00:17:00;--
BUCKLEY;TORTUGA;2020-11-30 00:00:00;2020-11-30 23:59:59;00:01:00;00:01:00;--
BUCKLEY;CAMPO LOBITOS;2020-11-30 00:00:00;2020-11-30 23:59:59;01:56:00;01:56:00;--
BUCKLEY;LO10;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
BUCKLEY;CAMPO PENA NEGRA;2020-11-30 00:00:00;2020-11-30 23:59:59;01:17:00;01:17:00;--
CHIMERA;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;22:00:00;22:59:00;01:01:00
CHIP II;FLOTANTE PN;2020-11-30 00:00:00;2020-11-30 23:59:59;01:02:00;01:02:00;13:03:00
CHIP II;CAMPO PENA NEGRA;2020-11-30 00:00:00;2020-11-30 23:59:59;00:41:00;03:02:00;--
CHIP II;PN4;2020-11-30 00:00:00;2020-11-30 23:59:59;00:16:00;00:24:00;--
CHIP II;PN14;2020-11-30 00:00:00;2020-11-30 23:59:59;00:14:00;00:16:00;--
CHIP II;NN;2020-11-30 00:00:00;2020-11-30 23:59:59;00:05:00;00:17:00;--
CHIP II;PN5;2020-11-30 00:00:00;2020-11-30 23:59:59;01:24:00;01:31:00;--
CHIP II;GG;2020-11-30 00:00:00;2020-11-30 23:59:59;00:11:00;00:11:00;--
CHIP II;R;2020-11-30 00:00:00;2020-11-30 23:59:59;00:12:00;00:12:00;--
CHIP II;TT;2020-11-30 00:00:00;2020-11-30 23:59:59;00:14:00;00:14:00;--
CHIP II;FF;2020-11-30 00:00:00;2020-11-30 23:59:59;00:07:00;00:07:00;--
CHIP II;M;2020-11-30 00:00:00;2020-11-30 23:59:59;02:01:00;02:02:00;--
CHIP II;SS;2020-11-30 00:00:00;2020-11-30 23:59:59;00:22:00;01:04:00;--
CHIP II;UU;2020-11-30 00:00:00;2020-11-30 23:59:59;00:10:00;00:14:00;--
CHIP II;LL;2020-11-30 00:00:00;2020-11-30 23:59:59;00:05:00;00:06:00;--
CHIP II;DD;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
CHIP II;PN11;2020-11-30 00:00:00;2020-11-30 23:59:59;00:01:00;00:01:00;--
CHIP II;A2;2020-11-30 00:00:00;2020-11-30 23:59:59;00:05:00;00:05:00;--
CHIP II;YY;2020-11-30 00:00:00;2020-11-30 23:59:59;00:01:00;00:01:00;--
CHIRIBAY;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;23:53:00;23:53:00;00:07:00
D.VICTOR;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;16:59:00;17:59:00;01:01:00
D.VICTOR;RIO AMAZONAS;2020-11-30 00:00:00;2020-11-30 23:59:59;01:00:00;01:00:00;--
D.VICTOR;MC DONALD;2020-11-30 00:00:00;2020-11-30 23:59:59;04:00:00;04:00:00;--
DONALD R;FLOTANTE LO;2020-11-30 00:00:00;2020-11-30 23:59:59;10:57:00;10:57:00;00:11:00
DONALD R;LO19;2020-11-30 00:00:00;2020-11-30 23:59:59;00:11:00;00:11:00;--
DONALD R;LO8;2020-11-30 00:00:00;2020-11-30 23:59:59;00:16:00;00:16:00;--
DONALD R;LO9;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
DONALD R;ZZ;2020-11-30 00:00:00;2020-11-30 23:59:59;00:28:00;00:36:00;--
DONALD R;LO14;2020-11-30 00:00:00;2020-11-30 23:59:59;00:51:00;00:51:00;--
DONALD R;LO10;2020-11-30 00:00:00;2020-11-30 23:59:59;00:40:00;00:48:00;--
DONALD R;LO16;2020-11-30 00:00:00;2020-11-30 23:59:59;01:03:00;01:03:00;--
DONALD R;LO13;2020-11-30 00:00:00;2020-11-30 23:59:59;01:09:00;01:09:00;--
DONALD R;CAMPO LOBITOS;2020-11-30 00:00:00;2020-11-30 23:59:59;05:54:00;05:54:00;--
DONALD R;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;01:29:00;01:29:00;--
DONALD R;RIO AMAZONAS;2020-11-30 00:00:00;2020-11-30 23:59:59;00:18:00;00:18:00;--
DONALD R;H;2020-11-30 00:00:00;2020-11-30 23:59:59;00:06:00;00:06:00;--
DONALD R;LO11;2020-11-30 00:00:00;2020-11-30 23:59:59;00:01:00;00:01:00;--
DONALD R;U;2020-11-30 00:00:00;2020-11-30 23:59:59;00:02:00;00:02:00;--
ELIZABET;MC DONALD;2020-11-30 00:00:00;2020-11-30 23:59:59;22:15:00;22:15:00;00:05:00
ELIZABET;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;01:40:00;01:40:00;--
HIPPO;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;23:54:00;23:54:00;00:06:00
IRIS;CAMPO PENA NEGRA;2020-11-30 00:00:00;2020-11-30 23:59:59;00:12:00;06:45:00;00:12:00
IRIS;DD;2020-11-30 00:00:00;2020-11-30 23:59:59;00:06:00;00:16:00;--
IRIS;GG;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
IRIS;R;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
IRIS;HH;2020-11-30 00:00:00;2020-11-30 23:59:59;00:07:00;00:07:00;--
IRIS;KK;2020-11-30 00:00:00;2020-11-30 23:59:59;00:36:00;00:54:00;--
IRIS;PN7;2020-11-30 00:00:00;2020-11-30 23:59:59;03:03:00;03:13:00;--
IRIS;OO;2020-11-30 00:00:00;2020-11-30 23:59:59;00:13:00;00:30:00;--
IRIS;PN8;2020-11-30 00:00:00;2020-11-30 23:59:59;00:16:00;00:30:00;--
IRIS;LL;2020-11-30 00:00:00;2020-11-30 23:59:59;00:11:00;00:11:00;--
IRIS;FLOTANTE PN;2020-11-30 00:00:00;2020-11-30 23:59:59;04:40:00;08:19:00;--
IRIS;Z;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
IRIS;PN9;2020-11-30 00:00:00;2020-11-30 23:59:59;00:13:00;00:21:00;--
IRIS;PN3;2020-11-30 00:00:00;2020-11-30 23:59:59;00:21:00;00:30:00;--
IRIS;BB;2020-11-30 00:00:00;2020-11-30 23:59:59;01:02:00;01:02:00;--
IRIS;PN4;2020-11-30 00:00:00;2020-11-30 23:59:59;00:15:00;00:15:00;--
IRIS;NN;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
IRIS;PN2;2020-11-30 00:00:00;2020-11-30 23:59:59;00:16:00;00:16:00;--
IRIS;PN1;2020-11-30 00:00:00;2020-11-30 23:59:59;00:07:00;00:07:00;--
KELLEY;CAMPO SAN PEDRO;2020-11-30 00:00:00;2020-11-30 23:59:59;14:00:00;14:00:00;01:00:00
KELLEY;SP1;2020-11-30 00:00:00;2020-11-30 23:59:59;05:00:00;05:00:00;--
KELLEY;ES1;2020-11-30 00:00:00;2020-11-30 23:59:59;03:00:00;03:00:00;--
KELLEY;SP1-A;2020-11-30 00:00:00;2020-11-30 23:59:59;01:00:00;01:00:00;--
MR MATT;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;20:38:00;23:44:00;00:04:00
MR MATT;RIO AMAZONAS;2020-11-30 00:00:00;2020-11-30 23:59:59;00:06:00;00:06:00;--
MR MATT;MC DONALD;2020-11-30 00:00:00;2020-11-30 23:59:59;00:06:00;00:06:00;--
NEPTUNO;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;23:53:00;23:53:00;00:07:00
OLYMPIC;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;11:01:00;11:56:00;00:12:00
OLYMPIC;FLOTANTE LO;2020-11-30 00:00:00;2020-11-30 23:59:59;00:10:00;00:11:00;--
OLYMPIC;PN3;2020-11-30 00:00:00;2020-11-30 23:59:59;03:43:00;03:49:00;--
OLYMPIC;PN1;2020-11-30 00:00:00;2020-11-30 23:59:59;00:06:00;00:07:00;--
OLYMPIC;FLOTANTE PN;2020-11-30 00:00:00;2020-11-30 23:59:59;00:09:00;00:10:00;--
OLYMPIC;R;2020-11-30 00:00:00;2020-11-30 23:59:59;01:12:00;01:16:00;--
OLYMPIC;LL;2020-11-30 00:00:00;2020-11-30 23:59:59;00:06:00;00:06:00;--
OLYMPIC;CAMPO LOBITOS;2020-11-30 00:00:00;2020-11-30 23:59:59;02:52:00;02:52:00;--
OLYMPIC;LO13;2020-11-30 00:00:00;2020-11-30 23:59:59;00:09:00;00:09:00;--
OLYMPIC;LO14;2020-11-30 00:00:00;2020-11-30 23:59:59;00:07:00;00:07:00;--
OLYMPIC;LO7;2020-11-30 00:00:00;2020-11-30 23:59:59;00:07:00;00:07:00;--
OLYMPIC;LO4;2020-11-30 00:00:00;2020-11-30 23:59:59;00:09:00;00:09:00;--
OLYMPIC;CAMPO PENA NEGRA;2020-11-30 00:00:00;2020-11-30 23:59:59;02:41:00;02:41:00;--
OLYMPIC;PN4;2020-11-30 00:00:00;2020-11-30 23:59:59;00:08:00;00:08:00;--
PARINAS;PUERTO TALARA;2020-11-30 00:00:00;2020-11-30 23:59:59;12:06:00;12:06:00;00:17:00
