VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	PUERTO TALARA	2021-04-15 00:00:00	2021-04-15 23:59:59	17:12:00	17:40:00	00:10:00
BUCKLEY	CAMPO PENA NEGRA	2021-04-15 00:00:00	2021-04-15 23:59:59	00:04:00	00:52:00	--
BUCKLEY	PN2	2021-04-15 00:00:00	2021-04-15 23:59:59	03:35:00	03:35:00	--
BUCKLEY	MC DONALD	2021-04-15 00:00:00	2021-04-15 23:59:59	00:08:00	00:08:00	--
BUCKLEY	CAMPO LOBITOS	2021-04-15 00:00:00	2021-04-15 23:59:59	01:30:00	01:30:00	--
BUCKLEY	PP	2021-04-15 00:00:00	2021-04-15 23:59:59	00:01:00	00:01:00	--
BUCKLEY	LO19	2021-04-15 00:00:00	2021-04-15 23:59:59	00:01:00	00:01:00	--
BUCKLEY	ZZ	2021-04-15 00:00:00	2021-04-15 23:59:59	00:01:00	00:01:00	--
BUCKLEY	FLOTANTE LO	2021-04-15 00:00:00	2021-04-15 23:59:59	00:02:00	00:02:00	--
CHIMERA	PUERTO TALARA	2021-04-15 00:00:00	2021-04-15 23:59:59	18:00:00	22:59:00	01:01:00
CHIP II	PUERTO TALARA	2021-04-15 00:00:00	2021-04-15 23:59:59	00:25:00	00:25:00	23:35:00
CHIRIBAY	CAMPO SAN PEDRO	2021-04-15 00:00:00	2021-04-15 23:59:59	16:52:00	16:52:00	00:08:00
CHIRIBAY	SP1	2021-04-15 00:00:00	2021-04-15 23:59:59	07:00:00	07:00:00	--
D.VICTOR	PUERTO TALARA	2021-04-15 00:00:00	2021-04-15 23:59:59	21:00:00	22:59:00	01:01:00
DONALD R	FLOTANTE PN	2021-04-15 00:00:00	2021-04-15 23:59:59	02:01:00	02:01:00	12:28:00
DONALD R	CAMPO PENA NEGRA	2021-04-15 00:00:00	2021-04-15 23:59:59	00:01:00	03:28:00	--
DONALD R	DD	2021-04-15 00:00:00	2021-04-15 23:59:59	00:12:00	00:15:00	--
DONALD R	PN11	2021-04-15 00:00:00	2021-04-15 23:59:59	00:02:00	00:04:00	--
DONALD R	PN14	2021-04-15 00:00:00	2021-04-15 23:59:59	00:01:00	00:06:00	--
DONALD R	PN4	2021-04-15 00:00:00	2021-04-15 23:59:59	00:14:00	00:15:00	--
DONALD R	GG	2021-04-15 00:00:00	2021-04-15 23:59:59	00:07:00	00:12:00	--
DONALD R	R	2021-04-15 00:00:00	2021-04-15 23:59:59	00:56:00	00:56:00	--
DONALD R	UU	2021-04-15 00:00:00	2021-04-15 23:59:59	00:11:00	00:11:00	--
DONALD R	TT	2021-04-15 00:00:00	2021-04-15 23:59:59	00:07:00	00:09:00	--
DONALD R	A2	2021-04-15 00:00:00	2021-04-15 23:59:59	02:39:00	02:41:00	--
DONALD R	YY	2021-04-15 00:00:00	2021-04-15 23:59:59	00:13:00	00:13:00	--
DONALD R	FF	2021-04-15 00:00:00	2021-04-15 23:59:59	00:04:00	00:05:00	--
DONALD R	SS	2021-04-15 00:00:00	2021-04-15 23:59:59	00:04:00	00:04:00	--
DONALD R	NN	2021-04-15 00:00:00	2021-04-15 23:59:59	00:11:00	00:17:00	--
DONALD R	PN7	2021-04-15 00:00:00	2021-04-15 23:59:59	00:07:00	00:10:00	--
DONALD R	HH	2021-04-15 00:00:00	2021-04-15 23:59:59	00:02:00	00:03:00	--
DONALD R	KK	2021-04-15 00:00:00	2021-04-15 23:59:59	00:01:00	00:01:00	--
DONALD R	PN5	2021-04-15 00:00:00	2021-04-15 23:59:59	00:11:00	00:11:00	--
DONALD R	M	2021-04-15 00:00:00	2021-04-15 23:59:59	00:10:00	00:10:00	--
ELIZABET	PP	2021-04-15 00:00:00	2021-04-15 23:59:59	23:57:00	23:57:00	00:03:00
HIPPO	CAMPO PENA NEGRA	2021-04-15 00:00:00	2021-04-15 23:59:59	16:13:00	16:13:00	00:05:00
HIPPO	PN2	2021-04-15 00:00:00	2021-04-15 23:59:59	06:52:00	06:52:00	--
HIPPO	CAMPO LOBITOS	2021-04-15 00:00:00	2021-04-15 23:59:59	00:50:00	00:50:00	--
IRIS	FLOTANTE PN	2021-04-15 00:00:00	2021-04-15 23:59:59	07:27:00	08:25:00	00:14:00
IRIS	CAMPO PENA NEGRA	2021-04-15 00:00:00	2021-04-15 23:59:59	01:43:00	06:20:00	--
IRIS	HH	2021-04-15 00:00:00	2021-04-15 23:59:59	00:16:00	00:17:00	--
IRIS	KK	2021-04-15 00:00:00	2021-04-15 23:59:59	01:59:00	01:59:00	--
IRIS	PN7	2021-04-15 00:00:00	2021-04-15 23:59:59	00:12:00	00:24:00	--
IRIS	PN2	2021-04-15 00:00:00	2021-04-15 23:59:59	00:41:00	00:47:00	--
IRIS	PN3	2021-04-15 00:00:00	2021-04-15 23:59:59	00:15:00	00:30:00	--
IRIS	PN9	2021-04-15 00:00:00	2021-04-15 23:59:59	00:31:00	00:44:00	--
IRIS	OO	2021-04-15 00:00:00	2021-04-15 23:59:59	00:26:00	00:26:00	--
IRIS	DD	2021-04-15 00:00:00	2021-04-15 23:59:59	00:11:00	00:14:00	--
IRIS	GG	2021-04-15 00:00:00	2021-04-15 23:59:59	00:07:00	00:07:00	--
IRIS	R	2021-04-15 00:00:00	2021-04-15 23:59:59	00:07:00	00:08:00	--
IRIS	NN	2021-04-15 00:00:00	2021-04-15 23:59:59	00:06:00	00:33:00	--
IRIS	Z	2021-04-15 00:00:00	2021-04-15 23:59:59	01:07:00	01:08:00	--
IRIS	LL	2021-04-15 00:00:00	2021-04-15 23:59:59	00:33:00	00:34:00	--
IRIS	PN8	2021-04-15 00:00:00	2021-04-15 23:59:59	00:24:00	00:24:00	--
IRIS	PN1	2021-04-15 00:00:00	2021-04-15 23:59:59	00:09:00	00:10:00	--
IRIS	BB	2021-04-15 00:00:00	2021-04-15 23:59:59	00:36:00	00:36:00	--
KELLEY	CAMPO SAN PEDRO	2021-04-15 00:00:00	2021-04-15 23:59:59	08:00:00	14:59:00	01:01:00
KELLEY	SP1	2021-04-15 00:00:00	2021-04-15 23:59:59	01:00:00	03:00:00	--
KELLEY	ES1	2021-04-15 00:00:00	2021-04-15 23:59:59	02:00:00	02:00:00	--
KELLEY	SP1-A	2021-04-15 00:00:00	2021-04-15 23:59:59	03:00:00	03:00:00	--
LOBITOS	CAMPO LOBITOS	2021-04-15 00:00:00	2021-04-15 23:59:59	09:08:00	09:08:00	00:03:00
LOBITOS	MC DONALD	2021-04-15 00:00:00	2021-04-15 23:59:59	10:21:00	11:56:00	--
LOBITOS	FLOTANTE LO	2021-04-15 00:00:00	2021-04-15 23:59:59	00:53:00	00:53:00	--
LOBITOS	PUERTO TALARA	2021-04-15 00:00:00	2021-04-15 23:59:59	01:22:00	01:22:00	--
LOBITOS	RIO AMAZONAS	2021-04-15 00:00:00	2021-04-15 23:59:59	00:37:00	00:37:00	--
LOBITOS	PP	2021-04-15 00:00:00	2021-04-15 23:59:59	00:01:00	00:01:00	--
MR MATT	PUERTO TALARA	2021-04-15 00:00:00	2021-04-15 23:59:59	12:40:00	12:40:00	00:04:00
MR MATT	MC DONALD	2021-04-15 00:00:00	2021-04-15 23:59:59	06:01:00	11:02:00	--
MR MATT	RIO AMAZONAS	2021-04-15 00:00:00	2021-04-15 23:59:59	00:14:00	00:14:00	--
NEPTUNO	PUERTO TALARA	2021-04-15 00:00:00	2021-04-15 23:59:59	10:33:00	11:51:00	00:12:00
NEPTUNO	CAMPO LOBITOS	2021-04-15 00:00:00	2021-04-15 23:59:59	00:15:00	02:54:00	--
NEPTUNO	LO13	2021-04-15 00:00:00	2021-04-15 23:59:59	00:07:00	00:08:00	--
NEPTUNO	PP	2021-04-15 00:00:00	2021-04-15 23:59:59	00:04:00	00:09:00	--
NEPTUNO	FLOTANTE LO	2021-04-15 00:00:00	2021-04-15 23:59:59	00:10:00	00:13:00	--
