VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2021-04-23 00:00:00;2021-04-23 23:59:59;12:06:00;12:15:00;00:09:00
BUCKLEY;CAMPO LITORAL;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:36:00;--
BUCKLEY;4D;2021-04-23 00:00:00;2021-04-23 23:59:59;00:43:00;00:44:00;--
BUCKLEY;LT6;2021-04-23 00:00:00;2021-04-23 23:59:59;09:04:00;09:04:00;--
BUCKLEY;MC DONALD;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
BUCKLEY;RIO AMAZONAS;2021-04-23 00:00:00;2021-04-23 23:59:59;00:03:00;00:03:00;--
BUCKLEY;CAMPO PROVIDENCIA;2021-04-23 00:00:00;2021-04-23 23:59:59;01:03:00;01:03:00;--
BUCKLEY;PQ;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
BUCKLEY;LT12;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
BUCKLEY;3B;2021-04-23 00:00:00;2021-04-23 23:59:59;00:02:00;00:02:00;--
BUCKLEY;3J;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
CHIMERA;PUERTO TALARA;2021-04-23 00:00:00;2021-04-23 23:59:59;09:38:00;13:26:00;00:44:00
CHIMERA;MC DONALD;2021-04-23 00:00:00;2021-04-23 23:59:59;02:50:00;02:50:00;--
CHIMERA;RIO AMAZONAS;2021-04-23 00:00:00;2021-04-23 23:59:59;00:59:00;00:59:00;--
CHIMERA;CAMPO PENA NEGRA;2021-04-23 00:00:00;2021-04-23 23:59:59;02:00:00;02:00:00;--
CHIMERA;CAMPO LOBITOS;2021-04-23 00:00:00;2021-04-23 23:59:59;01:00:00;01:00:00;--
CHIMERA;CAMPO LITORAL;2021-04-23 00:00:00;2021-04-23 23:59:59;02:00:00;02:00:00;--
CHIMERA;4D;2021-04-23 00:00:00;2021-04-23 23:59:59;01:00:00;01:00:00;--
CHIMERA;CAMPO PROVIDENCIA;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
CHIP II;FLOTANTE PN;2021-04-23 00:00:00;2021-04-23 23:59:59;02:36:00;02:36:00;12:52:00
CHIP II;CAMPO PENA NEGRA;2021-04-23 00:00:00;2021-04-23 23:59:59;00:20:00;04:04:00;--
CHIP II;GG;2021-04-23 00:00:00;2021-04-23 23:59:59;00:04:00;00:07:00;--
CHIP II;R;2021-04-23 00:00:00;2021-04-23 23:59:59;00:20:00;00:33:00;--
CHIP II;A2;2021-04-23 00:00:00;2021-04-23 23:59:59;00:22:00;00:25:00;--
CHIP II;TT;2021-04-23 00:00:00;2021-04-23 23:59:59;01:32:00;01:32:00;--
CHIP II;M;2021-04-23 00:00:00;2021-04-23 23:59:59;00:08:00;00:09:00;--
CHIP II;PN5;2021-04-23 00:00:00;2021-04-23 23:59:59;00:09:00;00:10:00;--
CHIP II;FF;2021-04-23 00:00:00;2021-04-23 23:59:59;00:05:00;00:06:00;--
CHIP II;KK;2021-04-23 00:00:00;2021-04-23 23:59:59;00:11:00;00:13:00;--
CHIP II;NN;2021-04-23 00:00:00;2021-04-23 23:59:59;00:11:00;00:11:00;--
CHIP II;PN14;2021-04-23 00:00:00;2021-04-23 23:59:59;00:06:00;00:06:00;--
CHIP II;UU;2021-04-23 00:00:00;2021-04-23 23:59:59;00:11:00;00:13:00;--
CHIP II;SS;2021-04-23 00:00:00;2021-04-23 23:59:59;00:05:00;00:05:00;--
CHIP II;DD;2021-04-23 00:00:00;2021-04-23 23:59:59;00:12:00;00:12:00;--
CHIP II;PN4;2021-04-23 00:00:00;2021-04-23 23:59:59;00:18:00;00:18:00;--
CHIP II;Z;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
CHIP II;LL;2021-04-23 00:00:00;2021-04-23 23:59:59;00:06:00;00:06:00;--
CHIP II;PN11;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
CHIRIBAY;CAMPO SAN PEDRO;2021-04-23 00:00:00;2021-04-23 23:59:59;21:50:00;21:50:00;00:08:00
CHIRIBAY;SP1;2021-04-23 00:00:00;2021-04-23 23:59:59;02:01:00;02:01:00;--
CHIRIBAY;ES1;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:01:00;--
D.VICTOR;CAMPO PENA NEGRA;2021-04-23 00:00:00;2021-04-23 23:59:59;06:30:00;17:49:00;00:22:00
D.VICTOR;PN2;2021-04-23 00:00:00;2021-04-23 23:59:59;02:30:00;05:10:00;--
D.VICTOR;YY;2021-04-23 00:00:00;2021-04-23 23:59:59;00:20:00;00:39:00;--
DONALD R;CAMPO PENA NEGRA;2021-04-23 00:00:00;2021-04-23 23:59:59;00:05:00;06:59:00;00:25:00
DONALD R;KK;2021-04-23 00:00:00;2021-04-23 23:59:59;01:00:00;01:15:00;--
DONALD R;PN7;2021-04-23 00:00:00;2021-04-23 23:59:59;00:13:00;00:19:00;--
DONALD R;OO;2021-04-23 00:00:00;2021-04-23 23:59:59;00:36:00;00:38:00;--
DONALD R;PN8;2021-04-23 00:00:00;2021-04-23 23:59:59;00:22:00;00:35:00;--
DONALD R;PN3;2021-04-23 00:00:00;2021-04-23 23:59:59;00:09:00;00:11:00;--
DONALD R;PN2;2021-04-23 00:00:00;2021-04-23 23:59:59;01:11:00;01:22:00;--
DONALD R;R;2021-04-23 00:00:00;2021-04-23 23:59:59;00:13:00;00:14:00;--
DONALD R;GG;2021-04-23 00:00:00;2021-04-23 23:59:59;00:11:00;00:11:00;--
DONALD R;NN;2021-04-23 00:00:00;2021-04-23 23:59:59;00:02:00;00:02:00;--
DONALD R;PN14;2021-04-23 00:00:00;2021-04-23 23:59:59;00:01:00;00:07:00;--
DONALD R;DD;2021-04-23 00:00:00;2021-04-23 23:59:59;00:11:00;00:24:00;--
DONALD R;FLOTANTE PN;2021-04-23 00:00:00;2021-04-23 23:59:59;09:38:00;09:38:00;--
DONALD R;HH;2021-04-23 00:00:00;2021-04-23 23:59:59;00:06:00;00:06:00;--
DONALD R;Z;2021-04-23 00:00:00;2021-04-23 23:59:59;00:09:00;00:10:00;--
DONALD R;PN9;2021-04-23 00:00:00;2021-04-23 23:59:59;00:16:00;00:17:00;--
DONALD R;PN1;2021-04-23 00:00:00;2021-04-23 23:59:59;00:30:00;00:30:00;--
DONALD R;LL;2021-04-23 00:00:00;2021-04-23 23:59:59;00:29:00;00:30:00;--
DONALD R;BB;2021-04-23 00:00:00;2021-04-23 23:59:59;00:05:00;00:05:00;--
DONALD R;A2;2021-04-23 00:00:00;2021-04-23 23:59:59;00:02:00;00:02:00;--
ELIZABET;CAMPO PENA NEGRA;2021-04-23 00:00:00;2021-04-23 23:59:59;16:16:00;20:11:00;00:04:00
ELIZABET;A2;2021-04-23 00:00:00;2021-04-23 23:59:59;00:02:00;00:02:00;--
ELIZABET;CAMPO LOBITOS;2021-04-23 00:00:00;2021-04-23 23:59:59;02:31:00;02:31:00;--
ELIZABET;R;2021-04-23 00:00:00;2021-04-23 23:59:59;01:12:00;01:12:00;--
HIPPO;MC DONALD;2021-04-23 00:00:00;2021-04-23 23:59:59;23:52:00;23:52:00;00:08:00
IRIS;PUERTO TALARA;2021-04-23 00:00:00;2021-04-23 23:59:59;23:36:00;23:49:00;00:08:00
IRIS;TORTUGA;2021-04-23 00:00:00;2021-04-23 23:59:59;00:03:00;00:03:00;--
KELLEY;CAMPO SAN PEDRO;2021-04-23 00:00:00;2021-04-23 23:59:59;06:00:00;15:59:00;01:01:00
KELLEY;SP1;2021-04-23 00:00:00;2021-04-23 23:59:59;04:00:00;04:00:00;--
KELLEY;ES1;2021-04-23 00:00:00;2021-04-23 23:59:59;01:00:00;02:00:00;--
KELLEY;SP1-A;2021-04-23 00:00:00;2021-04-23 23:59:59;01:00:00;01:00:00;--
