VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	PUERTO TALARA	2021-01-15 00:00:00	2021-01-15 23:59:59	23:53:00	23:53:00	00:07:00
CHIMERA	MC DONALD	2021-01-15 00:00:00	2021-01-15 23:59:59	06:50:00	10:00:00	01:36:00
CHIMERA	PUERTO TALARA	2021-01-15 00:00:00	2021-01-15 23:59:59	03:00:00	03:00:00	--
CHIMERA	KK	2021-01-15 00:00:00	2021-01-15 23:59:59	01:00:00	01:00:00	--
CHIMERA	RIO AMAZONAS	2021-01-15 00:00:00	2021-01-15 23:59:59	02:25:00	02:25:00	--
CHIMERA	CAMPO LOBITOS	2021-01-15 00:00:00	2021-01-15 23:59:59	01:00:00	01:00:00	--
CHIMERA	CAMPO PENA NEGRA	2021-01-15 00:00:00	2021-01-15 23:59:59	01:59:00	01:59:00	--
CHIMERA	OO	2021-01-15 00:00:00	2021-01-15 23:59:59	01:00:00	01:00:00	--
CHIMERA	LL	2021-01-15 00:00:00	2021-01-15 23:59:59	01:00:00	01:00:00	--
CHIMERA	PN5	2021-01-15 00:00:00	2021-01-15 23:59:59	01:00:00	01:00:00	--
CHIP II	FLOTANTE PN	2021-01-15 00:00:00	2021-01-15 23:59:59	01:55:00	01:55:00	13:42:00
CHIP II	CAMPO PENA NEGRA	2021-01-15 00:00:00	2021-01-15 23:59:59	00:13:00	03:10:00	--
CHIP II	PN4	2021-01-15 00:00:00	2021-01-15 23:59:59	00:28:00	00:36:00	--
CHIP II	GG	2021-01-15 00:00:00	2021-01-15 23:59:59	00:13:00	00:22:00	--
CHIP II	NN	2021-01-15 00:00:00	2021-01-15 23:59:59	00:09:00	00:15:00	--
CHIP II	PN14	2021-01-15 00:00:00	2021-01-15 23:59:59	00:22:00	00:23:00	--
CHIP II	UU	2021-01-15 00:00:00	2021-01-15 23:59:59	00:07:00	00:08:00	--
CHIP II	PN5	2021-01-15 00:00:00	2021-01-15 23:59:59	00:19:00	00:27:00	--
CHIP II	SS	2021-01-15 00:00:00	2021-01-15 23:59:59	00:07:00	00:08:00	--
CHIP II	FF	2021-01-15 00:00:00	2021-01-15 23:59:59	00:10:00	00:20:00	--
CHIP II	M	2021-01-15 00:00:00	2021-01-15 23:59:59	00:15:00	00:19:00	--
CHIP II	R	2021-01-15 00:00:00	2021-01-15 23:59:59	01:06:00	01:21:00	--
CHIP II	A2	2021-01-15 00:00:00	2021-01-15 23:59:59	00:10:00	00:10:00	--
CHIP II	TT	2021-01-15 00:00:00	2021-01-15 23:59:59	00:10:00	00:11:00	--
CHIP II	KK	2021-01-15 00:00:00	2021-01-15 23:59:59	00:12:00	00:13:00	--
CHIP II	DD	2021-01-15 00:00:00	2021-01-15 23:59:59	00:15:00	00:15:00	--
CHIP II	PN11	2021-01-15 00:00:00	2021-01-15 23:59:59	00:02:00	00:02:00	--
CHIP II	HH	2021-01-15 00:00:00	2021-01-15 23:59:59	00:03:00	00:03:00	--
CHIRIBAY	PUERTO TALARA	2021-01-15 00:00:00	2021-01-15 23:59:59	15:41:00	15:41:00	00:07:00
CHIRIBAY	RIO AMAZONAS	2021-01-15 00:00:00	2021-01-15 23:59:59	00:09:00	00:09:00	--
CHIRIBAY	MC DONALD	2021-01-15 00:00:00	2021-01-15 23:59:59	08:03:00	08:03:00	--
D.VICTOR	PUERTO TALARA	2021-01-15 00:00:00	2021-01-15 23:59:59	17:59:00	21:59:00	01:01:00
D.VICTOR	RIO AMAZONAS	2021-01-15 00:00:00	2021-01-15 23:59:59	01:00:00	01:00:00	--
DONALD R	FLOTANTE LO	2021-01-15 00:00:00	2021-01-15 23:59:59	03:56:00	03:56:00	01:02:00
DONALD R	LO13	2021-01-15 00:00:00	2021-01-15 23:59:59	00:48:00	01:22:00	--
DONALD R	LO16	2021-01-15 00:00:00	2021-01-15 23:59:59	00:12:00	00:27:00	--
DONALD R	LO6	2021-01-15 00:00:00	2021-01-15 23:59:59	00:20:00	00:31:00	--
DONALD R	LO8	2021-01-15 00:00:00	2021-01-15 23:59:59	03:32:00	03:32:00	--
DONALD R	H	2021-01-15 00:00:00	2021-01-15 23:59:59	00:06:00	00:06:00	--
DONALD R	LO9	2021-01-15 00:00:00	2021-01-15 23:59:59	00:27:00	00:27:00	--
DONALD R	ZZ	2021-01-15 00:00:00	2021-01-15 23:59:59	01:59:00	02:03:00	--
DONALD R	LO10	2021-01-15 00:00:00	2021-01-15 23:59:59	00:44:00	00:57:00	--
DONALD R	LO7	2021-01-15 00:00:00	2021-01-15 23:59:59	00:15:00	00:15:00	--
DONALD R	LO11	2021-01-15 00:00:00	2021-01-15 23:59:59	01:55:00	01:59:00	--
DONALD R	LO14	2021-01-15 00:00:00	2021-01-15 23:59:59	00:25:00	00:27:00	--
DONALD R	LO18	2021-01-15 00:00:00	2021-01-15 23:59:59	00:11:00	00:11:00	--
DONALD R	LO19	2021-01-15 00:00:00	2021-01-15 23:59:59	00:06:00	00:07:00	--
DONALD R	CAMPO LOBITOS	2021-01-15 00:00:00	2021-01-15 23:59:59	06:36:00	06:36:00	--
DONALD R	U	2021-01-15 00:00:00	2021-01-15 23:59:59	00:02:00	00:02:00	--
ELIZABET	CAMPO PROVIDENCIA	2021-01-15 00:00:00	2021-01-15 23:59:59	23:57:00	23:57:00	00:03:00
HIPPO	MC DONALD	2021-01-15 00:00:00	2021-01-15 23:59:59	11:47:00	11:47:00	00:09:00
HIPPO	PUERTO TALARA	2021-01-15 00:00:00	2021-01-15 23:59:59	01:32:00	01:32:00	--
HIPPO	CAMPO LOBITOS	2021-01-15 00:00:00	2021-01-15 23:59:59	02:17:00	02:17:00	--
HIPPO	CAMPO PENA NEGRA	2021-01-15 00:00:00	2021-01-15 23:59:59	07:42:00	07:42:00	--
HIPPO	FLOTANTE PN	2021-01-15 00:00:00	2021-01-15 23:59:59	00:04:00	00:04:00	--
HIPPO	R	2021-01-15 00:00:00	2021-01-15 23:59:59	00:29:00	00:29:00	--
IRIS	FLOTANTE PN	2021-01-15 00:00:00	2021-01-15 23:59:59	10:36:00	11:47:00	00:17:00
IRIS	HH	2021-01-15 00:00:00	2021-01-15 23:59:59	01:58:00	01:59:00	--
IRIS	Z	2021-01-15 00:00:00	2021-01-15 23:59:59	00:13:00	00:20:00	--
IRIS	KK	2021-01-15 00:00:00	2021-01-15 23:59:59	00:54:00	00:54:00	--
IRIS	PN7	2021-01-15 00:00:00	2021-01-15 23:59:59	00:09:00	00:12:00	--
IRIS	OO	2021-01-15 00:00:00	2021-01-15 23:59:59	00:31:00	00:31:00	--
