(-) MSG_MONTH_1 23	BUCKLEY	23/01/2021 00:00:24	23/01/2021 23:59:59	1D 0M		On	Ca.S/N Ub Zona Industrial, Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5722623	-81.2755326	0	1,61
(-) MSG_MONTH_1 23	CHIMERA	23/01/2021 00:00:00	23/01/2021 03:31:09	3H 31M		Off	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5642332	-81.2892166	0	0,07
(-) MSG_MONTH_1 23	CHIMERA	23/01/2021 04:31:13	23/01/2021 05:31:13	1H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5641166	-81.2900166	0,15	0,2
(-) MSG_MONTH_1 23	CHIMERA	23/01/2021 06:31:21	23/01/2021 09:31:24	3H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5638999	-81.2897664	0,23	0,33
(-) MSG_MONTH_1 23	CHIMERA	23/01/2021 11:31:31	23/01/2021 12:31:33	1H 0M		On	Pari_as Talara Piura, Perù	Rio Amazonas	-4.5682999	-81.2874831	1,7	2,23
(-) MSG_MONTH_1 23	CHIMERA	23/01/2021 14:31:38	23/01/2021 17:31:16	3H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5661832	-81.2891998	2,77	2,82
(-) MSG_MONTH_1 23	CHIMERA	23/01/2021 19:31:18	23/01/2021 21:31:24	2H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5661999	-81.2891666	2,85	2,87
(-) MSG_MONTH_1 23	CHIMERA	23/01/2021 22:31:23	23/01/2021 23:59:59	1H 29M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5656499	-81.2903165	2,97	3
(-) MSG_MONTH_1 23	CHIP II	23/01/2021 00:00:00	23/01/2021 06:50:57	6H 51M		Off	PI-100, Lobitos Piura, PER	Flotante PN	-4.3240207	-81.2895487	0	0,1
(-) MSG_MONTH_1 23	CHIP II	23/01/2021 06:55:57	23/01/2021 06:56:06	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA	-4.3167149	-81.2828399	1,16	1,2
(-) MSG_MONTH_1 23	CHIP II	23/01/2021 06:57:57	23/01/2021 06:58:06	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA	-4.3138049	-81.2803949	1,58	1,62
(-) MSG_MONTH_1 23	CHIP II	23/01/2021 06:58:57	23/01/2021 06:59:06	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA	-4.3121399	-81.2796450	1,79	1,83
