VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2021-01-25 00:00:00;2021-01-25 23:59:59;07:40:00;12:57:00;00:12:00
BUCKLEY;CAMPO PENA NEGRA;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;02:38:00;--
BUCKLEY;DD;2021-01-25 00:00:00;2021-01-25 23:59:59;00:29:00;00:32:00;--
BUCKLEY;PN4;2021-01-25 00:00:00;2021-01-25 23:59:59;00:16:00;00:17:00;--
BUCKLEY;PN14;2021-01-25 00:00:00;2021-01-25 23:59:59;00:08:00;00:09:00;--
BUCKLEY;NN;2021-01-25 00:00:00;2021-01-25 23:59:59;00:13:00;00:14:00;--
BUCKLEY;GG;2021-01-25 00:00:00;2021-01-25 23:59:59;00:14:00;00:17:00;--
BUCKLEY;R;2021-01-25 00:00:00;2021-01-25 23:59:59;00:18:00;00:20:00;--
BUCKLEY;PN7;2021-01-25 00:00:00;2021-01-25 23:59:59;00:02:00;00:03:00;--
BUCKLEY;PN2;2021-01-25 00:00:00;2021-01-25 23:59:59;00:04:00;00:04:00;--
BUCKLEY;FLOTANTE PN;2021-01-25 00:00:00;2021-01-25 23:59:59;02:42:00;02:42:00;--
BUCKLEY;UU;2021-01-25 00:00:00;2021-01-25 23:59:59;00:07:00;00:07:00;--
BUCKLEY;PN5;2021-01-25 00:00:00;2021-01-25 23:59:59;00:06:00;00:07:00;--
BUCKLEY;M;2021-01-25 00:00:00;2021-01-25 23:59:59;00:05:00;00:05:00;--
BUCKLEY;SS;2021-01-25 00:00:00;2021-01-25 23:59:59;00:04:00;00:04:00;--
BUCKLEY;FF;2021-01-25 00:00:00;2021-01-25 23:59:59;00:06:00;00:07:00;--
BUCKLEY;A2;2021-01-25 00:00:00;2021-01-25 23:59:59;00:04:00;00:04:00;--
BUCKLEY;TT;2021-01-25 00:00:00;2021-01-25 23:59:59;02:09:00;02:11:00;--
BUCKLEY;CAMPO LOBITOS;2021-01-25 00:00:00;2021-01-25 23:59:59;00:45:00;00:45:00;--
BUCKLEY;ZZ;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
BUCKLEY;Z;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
BUCKLEY;PN11;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
BUCKLEY;HH;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
BUCKLEY;KK;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
CHIMERA;PUERTO TALARA;2021-01-25 00:00:00;2021-01-25 23:59:59;22:59:00;22:59:00;01:01:00
CHIP II;CAMPO PENA NEGRA;2021-01-25 00:00:00;2021-01-25 23:59:59;00:04:00;00:04:00;04:54:00
CHIP II;PUERTO TALARA;2021-01-25 00:00:00;2021-01-25 23:59:59;08:10:00;08:10:00;--
CHIP II;FLOTANTE PN;2021-01-25 00:00:00;2021-01-25 23:59:59;09:58:00;09:58:00;--
CHIP II;CAMPO LOBITOS;2021-01-25 00:00:00;2021-01-25 23:59:59;00:51:00;00:51:00;--
CHIP II;ZZ;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
CHIP II;LO19;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
CHIP II;PP;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
CHIRIBAY;CAMPO LOBITOS;2021-01-25 00:00:00;2021-01-25 23:59:59;22:15:00;22:15:00;00:06:00
CHIRIBAY;A8;2021-01-25 00:00:00;2021-01-25 23:59:59;00:01:00;00:01:00;--
CHIRIBAY;CC;2021-01-25 00:00:00;2021-01-25 23:59:59;01:21:00;01:21:00;--
CHIRIBAY;LO9;2021-01-25 00:00:00;2021-01-25 23:59:59;00:17:00;00:17:00;--
D.VICTOR;PUERTO TALARA;2021-01-25 00:00:00;2021-01-25 23:59:59;23:00:00;23:00:00;01:00:00
DONALD R;FLOTANTE LO;2021-01-25 00:00:00;2021-01-25 23:59:59;06:31:00;06:31:00;05:19:00
DONALD R;CAMPO LOBITOS;2021-01-25 00:00:00;2021-01-25 23:59:59;01:21:00;04:33:00;--
DONALD R;LO8;2021-01-25 00:00:00;2021-01-25 23:59:59;00:05:00;00:06:00;--
DONALD R;H;2021-01-25 00:00:00;2021-01-25 23:59:59;00:06:00;00:06:00;--
DONALD R;LO9;2021-01-25 00:00:00;2021-01-25 23:59:59;00:06:00;00:06:00;--
DONALD R;ZZ;2021-01-25 00:00:00;2021-01-25 23:59:59;01:35:00;01:36:00;--
DONALD R;LO19;2021-01-25 00:00:00;2021-01-25 23:59:59;00:10:00;00:10:00;--
DONALD R;LO18;2021-01-25 00:00:00;2021-01-25 23:59:59;00:26:00;00:26:00;--
DONALD R;LO13;2021-01-25 00:00:00;2021-01-25 23:59:59;01:01:00;01:52:00;--
DONALD R;LO16;2021-01-25 00:00:00;2021-01-25 23:59:59;00:18:00;00:19:00;--
DONALD R;LO14;2021-01-25 00:00:00;2021-01-25 23:59:59;02:28:00;02:29:00;--
DONALD R;LO10;2021-01-25 00:00:00;2021-01-25 23:59:59;00:19:00;00:19:00;--
DONALD R;LO6;2021-01-25 00:00:00;2021-01-25 23:59:59;00:07:00;00:08:00;--
