VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2021-02-10 00:00:00;2021-02-10 23:59:59;11:46:00;12:26:00;00:09:00
BUCKLEY;FLOTANTE LO;2021-02-10 00:00:00;2021-02-10 23:59:59;00:03:00;00:04:00;--
BUCKLEY;CAMPO PENA NEGRA;2021-02-10 00:00:00;2021-02-10 23:59:59;03:21:00;06:13:00;--
BUCKLEY;FLOTANTE PN;2021-02-10 00:00:00;2021-02-10 23:59:59;00:20:00;00:23:00;--
BUCKLEY;GG;2021-02-10 00:00:00;2021-02-10 23:59:59;00:06:00;00:07:00;--
BUCKLEY;PN3;2021-02-10 00:00:00;2021-02-10 23:59:59;03:07:00;03:07:00;--
BUCKLEY;CAMPO LOBITOS;2021-02-10 00:00:00;2021-02-10 23:59:59;01:28:00;01:28:00;--
BUCKLEY;PP;2021-02-10 00:00:00;2021-02-10 23:59:59;00:01:00;00:01:00;--
BUCKLEY;PN2;2021-02-10 00:00:00;2021-02-10 23:59:59;00:01:00;00:01:00;--
BUCKLEY;Z;2021-02-10 00:00:00;2021-02-10 23:59:59;00:01:00;00:01:00;--
CHIMERA;PUERTO TALARA;2021-02-10 00:00:00;2021-02-10 23:59:59;22:16:00;22:59:00;01:00:00
CHIMERA;MC DONALD;2021-02-10 00:00:00;2021-02-10 23:59:59;00:01:00;00:01:00;--
CHIP II;FLOTANTE PN;2021-02-10 00:00:00;2021-02-10 23:59:59;08:47:00;14:47:00;00:16:00
CHIP II;CAMPO PENA NEGRA;2021-02-10 00:00:00;2021-02-10 23:59:59;03:21:00;03:21:00;--
CHIP II;DD;2021-02-10 00:00:00;2021-02-10 23:59:59;00:18:00;00:30:00;--
CHIP II;PN11;2021-02-10 00:00:00;2021-02-10 23:59:59;00:12:00;00:13:00;--
CHIP II;PN4;2021-02-10 00:00:00;2021-02-10 23:59:59;00:11:00;00:12:00;--
CHIP II;PN14;2021-02-10 00:00:00;2021-02-10 23:59:59;00:06:00;00:06:00;--
CHIP II;NN;2021-02-10 00:00:00;2021-02-10 23:59:59;00:19:00;00:19:00;--
CHIP II;GG;2021-02-10 00:00:00;2021-02-10 23:59:59;00:16:00;00:18:00;--
CHIP II;A2;2021-02-10 00:00:00;2021-02-10 23:59:59;00:08:00;00:09:00;--
CHIP II;R;2021-02-10 00:00:00;2021-02-10 23:59:59;00:49:00;00:51:00;--
CHIP II;TT;2021-02-10 00:00:00;2021-02-10 23:59:59;00:11:00;00:11:00;--
CHIP II;UU;2021-02-10 00:00:00;2021-02-10 23:59:59;00:39:00;00:42:00;--
CHIP II;SS;2021-02-10 00:00:00;2021-02-10 23:59:59;00:07:00;00:07:00;--
CHIP II;FF;2021-02-10 00:00:00;2021-02-10 23:59:59;00:10:00;00:10:00;--
CHIP II;M;2021-02-10 00:00:00;2021-02-10 23:59:59;00:10:00;00:12:00;--
CHIP II;PN5;2021-02-10 00:00:00;2021-02-10 23:59:59;00:24:00;00:29:00;--
CHIP II;CAMPO LOBITOS;2021-02-10 00:00:00;2021-02-10 23:59:59;00:58:00;00:58:00;--
CHIP II;FLOTANTE LO;2021-02-10 00:00:00;2021-02-10 23:59:59;00:09:00;00:09:00;--
CHIRIBAY;CAMPO SAN PEDRO;2021-02-10 00:00:00;2021-02-10 23:59:59;16:37:00;16:37:00;00:08:00
CHIRIBAY;SP1-A;2021-02-10 00:00:00;2021-02-10 23:59:59;07:15:00;07:15:00;--
D.VICTOR;PUERTO TALARA;2021-02-10 00:00:00;2021-02-10 23:59:59;23:00:00;23:00:00;01:00:00
DONALD R;FLOTANTE LO;2021-02-10 00:00:00;2021-02-10 23:59:59;01:56:00;01:56:00;11:40:00
DONALD R;LO9;2021-02-10 00:00:00;2021-02-10 23:59:59;00:05:00;00:05:00;--
DONALD R;CAMPO LOBITOS;2021-02-10 00:00:00;2021-02-10 23:59:59;00:17:00;05:46:00;--
DONALD R;ZZ;2021-02-10 00:00:00;2021-02-10 23:59:59;01:01:00;01:18:00;--
DONALD R;LO14;2021-02-10 00:00:00;2021-02-10 23:59:59;00:24:00;00:30:00;--
DONALD R;LO10;2021-02-10 00:00:00;2021-02-10 23:59:59;00:16:00;00:18:00;--
DONALD R;LO16;2021-02-10 00:00:00;2021-02-10 23:59:59;00:21:00;00:28:00;--
DONALD R;LO13;2021-02-10 00:00:00;2021-02-10 23:59:59;00:26:00;00:30:00;--
DONALD R;LO19;2021-02-10 00:00:00;2021-02-10 23:59:59;00:04:00;00:06:00;--
DONALD R;LO18;2021-02-10 00:00:00;2021-02-10 23:59:59;01:13:00;01:13:00;--
DONALD R;LO11;2021-02-10 00:00:00;2021-02-10 23:59:59;00:06:00;00:08:00;--
DONALD R;U;2021-02-10 00:00:00;2021-02-10 23:59:59;00:02:00;00:02:00;--
ELIZABET;LO6;2021-02-10 00:00:00;2021-02-10 23:59:59;23:56:00;23:56:00;00:04:00
HIPPO;MC DONALD;2021-02-10 00:00:00;2021-02-10 23:59:59;07:57:00;07:57:00;00:10:00
HIPPO;PUERTO TALARA;2021-02-10 00:00:00;2021-02-10 23:59:59;01:09:00;01:09:00;--
HIPPO;CAMPO LOBITOS;2021-02-10 00:00:00;2021-02-10 23:59:59;01:52:00;01:52:00;--
HIPPO;CAMPO PENA NEGRA;2021-02-10 00:00:00;2021-02-10 23:59:59;07:37:00;07:37:00;--
HIPPO;PN3;2021-02-10 00:00:00;2021-02-10 23:59:59;05:15:00;05:15:00;--
IRIS;FLOTANTE PN;2021-02-10 00:00:00;2021-02-10 23:59:59;11:02:00;12:29:00;00:17:00
IRIS;CAMPO PENA NEGRA;2021-02-10 00:00:00;2021-02-10 23:59:59;00:02:00;05:30:00;--
IRIS;HH;2021-02-10 00:00:00;2021-02-10 23:59:59;00:13:00;00:17:00;--
IRIS;Z;2021-02-10 00:00:00;2021-02-10 23:59:59;00:17:00;00:17:00;--
IRIS;KK;2021-02-10 00:00:00;2021-02-10 23:59:59;00:38:00;00:46:00;--
IRIS;PN7;2021-02-10 00:00:00;2021-02-10 23:59:59;00:13:00;00:15:00;--
IRIS;OO;2021-02-10 00:00:00;2021-02-10 23:59:59;00:17:00;00:20:00;--
IRIS;PN8;2021-02-10 00:00:00;2021-02-10 23:59:59;00:21:00;00:26:00;--
IRIS;R;2021-02-10 00:00:00;2021-02-10 23:59:59;00:07:00;00:08:00;--
IRIS;NN;2021-02-10 00:00:00;2021-02-10 23:59:59;00:05:00;00:05:00;--
IRIS;GG;2021-02-10 00:00:00;2021-02-10 23:59:59;00:08:00;00:08:00;--
IRIS;DD;2021-02-10 00:00:00;2021-02-10 23:59:59;00:16:00;00:16:00;--
IRIS;BB;2021-02-10 00:00:00;2021-02-10 23:59:59;00:08:00;00:10:00;--
IRIS;PN3;2021-02-10 00:00:00;2021-02-10 23:59:59;00:13:00;00:13:00;--
IRIS;PN9;2021-02-10 00:00:00;2021-02-10 23:59:59;00:28:00;00:32:00;--
IRIS;PN2;2021-02-10 00:00:00;2021-02-10 23:59:59;01:12:00;01:12:00;--
IRIS;PN1;2021-02-10 00:00:00;2021-02-10 23:59:59;00:08:00;00:09:00;--
IRIS;LL;2021-02-10 00:00:00;2021-02-10 23:59:59;00:09:00;00:09:00;--
IRIS;TT;2021-02-10 00:00:00;2021-02-10 23:59:59;00:01:00;00:01:00;--
IRIS;A2;2021-02-10 00:00:00;2021-02-10 23:59:59;00:01:00;00:01:00;--
IRIS;PN5;2021-02-10 00:00:00;2021-02-10 23:59:59;00:19:00;00:19:00;--
KELLEY;CAMPO SAN PEDRO;2021-02-10 00:00:00;2021-02-10 23:59:59;15:00:00;15:00:00;01:01:00
KELLEY;ES1;2021-02-10 00:00:00;2021-02-10 23:59:59;01:00:00;01:00:00;--
KELLEY;SP1;2021-02-10 00:00:00;2021-02-10 23:59:59;05:59:00;05:59:00;--
KELLEY;SP1-A;2021-02-10 00:00:00;2021-02-10 23:59:59;01:00:00;01:00:00;--
LOBITOS;CAMPO LITORAL;2021-02-10 00:00:00;2021-02-10 23:59:59;07:12:00;11:36:00;00:08:00
LOBITOS;4D;2021-02-10 00:00:00;2021-02-10 23:59:59;01:06:00;01:06:00;--
LOBITOS;LT12;2021-02-10 00:00:00;2021-02-10 23:59:59;00:29:00;00:29:00;--
LOBITOS;PUERTO TALARA;2021-02-10 00:00:00;2021-02-10 23:59:59;02:22:00;02:22:00;--
LOBITOS;CAMPO LOBITOS;2021-02-10 00:00:00;2021-02-10 23:59:59;02:07:00;02:07:00;--
