VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	PUERTO TALARA	2021-02-14 00:00:00	2021-02-14 23:59:59	23:53:00	23:53:00	00:07:00
CHIMERA	PUERTO TALARA	2021-02-14 00:00:00	2021-02-14 23:59:59	22:00:00	22:59:00	01:01:00
CHIP II	FLOTANTE PN	2021-02-14 00:00:00	2021-02-14 23:59:59	14:35:00	14:35:00	00:16:00
CHIP II	CAMPO PENA NEGRA	2021-02-14 00:00:00	2021-02-14 23:59:59	00:06:00	03:24:00	--
CHIP II	DD	2021-02-14 00:00:00	2021-02-14 23:59:59	00:09:00	00:12:00	--
CHIP II	PN4	2021-02-14 00:00:00	2021-02-14 23:59:59	00:12:00	00:13:00	--
CHIP II	GG	2021-02-14 00:00:00	2021-02-14 23:59:59	00:17:00	00:19:00	--
CHIP II	R	2021-02-14 00:00:00	2021-02-14 23:59:59	00:33:00	00:37:00	--
CHIP II	TT	2021-02-14 00:00:00	2021-02-14 23:59:59	01:37:00	01:41:00	--
CHIP II	FF	2021-02-14 00:00:00	2021-02-14 23:59:59	00:06:00	00:06:00	--
CHIP II	M	2021-02-14 00:00:00	2021-02-14 23:59:59	00:46:00	00:55:00	--
CHIP II	A2	2021-02-14 00:00:00	2021-02-14 23:59:59	00:22:00	00:27:00	--
CHIP II	PN5	2021-02-14 00:00:00	2021-02-14 23:59:59	00:14:00	00:17:00	--
CHIP II	UU	2021-02-14 00:00:00	2021-02-14 23:59:59	00:22:00	00:23:00	--
CHIP II	SS	2021-02-14 00:00:00	2021-02-14 23:59:59	00:06:00	00:06:00	--
CHIP II	NN	2021-02-14 00:00:00	2021-02-14 23:59:59	00:08:00	00:09:00	--
CHIP II	PN14	2021-02-14 00:00:00	2021-02-14 23:59:59	00:12:00	00:12:00	--
CHIP II	Z	2021-02-14 00:00:00	2021-02-14 23:59:59	00:04:00	00:05:00	--
CHIP II	PN11	2021-02-14 00:00:00	2021-02-14 23:59:59	00:01:00	00:01:00	--
CHIP II	YY	2021-02-14 00:00:00	2021-02-14 23:59:59	00:01:00	00:01:00	--
CHIP II	HH	2021-02-14 00:00:00	2021-02-14 23:59:59	00:01:00	00:01:00	--
CHIRIBAY	CAMPO SAN PEDRO	2021-02-14 00:00:00	2021-02-14 23:59:59	17:29:00	17:29:00	00:07:00
CHIRIBAY	SP1-A	2021-02-14 00:00:00	2021-02-14 23:59:59	06:24:00	06:24:00	--
D.VICTOR	PUERTO TALARA	2021-02-14 00:00:00	2021-02-14 23:59:59	22:59:00	22:59:00	01:01:00
ELIZABET	PN2	2021-02-14 00:00:00	2021-02-14 23:59:59	23:53:00	23:53:00	00:07:00
HIPPO	MC DONALD	2021-02-14 00:00:00	2021-02-14 23:59:59	23:53:00	23:53:00	00:07:00
IRIS	FLOTANTE PN	2021-02-14 00:00:00	2021-02-14 23:59:59	11:03:00	11:03:00	00:11:00
IRIS	CAMPO PENA NEGRA	2021-02-14 00:00:00	2021-02-14 23:59:59	00:21:00	05:27:00	--
IRIS	HH	2021-02-14 00:00:00	2021-02-14 23:59:59	00:10:00	00:11:00	--
IRIS	Z	2021-02-14 00:00:00	2021-02-14 23:59:59	02:34:00	02:34:00	--
IRIS	KK	2021-02-14 00:00:00	2021-02-14 23:59:59	00:40:00	00:40:00	--
IRIS	PN2	2021-02-14 00:00:00	2021-02-14 23:59:59	00:05:00	00:43:00	--
IRIS	OO	2021-02-14 00:00:00	2021-02-14 23:59:59	00:14:00	00:15:00	--
IRIS	PN8	2021-02-14 00:00:00	2021-02-14 23:59:59	00:18:00	00:38:00	--
IRIS	A2	2021-02-14 00:00:00	2021-02-14 23:59:59	00:04:00	00:07:00	--
IRIS	R	2021-02-14 00:00:00	2021-02-14 23:59:59	00:05:00	00:07:00	--
IRIS	GG	2021-02-14 00:00:00	2021-02-14 23:59:59	00:04:00	00:06:00	--
IRIS	DD	2021-02-14 00:00:00	2021-02-14 23:59:59	00:13:00	00:13:00	--
IRIS	NN	2021-02-14 00:00:00	2021-02-14 23:59:59	00:06:00	00:06:00	--
IRIS	LL	2021-02-14 00:00:00	2021-02-14 23:59:59	00:20:00	00:24:00	--
IRIS	PN9	2021-02-14 00:00:00	2021-02-14 23:59:59	00:11:00	00:12:00	--
IRIS	PN3	2021-02-14 00:00:00	2021-02-14 23:59:59	00:18:00	00:22:00	--
IRIS	PN1	2021-02-14 00:00:00	2021-02-14 23:59:59	00:09:00	00:10:00	--
IRIS	PN7	2021-02-14 00:00:00	2021-02-14 23:59:59	00:08:00	00:09:00	--
IRIS	BB	2021-02-14 00:00:00	2021-02-14 23:59:59	00:22:00	00:22:00	--
KELLEY	CAMPO SAN PEDRO	2021-02-14 00:00:00	2021-02-14 23:59:59	08:59:00	11:59:00	01:01:00
KELLEY	SP1	2021-02-14 00:00:00	2021-02-14 23:59:59	03:00:00	03:00:00	--
KELLEY	SP1-A	2021-02-14 00:00:00	2021-02-14 23:59:59	08:00:00	08:00:00	--
LOBITOS	CAMPO LOBITOS	2021-02-14 00:00:00	2021-02-14 23:59:59	02:20:00	02:20:00	00:11:00
LOBITOS	PUERTO TALARA	2021-02-14 00:00:00	2021-02-14 23:59:59	06:28:00	06:28:00	--
LOBITOS	PN2	2021-02-14 00:00:00	2021-02-14 23:59:59	00:59:00	00:59:00	--
LOBITOS	CAMPO PENA NEGRA	2021-02-14 00:00:00	2021-02-14 23:59:59	01:46:00	01:46:00	--
LOBITOS	FLOTANTE PN	2021-02-14 00:00:00	2021-02-14 23:59:59	02:04:00	02:04:00	--
LOBITOS	FLOTANTE LO	2021-02-14 00:00:00	2021-02-14 23:59:59	01:16:00	01:16:00	--
LOBITOS	LO6	2021-02-14 00:00:00	2021-02-14 23:59:59	01:20:00	01:20:00	--
LOBITOS	MC DONALD	2021-02-14 00:00:00	2021-02-14 23:59:59	07:36:00	07:36:00	--
MISS D	FLOTANTE LO	2021-02-14 00:00:00	2021-02-14 23:59:59	14:04:00	14:05:00	00:11:00
MISS D	CAMPO LOBITOS	2021-02-14 00:00:00	2021-02-14 23:59:59	00:02:00	04:17:00	--
MISS D	ZZ	2021-02-14 00:00:00	2021-02-14 23:59:59	00:24:00	00:25:00	--
MISS D	LO9	2021-02-14 00:00:00	2021-02-14 23:59:59	00:05:00	00:07:00	--
MISS D	LO8	2021-02-14 00:00:00	2021-02-14 23:59:59	01:00:00	01:01:00	--
MISS D	LO15	2021-02-14 00:00:00	2021-02-14 23:59:59	00:46:00	00:48:00	--
MISS D	H	2021-02-14 00:00:00	2021-02-14 23:59:59	01:50:00	01:53:00	--
MISS D	CC	2021-02-14 00:00:00	2021-02-14 23:59:59	00:06:00	00:09:00	--
MISS D	LO6	2021-02-14 00:00:00	2021-02-14 23:59:59	00:18:00	00:22:00	--
MISS D	LO7	2021-02-14 00:00:00	2021-02-14 23:59:59	00:06:00	00:08:00	--
