VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	FLOTANTE LO	2021-07-08 00:00:00	2021-07-08 23:59:59	14:57:00	14:59:00	00:10:00
BUCKLEY	CAMPO LOBITOS	2021-07-08 00:00:00	2021-07-08 23:59:59	00:04:00	03:35:00	--
BUCKLEY	LO7	2021-07-08 00:00:00	2021-07-08 23:59:59	00:44:00	00:44:00	--
BUCKLEY	LO6	2021-07-08 00:00:00	2021-07-08 23:59:59	00:26:00	00:27:00	--
BUCKLEY	LO4	2021-07-08 00:00:00	2021-07-08 23:59:59	00:19:00	00:19:00	--
BUCKLEY	LO3	2021-07-08 00:00:00	2021-07-08 23:59:59	00:22:00	00:23:00	--
BUCKLEY	LO11	2021-07-08 00:00:00	2021-07-08 23:59:59	00:15:00	00:15:00	--
BUCKLEY	CC	2021-07-08 00:00:00	2021-07-08 23:59:59	00:39:00	00:39:00	--
BUCKLEY	LO9	2021-07-08 00:00:00	2021-07-08 23:59:59	00:22:00	00:22:00	--
BUCKLEY	H	2021-07-08 00:00:00	2021-07-08 23:59:59	00:07:00	00:07:00	--
BUCKLEY	LO8	2021-07-08 00:00:00	2021-07-08 23:59:59	01:59:00	01:59:00	--
BUCKLEY	A8	2021-07-08 00:00:00	2021-07-08 23:59:59	00:01:00	00:01:00	--
CHIMERA	PUERTO TALARA	2021-07-08 00:00:00	2021-07-08 23:59:59	21:24:00	22:59:00	01:01:00
CHIP II	PUERTO TALARA	2021-07-08 00:00:00	2021-07-08 23:59:59	12:13:00	13:22:00	00:03:00
CHIP II	MC DONALD	2021-07-08 00:00:00	2021-07-08 23:59:59	07:55:00	10:35:00	--
CHIRIBAY	RIO AMAZONAS	2021-07-08 00:00:00	2021-07-08 23:59:59	22:53:00	23:53:00	00:07:00
D.VICTOR	PUERTO TALARA	2021-07-08 00:00:00	2021-07-08 23:59:59	20:55:00	22:59:00	01:01:00
DONALD R	LO8	2021-07-08 00:00:00	2021-07-08 23:59:59	14:29:00	14:29:00	04:28:00
DONALD R	FLOTANTE LO	2021-07-08 00:00:00	2021-07-08 23:59:59	05:01:00	05:01:00	--
DONALD R	LO14	2021-07-08 00:00:00	2021-07-08 23:59:59	00:01:00	00:01:00	--
DONALD R	PUERTO TALARA	2021-07-08 00:00:00	2021-07-08 23:59:59	00:01:00	00:01:00	--
ELIZABET	LL	2021-07-08 00:00:00	2021-07-08 23:59:59	23:55:00	23:55:00	00:05:00
HIPPO	MC DONALD	2021-07-08 00:00:00	2021-07-08 23:59:59	23:53:00	23:53:00	00:07:00
IRIS	CAMPO PENA NEGRA	2021-07-08 00:00:00	2021-07-08 23:59:59	07:38:00	07:38:00	00:12:00
IRIS	DD	2021-07-08 00:00:00	2021-07-08 23:59:59	00:11:00	00:19:00	--
IRIS	HH	2021-07-08 00:00:00	2021-07-08 23:59:59	01:35:00	01:43:00	--
IRIS	FLOTANTE PN	2021-07-08 00:00:00	2021-07-08 23:59:59	05:17:00	08:31:00	--
IRIS	R	2021-07-08 00:00:00	2021-07-08 23:59:59	00:10:00	00:15:00	--
IRIS	Z	2021-07-08 00:00:00	2021-07-08 23:59:59	00:56:00	01:08:00	--
IRIS	KK	2021-07-08 00:00:00	2021-07-08 23:59:59	00:18:00	00:39:00	--
IRIS	OO	2021-07-08 00:00:00	2021-07-08 23:59:59	00:44:00	00:44:00	--
IRIS	PN2	2021-07-08 00:00:00	2021-07-08 23:59:59	00:15:00	00:24:00	--
IRIS	PN7	2021-07-08 00:00:00	2021-07-08 23:59:59	00:10:00	00:10:00	--
IRIS	LL	2021-07-08 00:00:00	2021-07-08 23:59:59	00:06:00	00:11:00	--
IRIS	PN8	2021-07-08 00:00:00	2021-07-08 23:59:59	00:38:00	00:41:00	--
IRIS	PN1	2021-07-08 00:00:00	2021-07-08 23:59:59	00:12:00	00:12:00	--
IRIS	PN9	2021-07-08 00:00:00	2021-07-08 23:59:59	00:13:00	00:13:00	--
IRIS	PN3	2021-07-08 00:00:00	2021-07-08 23:59:59	00:10:00	00:11:00	--
IRIS	BB	2021-07-08 00:00:00	2021-07-08 23:59:59	00:08:00	00:08:00	--
IRIS	NN	2021-07-08 00:00:00	2021-07-08 23:59:59	00:34:00	00:34:00	--
IRIS	GG	2021-07-08 00:00:00	2021-07-08 23:59:59	00:07:00	00:07:00	--
KELLEY	CAMPO SAN PEDRO	2021-07-08 00:00:00	2021-07-08 23:59:59	05:20:00	14:00:00	01:00:00
KELLEY	SP1	2021-07-08 00:00:00	2021-07-08 23:59:59	04:00:00	08:00:00	--
KELLEY	SP1-A	2021-07-08 00:00:00	2021-07-08 23:59:59	00:59:00	00:59:00	--
KELLEY	ES1	2021-07-08 00:00:00	2021-07-08 23:59:59	00:01:00	00:01:00	--
LOBITOS	PUERTO TALARA	2021-07-08 00:00:00	2021-07-08 23:59:59	23:14:00	23:14:00	00:07:00
LOBITOS	MC DONALD	2021-07-08 00:00:00	2021-07-08 23:59:59	00:39:00	00:39:00	--
MISS D	FLOTANTE PN	2021-07-08 00:00:00	2021-07-08 23:59:59	07:37:00	13:29:00	01:15:00
MISS D	CAMPO PENA NEGRA	2021-07-08 00:00:00	2021-07-08 23:59:59	04:37:00	04:37:00	--
MISS D	DD	2021-07-08 00:00:00	2021-07-08 23:59:59	00:15:00	00:15:00	--
MISS D	GG	2021-07-08 00:00:00	2021-07-08 23:59:59	00:13:00	00:18:00	--
MISS D	R	2021-07-08 00:00:00	2021-07-08 23:59:59	00:06:00	00:17:00	--
MISS D	M	2021-07-08 00:00:00	2021-07-08 23:59:59	00:13:00	00:14:00	--
MISS D	YY	2021-07-08 00:00:00	2021-07-08 23:59:59	00:22:00	01:32:00	--
MISS D	TT	2021-07-08 00:00:00	2021-07-08 23:59:59	00:13:00	00:14:00	--
MISS D	A2	2021-07-08 00:00:00	2021-07-08 23:59:59	00:10:00	00:10:00	--
MISS D	FF	2021-07-08 00:00:00	2021-07-08 23:59:59	00:06:00	00:06:00	--
MISS D	SS	2021-07-08 00:00:00	2021-07-08 23:59:59	00:06:00	00:06:00	--
MISS D	PN5	2021-07-08 00:00:00	2021-07-08 23:59:59	00:17:00	00:18:00	--
MISS D	UU	2021-07-08 00:00:00	2021-07-08 23:59:59	00:22:00	00:25:00	--
MISS D	NN	2021-07-08 00:00:00	2021-07-08 23:59:59	00:09:00	00:13:00	--
MISS D	Z	2021-07-08 00:00:00	2021-07-08 23:59:59	00:08:00	00:09:00	--
MISS D	PN14	2021-07-08 00:00:00	2021-07-08 23:59:59	00:08:00	00:08:00	--
MISS D	PN4	2021-07-08 00:00:00	2021-07-08 23:59:59	00:11:00	00:11:00	--
MISS D	HH	2021-07-08 00:00:00	2021-07-08 23:59:59	00:03:00	00:03:00	--
NEPTUNO	PUERTO TALARA	2021-07-08 00:00:00	2021-07-08 23:59:59	11:57:00	11:57:00	00:10:00
NEPTUNO	CAMPO LITORAL	2021-07-08 00:00:00	2021-07-08 23:59:59	00:48:00	00:48:00	--
NEPTUNO	LT12	2021-07-08 00:00:00	2021-07-08 23:59:59	00:28:00	00:29:00	--
