VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2021-07-15 00:00:00;2021-07-15 23:59:59;23:07:00;23:35:00;00:08:00
BUCKLEY;RIO AMAZONAS;2021-07-15 00:00:00;2021-07-15 23:59:59;00:15:00;00:17:00;--
CHIMERA;PUERTO TALARA;2021-07-15 00:00:00;2021-07-15 23:59:59;20:01:00;22:59:00;01:01:00
CHIP II;PUERTO TALARA;2021-07-15 00:00:00;2021-07-15 23:59:59;12:56:00;12:56:00;00:23:00
CHIP II;MC DONALD;2021-07-15 00:00:00;2021-07-15 23:59:59;10:41:00;10:41:00;--
CHIRIBAY;RIO AMAZONAS;2021-07-15 00:00:00;2021-07-15 23:59:59;23:53:00;23:53:00;00:07:00
D.VICTOR;PUERTO TALARA;2021-07-15 00:00:00;2021-07-15 23:59:59;19:00:00;23:00:00;01:00:00
DONALD R;FLOTANTE LO;2021-07-15 00:00:00;2021-07-15 23:59:59;01:36:00;01:36:00;11:48:00
DONALD R;CAMPO LOBITOS;2021-07-15 00:00:00;2021-07-15 23:59:59;00:03:00;04:29:00;--
DONALD R;LO11;2021-07-15 00:00:00;2021-07-15 23:59:59;00:12:00;00:12:00;--
DONALD R;ZZ;2021-07-15 00:00:00;2021-07-15 23:59:59;00:20:00;00:22:00;--
DONALD R;LO19;2021-07-15 00:00:00;2021-07-15 23:59:59;00:06:00;00:12:00;--
DONALD R;PP;2021-07-15 00:00:00;2021-07-15 23:59:59;00:41:00;00:44:00;--
DONALD R;LO14;2021-07-15 00:00:00;2021-07-15 23:59:59;02:55:00;03:01:00;--
DONALD R;LO10;2021-07-15 00:00:00;2021-07-15 23:59:59;00:04:00;00:09:00;--
DONALD R;LO16;2021-07-15 00:00:00;2021-07-15 23:59:59;00:48:00;00:51:00;--
DONALD R;LO7;2021-07-15 00:00:00;2021-07-15 23:59:59;00:05:00;00:08:00;--
DONALD R;LO18;2021-07-15 00:00:00;2021-07-15 23:59:59;00:12:00;00:13:00;--
DONALD R;LO13;2021-07-15 00:00:00;2021-07-15 23:59:59;00:14:00;00:15:00;--
ELIZABET;LL;2021-07-15 00:00:00;2021-07-15 23:59:59;23:57:00;23:57:00;00:02:00
ELIZABET;CAMPO PENA NEGRA;2021-07-15 00:00:00;2021-07-15 23:59:59;00:01:00;00:01:00;--
HIPPO;MC DONALD;2021-07-15 00:00:00;2021-07-15 23:59:59;23:53:00;23:53:00;00:07:00
IRIS;FLOTANTE PN;2021-07-15 00:00:00;2021-07-15 23:59:59;11:40:00;11:40:00;00:14:00
IRIS;CAMPO PENA NEGRA;2021-07-15 00:00:00;2021-07-15 23:59:59;00:02:00;05:47:00;--
IRIS;DD;2021-07-15 00:00:00;2021-07-15 23:59:59;00:16:00;00:16:00;--
IRIS;R;2021-07-15 00:00:00;2021-07-15 23:59:59;00:16:00;00:18:00;--
IRIS;Z;2021-07-15 00:00:00;2021-07-15 23:59:59;00:14:00;00:23:00;--
IRIS;KK;2021-07-15 00:00:00;2021-07-15 23:59:59;00:43:00;00:44:00;--
IRIS;PN7;2021-07-15 00:00:00;2021-07-15 23:59:59;00:19:00;00:21:00;--
IRIS;OO;2021-07-15 00:00:00;2021-07-15 23:59:59;00:20:00;00:24:00;--
IRIS;PN2;2021-07-15 00:00:00;2021-07-15 23:59:59;00:49:00;00:50:00;--
IRIS;PN8;2021-07-15 00:00:00;2021-07-15 23:59:59;00:14:00;00:24:00;--
IRIS;BB;2021-07-15 00:00:00;2021-07-15 23:59:59;00:09:00;00:09:00;--
IRIS;PN9;2021-07-15 00:00:00;2021-07-15 23:59:59;00:22:00;00:24:00;--
IRIS;PN3;2021-07-15 00:00:00;2021-07-15 23:59:59;00:20:00;00:20:00;--
IRIS;PN1;2021-07-15 00:00:00;2021-07-15 23:59:59;00:12:00;00:13:00;--
IRIS;LL;2021-07-15 00:00:00;2021-07-15 23:59:59;00:44:00;00:47:00;--
IRIS;HH;2021-07-15 00:00:00;2021-07-15 23:59:59;00:13:00;00:15:00;--
IRIS;GG;2021-07-15 00:00:00;2021-07-15 23:59:59;00:08:00;00:08:00;--
IRIS;NN;2021-07-15 00:00:00;2021-07-15 23:59:59;00:09:00;00:09:00;--
IRIS;PN5;2021-07-15 00:00:00;2021-07-15 23:59:59;00:14:00;00:14:00;--
KELLEY;CAMPO SAN PEDRO;2021-07-15 00:00:00;2021-07-15 23:59:59;10:00:00;16:00:00;01:01:00
KELLEY;SP1;2021-07-15 00:00:00;2021-07-15 23:59:59;03:00:00;05:00:00;--
KELLEY;ES1;2021-07-15 00:00:00;2021-07-15 23:59:59;01:00:00;01:00:00;--
KELLEY;SP1-A;2021-07-15 00:00:00;2021-07-15 23:59:59;00:59:00;00:59:00;--
LOBITOS;CAMPO LOBITOS;2021-07-15 00:00:00;2021-07-15 23:59:59;00:01:00;01:14:00;00:12:00
LOBITOS;PUERTO TALARA;2021-07-15 00:00:00;2021-07-15 23:59:59;09:05:00;09:05:00;--
LOBITOS;CAMPO LITORAL;2021-07-15 00:00:00;2021-07-15 23:59:59;01:22:00;01:22:00;--
LOBITOS;LT3;2021-07-15 00:00:00;2021-07-15 23:59:59;00:17:00;00:17:00;--
LOBITOS;LL;2021-07-15 00:00:00;2021-07-15 23:59:59;00:45:00;00:45:00;--
LOBITOS;CAMPO PENA NEGRA;2021-07-15 00:00:00;2021-07-15 23:59:59;01:05:00;01:05:00;--
LOBITOS;YY;2021-07-15 00:00:00;2021-07-15 23:59:59;00:47:00;00:47:00;--
LOBITOS;HH;2021-07-15 00:00:00;2021-07-15 23:59:59;00:01:00;00:01:00;--
LOBITOS;FLOTANTE LO;2021-07-15 00:00:00;2021-07-15 23:59:59;01:29:00;01:29:00;--
LOBITOS;MC DONALD;2021-07-15 00:00:00;2021-07-15 23:59:59;02:41:00;02:41:00;--
LOBITOS;CAMPO PROVIDENCIA;2021-07-15 00:00:00;2021-07-15 23:59:59;01:18:00;01:18:00;--
LOBITOS;LT1;2021-07-15 00:00:00;2021-07-15 23:59:59;00:01:00;00:01:00;--
LOBITOS;LT2;2021-07-15 00:00:00;2021-07-15 23:59:59;01:04:00;01:04:00;--
LOBITOS;LT12;2021-07-15 00:00:00;2021-07-15 23:59:59;01:28:00;01:28:00;--
LOBITOS;3B;2021-07-15 00:00:00;2021-07-15 23:59:59;00:01:00;00:01:00;--
LOBITOS;4D;2021-07-15 00:00:00;2021-07-15 23:59:59;01:10:00;01:10:00;--
MISS D;FLOTANTE PN;2021-07-15 00:00:00;2021-07-15 23:59:59;16:27:00;16:30:00;00:15:00
MISS D;CAMPO PENA NEGRA;2021-07-15 00:00:00;2021-07-15 23:59:59;00:07:00;03:20:00;--
MISS D;DD;2021-07-15 00:00:00;2021-07-15 23:59:59;00:32:00;00:35:00;--
MISS D;GG;2021-07-15 00:00:00;2021-07-15 23:59:59;00:13:00;00:14:00;--
MISS D;PN14;2021-07-15 00:00:00;2021-07-15 23:59:59;00:11:00;00:12:00;--
MISS D;NN;2021-07-15 00:00:00;2021-07-15 23:59:59;00:25:00;00:27:00;--
MISS D;R;2021-07-15 00:00:00;2021-07-15 23:59:59;00:25:00;00:27:00;--
MISS D;YY;2021-07-15 00:00:00;2021-07-15 23:59:59;00:12:00;00:14:00;--
MISS D;TT;2021-07-15 00:00:00;2021-07-15 23:59:59;00:06:00;00:09:00;--
MISS D;A2;2021-07-15 00:00:00;2021-07-15 23:59:59;00:06:00;00:07:00;--
MISS D;UU;2021-07-15 00:00:00;2021-07-15 23:59:59;00:06:00;00:06:00;--
MISS D;PN5;2021-07-15 00:00:00;2021-07-15 23:59:59;00:33:00;00:34:00;--
MISS D;SS;2021-07-15 00:00:00;2021-07-15 23:59:59;00:04:00;00:05:00;--
MISS D;FF;2021-07-15 00:00:00;2021-07-15 23:59:59;00:05:00;00:06:00;--
MISS D;M;2021-07-15 00:00:00;2021-07-15 23:59:59;00:07:00;00:08:00;--
MISS D;PN4;2021-07-15 00:00:00;2021-07-15 23:59:59;00:25:00;00:27:00;--
MISS D;OO;2021-07-15 00:00:00;2021-07-15 23:59:59;00:03:00;00:03:00;--
MISS D;PN11;2021-07-15 00:00:00;2021-07-15 23:59:59;00:01:00;00:01:00;--
NEPTUNO;PUERTO TALARA;2021-07-15 00:00:00;2021-07-15 23:59:59;11:44:00;11:51:00;00:10:00
NEPTUNO;CAMPO LITORAL;2021-07-15 00:00:00;2021-07-15 23:59:59;00:40:00;00:40:00;--
NEPTUNO;3B;2021-07-15 00:00:00;2021-07-15 23:59:59;00:02:00;00:07:00;--
NEPTUNO;4D;2021-07-15 00:00:00;2021-07-15 23:59:59;00:09:00;00:37:00;--
NEPTUNO;RIO AMAZONAS;2021-07-15 00:00:00;2021-07-15 23:59:59;00:03:00;00:03:00;--
NEPTUNO;CAMPO PROVIDENCIA;2021-07-15 00:00:00;2021-07-15 23:59:59;01:14:00;01:14:00;--
NEPTUNO;PQ;2021-07-15 00:00:00;2021-07-15 23:59:59;00:02:00;00:02:00;--
NEPTUNO;PVX8;2021-07-15 00:00:00;2021-07-15 23:59:59;00:02:00;00:02:00;--
NEPTUNO;3J;2021-07-15 00:00:00;2021-07-15 23:59:59;09:14:00;09:14:00;--
OLYMPIC;PUERTO TALARA;2021-07-15 00:00:00;2021-07-15 23:59:59;11:59:00;12:39:00;00:15:00
OLYMPIC;RIO AMAZONAS;2021-07-15 00:00:00;2021-07-15 23:59:59;00:14:00;00:17:00;--
OLYMPIC;PP;2021-07-15 00:00:00;2021-07-15 23:59:59;00:06:00;00:07:00;--
OLYMPIC;FLOTANTE LO;2021-07-15 00:00:00;2021-07-15 23:59:59;00:13:00;00:16:00;--
OLYMPIC;LL;2021-07-15 00:00:00;2021-07-15 23:59:59;00:48:00;00:49:00;--
OLYMPIC;TT;2021-07-15 00:00:00;2021-07-15 23:59:59;00:13:00;00:14:00;--
OLYMPIC;DD;2021-07-15 00:00:00;2021-07-15 23:59:59;00:15:00;00:17:00;--
OLYMPIC;FLOTANTE PN;2021-07-15 00:00:00;2021-07-15 23:59:59;01:49:00;01:54:00;--
OLYMPIC;HH;2021-07-15 00:00:00;2021-07-15 23:59:59;00:11:00;00:12:00;--
OLYMPIC;PN1;2021-07-15 00:00:00;2021-07-15 23:59:59;00:08:00;00:08:00;--
OLYMPIC;PN9;2021-07-15 00:00:00;2021-07-15 23:59:59;00:27:00;00:27:00;--
OLYMPIC;Z;2021-07-15 00:00:00;2021-07-15 23:59:59;00:12:00;00:12:00;--
OLYMPIC;NN;2021-07-15 00:00:00;2021-07-15 23:59:59;00:19:00;00:19:00;--
OLYMPIC;M;2021-07-15 00:00:00;2021-07-15 23:59:59;00:09:00;00:10:00;--
OLYMPIC;MC DONALD;2021-07-15 00:00:00;2021-07-15 23:59:59;00:20:00;00:20:00;--
OLYMPIC;CAMPO LOBITOS;2021-07-15 00:00:00;2021-07-15 23:59:59;01:40:00;01:40:00;--
