VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;FLOTANTE PN;2021-06-18 00:00:00;2021-06-18 23:59:59;15:11:00;15:11:00;00:13:00
BUCKLEY;CAMPO PENA NEGRA;2021-06-18 00:00:00;2021-06-18 23:59:59;00:46:00;02:40:00;--
BUCKLEY;PN4;2021-06-18 00:00:00;2021-06-18 23:59:59;00:33:00;01:09:00;--
BUCKLEY;PN14;2021-06-18 00:00:00;2021-06-18 23:59:59;00:10:00;00:10:00;--
BUCKLEY;NN;2021-06-18 00:00:00;2021-06-18 23:59:59;00:13:00;00:17:00;--
BUCKLEY;GG;2021-06-18 00:00:00;2021-06-18 23:59:59;00:25:00;00:27:00;--
BUCKLEY;UU;2021-06-18 00:00:00;2021-06-18 23:59:59;00:22:00;00:24:00;--
BUCKLEY;R;2021-06-18 00:00:00;2021-06-18 23:59:59;00:40:00;00:40:00;--
BUCKLEY;A2;2021-06-18 00:00:00;2021-06-18 23:59:59;00:35:00;00:38:00;--
BUCKLEY;M;2021-06-18 00:00:00;2021-06-18 23:59:59;00:39:00;00:39:00;--
BUCKLEY;FF;2021-06-18 00:00:00;2021-06-18 23:59:59;00:14:00;00:15:00;--
BUCKLEY;SS;2021-06-18 00:00:00;2021-06-18 23:59:59;00:10:00;00:10:00;--
BUCKLEY;PN5;2021-06-18 00:00:00;2021-06-18 23:59:59;00:24:00;00:25:00;--
BUCKLEY;DD;2021-06-18 00:00:00;2021-06-18 23:59:59;00:37:00;00:41:00;--
BUCKLEY;PN11;2021-06-18 00:00:00;2021-06-18 23:59:59;00:01:00;00:01:00;--
CHIMERA;PUERTO TALARA;2021-06-18 00:00:00;2021-06-18 23:59:59;19:00:00;21:59:00;01:01:00
CHIMERA;RIO AMAZONAS;2021-06-18 00:00:00;2021-06-18 23:59:59;01:00:00;01:00:00;--
CHIP II;PUERTO TALARA;2021-06-18 00:00:00;2021-06-18 23:59:59;23:32:00;23:32:00;00:04:00
CHIP II;RIO AMAZONAS;2021-06-18 00:00:00;2021-06-18 23:59:59;00:02:00;00:03:00;--
CHIP II;MC DONALD;2021-06-18 00:00:00;2021-06-18 23:59:59;00:21:00;00:21:00;--
CHIRIBAY;NONE;2021-06-18 00:00:00;2021-06-18 23:59:59;00:00:00;00:00:00;24:00:00
D.VICTOR;PUERTO TALARA;2021-06-18 00:00:00;2021-06-18 23:59:59;16:00:00;23:00:00;01:00:00
DONALD R;FLOTANTE LO;2021-06-18 00:00:00;2021-06-18 23:59:59;02:22:00;02:22:00;12:35:00
DONALD R;ZZ;2021-06-18 00:00:00;2021-06-18 23:59:59;00:56:00;00:56:00;--
DONALD R;LO19;2021-06-18 00:00:00;2021-06-18 23:59:59;00:09:00;00:10:00;--
DONALD R;LO16;2021-06-18 00:00:00;2021-06-18 23:59:59;00:27:00;00:35:00;--
