VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	FLOTANTE LO	2021-06-30 00:00:00	2021-06-30 23:59:59	11:23:00	14:08:00	00:13:00
BUCKLEY	CAMPO LOBITOS	2021-06-30 00:00:00	2021-06-30 23:59:59	00:05:00	04:01:00	--
BUCKLEY	LO11	2021-06-30 00:00:00	2021-06-30 23:59:59	00:13:00	00:14:00	--
BUCKLEY	CC	2021-06-30 00:00:00	2021-06-30 23:59:59	00:47:00	00:48:00	--
BUCKLEY	LO7	2021-06-30 00:00:00	2021-06-30 23:59:59	00:13:00	00:14:00	--
BUCKLEY	LO4	2021-06-30 00:00:00	2021-06-30 23:59:59	03:24:00	03:30:00	--
BUCKLEY	LO6	2021-06-30 00:00:00	2021-06-30 23:59:59	00:12:00	00:14:00	--
BUCKLEY	LO3	2021-06-30 00:00:00	2021-06-30 23:59:59	00:13:00	00:16:00	--
BUCKLEY	LO8	2021-06-30 00:00:00	2021-06-30 23:59:59	00:07:00	00:07:00	--
BUCKLEY	H	2021-06-30 00:00:00	2021-06-30 23:59:59	00:06:00	00:06:00	--
BUCKLEY	LO9	2021-06-30 00:00:00	2021-06-30 23:59:59	00:04:00	00:04:00	--
BUCKLEY	LO13	2021-06-30 00:00:00	2021-06-30 23:59:59	00:03:00	00:04:00	--
BUCKLEY	ZZ	2021-06-30 00:00:00	2021-06-30 23:59:59	00:01:00	00:01:00	--
CHIMERA	PUERTO TALARA	2021-06-30 00:00:00	2021-06-30 23:59:59	20:35:00	22:59:00	01:01:00
CHIP II	PUERTO TALARA	2021-06-30 00:00:00	2021-06-30 23:59:59	11:49:00	11:49:00	00:04:00
CHIP II	MC DONALD	2021-06-30 00:00:00	2021-06-30 23:59:59	12:06:00	12:06:00	--
CHIP II	RIO AMAZONAS	2021-06-30 00:00:00	2021-06-30 23:59:59	00:01:00	00:01:00	--
CHIRIBAY	NONE	2021-06-30 00:00:00	2021-06-30 23:59:59	00:00:00	00:00:00	24:00:00
D.VICTOR	PUERTO TALARA	2021-06-30 00:00:00	2021-06-30 23:59:59	23:00:00	23:00:00	01:00:00
DONALD R	PUERTO TALARA	2021-06-30 00:00:00	2021-06-30 23:59:59	10:19:00	10:19:00	13:28:00
DONALD R	RIO AMAZONAS	2021-06-30 00:00:00	2021-06-30 23:59:59	00:13:00	00:13:00	--
ELIZABET	LO11	2021-06-30 00:00:00	2021-06-30 23:59:59	23:58:00	23:58:00	00:02:00
