VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	FLOTANTE PN	2021-03-02 00:00:00	2021-03-02 23:59:59	16:21:00	16:21:00	00:20:00
BUCKLEY	CAMPO PENA NEGRA	2021-03-02 00:00:00	2021-03-02 23:59:59	00:23:00	03:26:00	--
BUCKLEY	PN9	2021-03-02 00:00:00	2021-03-02 23:59:59	00:07:00	00:08:00	--
BUCKLEY	TT	2021-03-02 00:00:00	2021-03-02 23:59:59	00:06:00	00:06:00	--
BUCKLEY	PN4	2021-03-02 00:00:00	2021-03-02 23:59:59	00:43:00	00:43:00	--
BUCKLEY	DD	2021-03-02 00:00:00	2021-03-02 23:59:59	00:39:00	00:45:00	--
BUCKLEY	UU	2021-03-02 00:00:00	2021-03-02 23:59:59	00:38:00	00:39:00	--
BUCKLEY	PN5	2021-03-02 00:00:00	2021-03-02 23:59:59	00:29:00	00:31:00	--
BUCKLEY	SS	2021-03-02 00:00:00	2021-03-02 23:59:59	00:05:00	00:05:00	--
BUCKLEY	FF	2021-03-02 00:00:00	2021-03-02 23:59:59	00:04:00	00:04:00	--
BUCKLEY	M	2021-03-02 00:00:00	2021-03-02 23:59:59	00:02:00	00:04:00	--
BUCKLEY	R	2021-03-02 00:00:00	2021-03-02 23:59:59	00:07:00	00:07:00	--
BUCKLEY	A2	2021-03-02 00:00:00	2021-03-02 23:59:59	00:04:00	00:05:00	--
BUCKLEY	GG	2021-03-02 00:00:00	2021-03-02 23:59:59	00:07:00	00:08:00	--
BUCKLEY	NN	2021-03-02 00:00:00	2021-03-02 23:59:59	00:18:00	00:20:00	--
BUCKLEY	PN14	2021-03-02 00:00:00	2021-03-02 23:59:59	00:08:00	00:08:00	--
CHIMERA	NONE	2021-03-02 00:00:00	2021-03-02 23:59:59	00:00:00	00:00:00	24:00:00
CHIP II	CAMPO LOBITOS	2021-03-02 00:00:00	2021-03-02 23:59:59	03:45:00	06:12:00	00:23:00
CHIP II	FLOTANTE LO	2021-03-02 00:00:00	2021-03-02 23:59:59	08:10:00	12:48:00	--
CHIP II	ZZ	2021-03-02 00:00:00	2021-03-02 23:59:59	00:27:00	00:32:00	--
CHIP II	LO19	2021-03-02 00:00:00	2021-03-02 23:59:59	00:13:00	00:14:00	--
CHIP II	LO6	2021-03-02 00:00:00	2021-03-02 23:59:59	00:15:00	00:21:00	--
CHIP II	LO16	2021-03-02 00:00:00	2021-03-02 23:59:59	00:21:00	00:21:00	--
CHIP II	LO10	2021-03-02 00:00:00	2021-03-02 23:59:59	00:01:00	00:34:00	--
CHIP II	LO14	2021-03-02 00:00:00	2021-03-02 23:59:59	01:45:00	01:45:00	--
CHIP II	U	2021-03-02 00:00:00	2021-03-02 23:59:59	00:01:00	00:01:00	--
CHIP II	PP	2021-03-02 00:00:00	2021-03-02 23:59:59	00:03:00	00:03:00	--
CHIP II	LO11	2021-03-02 00:00:00	2021-03-02 23:59:59	00:01:00	00:01:00	--
CHIP II	CC	2021-03-02 00:00:00	2021-03-02 23:59:59	00:04:00	00:08:00	--
CHIP II	LO13	2021-03-02 00:00:00	2021-03-02 23:59:59	00:11:00	00:16:00	--
CHIP II	LO18	2021-03-02 00:00:00	2021-03-02 23:59:59	00:17:00	00:17:00	--
CHIP II	LO7	2021-03-02 00:00:00	2021-03-02 23:59:59	00:04:00	00:04:00	--
CHIRIBAY	CAMPO SAN PEDRO	2021-03-02 00:00:00	2021-03-02 23:59:59	21:00:00	21:00:00	00:08:00
CHIRIBAY	ES1	2021-03-02 00:00:00	2021-03-02 23:59:59	00:01:00	00:01:00	--
CHIRIBAY	SP1-A	2021-03-02 00:00:00	2021-03-02 23:59:59	02:51:00	02:51:00	--
D.VICTOR	PUERTO TALARA	2021-03-02 00:00:00	2021-03-02 23:59:59	23:00:00	23:00:00	01:00:00
DONALD R	ZZ	2021-03-02 00:00:00	2021-03-02 23:59:59	00:39:00	00:39:00	00:14:00
DONALD R	CAMPO LOBITOS	2021-03-02 00:00:00	2021-03-02 23:59:59	00:28:00	07:25:00	--
DONALD R	FLOTANTE LO	2021-03-02 00:00:00	2021-03-02 23:59:59	08:33:00	09:22:00	--
DONALD R	CC	2021-03-02 00:00:00	2021-03-02 23:59:59	00:10:00	00:12:00	--
DONALD R	LO4	2021-03-02 00:00:00	2021-03-02 23:59:59	00:09:00	00:09:00	--
DONALD R	LO6	2021-03-02 00:00:00	2021-03-02 23:59:59	00:39:00	00:43:00	--
DONALD R	LO9	2021-03-02 00:00:00	2021-03-02 23:59:59	00:29:00	00:29:00	--
DONALD R	H	2021-03-02 00:00:00	2021-03-02 23:59:59	01:04:00	01:04:00	--
DONALD R	LO8	2021-03-02 00:00:00	2021-03-02 23:59:59	00:15:00	00:32:00	--
DONALD R	LO15	2021-03-02 00:00:00	2021-03-02 23:59:59	01:47:00	01:49:00	--
DONALD R	LO7	2021-03-02 00:00:00	2021-03-02 23:59:59	00:04:00	00:05:00	--
DONALD R	LO3	2021-03-02 00:00:00	2021-03-02 23:59:59	00:56:00	00:56:00	--
DONALD R	LO10	2021-03-02 00:00:00	2021-03-02 23:59:59	00:11:00	00:11:00	--
DONALD R	LO13	2021-03-02 00:00:00	2021-03-02 23:59:59	00:01:00	00:01:00	--
DONALD R	LO14	2021-03-02 00:00:00	2021-03-02 23:59:59	00:01:00	00:01:00	--
DONALD R	A8	2021-03-02 00:00:00	2021-03-02 23:59:59	00:02:00	00:02:00	--
DONALD R	LO11	2021-03-02 00:00:00	2021-03-02 23:59:59	00:01:00	00:01:00	--
DONALD R	PP	2021-03-02 00:00:00	2021-03-02 23:59:59	00:05:00	00:05:00	--
ELIZABET	CAMPO LOBITOS	2021-03-02 00:00:00	2021-03-02 23:59:59	15:51:00	15:51:00	00:03:00
ELIZABET	PP	2021-03-02 00:00:00	2021-03-02 23:59:59	05:23:00	05:23:00	--
ELIZABET	CAMPO PENA NEGRA	2021-03-02 00:00:00	2021-03-02 23:59:59	02:43:00	02:43:00	--
HIPPO	CAMPO LOBITOS	2021-03-02 00:00:00	2021-03-02 23:59:59	17:46:00	17:46:00	00:08:00
