VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;22:14:00;22:14:00;00:09:00
BUCKLEY;RIO AMAZONAS;2021-03-24 00:00:00;2021-03-24 23:59:59;00:13:00;00:13:00;--
BUCKLEY;CAMPO LOBITOS;2021-03-24 00:00:00;2021-03-24 23:59:59;00:53:00;00:53:00;--
BUCKLEY;PP;2021-03-24 00:00:00;2021-03-24 23:59:59;00:01:00;00:01:00;--
BUCKLEY;LO19;2021-03-24 00:00:00;2021-03-24 23:59:59;00:01:00;00:01:00;--
BUCKLEY;FLOTANTE LO;2021-03-24 00:00:00;2021-03-24 23:59:59;00:10:00;00:10:00;--
BUCKLEY;MC DONALD;2021-03-24 00:00:00;2021-03-24 23:59:59;00:19:00;00:19:00;--
CHIMERA;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;21:01:00;22:59:00;01:01:00
CHIP II;CAMPO PROVIDENCIA;2021-03-24 00:00:00;2021-03-24 23:59:59;06:43:00;06:43:00;14:23:00
CHIP II;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;02:07:00;02:07:00;--
CHIP II;RIO AMAZONAS;2021-03-24 00:00:00;2021-03-24 23:59:59;00:06:00;00:06:00;--
CHIP II;PVX8;2021-03-24 00:00:00;2021-03-24 23:59:59;00:01:00;00:01:00;--
CHIP II;PQ;2021-03-24 00:00:00;2021-03-24 23:59:59;00:02:00;00:02:00;--
CHIP II;MC DONALD;2021-03-24 00:00:00;2021-03-24 23:59:59;00:38:00;00:38:00;--
CHIRIBAY;CAMPO SAN PEDRO;2021-03-24 00:00:00;2021-03-24 23:59:59;16:04:00;16:04:00;00:09:00
CHIRIBAY;SP1-A;2021-03-24 00:00:00;2021-03-24 23:59:59;07:47:00;07:47:00;--
D.VICTOR;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;23:00:00;23:35:00;00:25:00
DONALD R;FLOTANTE LO;2021-03-24 00:00:00;2021-03-24 23:59:59;09:19:00;09:19:00;00:50:00
DONALD R;LO6;2021-03-24 00:00:00;2021-03-24 23:59:59;01:17:00;01:17:00;--
DONALD R;LO4;2021-03-24 00:00:00;2021-03-24 23:59:59;00:14:00;00:28:00;--
DONALD R;LO3;2021-03-24 00:00:00;2021-03-24 23:59:59;00:51:00;00:57:00;--
DONALD R;LO7;2021-03-24 00:00:00;2021-03-24 23:59:59;00:22:00;00:37:00;--
DONALD R;LO11;2021-03-24 00:00:00;2021-03-24 23:59:59;02:05:00;02:05:00;--
DONALD R;LO8;2021-03-24 00:00:00;2021-03-24 23:59:59;00:15:00;00:15:00;--
DONALD R;H;2021-03-24 00:00:00;2021-03-24 23:59:59;00:09:00;00:10:00;--
DONALD R;LO9;2021-03-24 00:00:00;2021-03-24 23:59:59;00:20:00;00:21:00;--
DONALD R;ZZ;2021-03-24 00:00:00;2021-03-24 23:59:59;00:08:00;00:10:00;--
DONALD R;LO14;2021-03-24 00:00:00;2021-03-24 23:59:59;00:13:00;00:13:00;--
DONALD R;CC;2021-03-24 00:00:00;2021-03-24 23:59:59;00:10:00;00:20:00;--
DONALD R;CAMPO LOBITOS;2021-03-24 00:00:00;2021-03-24 23:59:59;06:56:00;06:56:00;--
DONALD R;U;2021-03-24 00:00:00;2021-03-24 23:59:59;00:01:00;00:01:00;--
DONALD R;A8;2021-03-24 00:00:00;2021-03-24 23:59:59;00:01:00;00:01:00;--
ELIZABET;LO6;2021-03-24 00:00:00;2021-03-24 23:59:59;23:56:00;23:56:00;00:04:00
HIPPO;CAMPO PENA NEGRA;2021-03-24 00:00:00;2021-03-24 23:59:59;14:15:00;14:15:00;00:04:00
HIPPO;PN3;2021-03-24 00:00:00;2021-03-24 23:59:59;07:17:00;07:17:00;--
HIPPO;CAMPO LOBITOS;2021-03-24 00:00:00;2021-03-24 23:59:59;02:01:00;02:01:00;--
HIPPO;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;00:23:00;00:23:00;--
IRIS;CAMPO PENA NEGRA;2021-03-24 00:00:00;2021-03-24 23:59:59;00:07:00;05:53:00;00:12:00
IRIS;DD;2021-03-24 00:00:00;2021-03-24 23:59:59;00:19:00;00:19:00;--
IRIS;GG;2021-03-24 00:00:00;2021-03-24 23:59:59;00:06:00;00:06:00;--
IRIS;Z;2021-03-24 00:00:00;2021-03-24 23:59:59;00:08:00;00:24:00;--
IRIS;KK;2021-03-24 00:00:00;2021-03-24 23:59:59;01:00:00;01:02:00;--
IRIS;PN7;2021-03-24 00:00:00;2021-03-24 23:59:59;00:28:00;00:28:00;--
IRIS;OO;2021-03-24 00:00:00;2021-03-24 23:59:59;01:02:00;01:06:00;--
IRIS;PN1;2021-03-24 00:00:00;2021-03-24 23:59:59;00:50:00;01:27:00;--
IRIS;PN8;2021-03-24 00:00:00;2021-03-24 23:59:59;00:29:00;00:39:00;--
IRIS;PN2;2021-03-24 00:00:00;2021-03-24 23:59:59;00:29:00;00:53:00;--
IRIS;BB;2021-03-24 00:00:00;2021-03-24 23:59:59;00:06:00;00:10:00;--
IRIS;FLOTANTE PN;2021-03-24 00:00:00;2021-03-24 23:59:59;10:36:00;10:36:00;--
IRIS;PN9;2021-03-24 00:00:00;2021-03-24 23:59:59;00:09:00;00:09:00;--
IRIS;LL;2021-03-24 00:00:00;2021-03-24 23:59:59;00:10:00;00:11:00;--
IRIS;HH;2021-03-24 00:00:00;2021-03-24 23:59:59;00:08:00;00:08:00;--
IRIS;NN;2021-03-24 00:00:00;2021-03-24 23:59:59;00:06:00;00:06:00;--
IRIS;R;2021-03-24 00:00:00;2021-03-24 23:59:59;00:11:00;00:11:00;--
KELLEY;CAMPO SAN PEDRO;2021-03-24 00:00:00;2021-03-24 23:59:59;02:48:00;12:00:00;01:01:00
KELLEY;SP1;2021-03-24 00:00:00;2021-03-24 23:59:59;06:00:00;07:59:00;--
KELLEY;SP1-A;2021-03-24 00:00:00;2021-03-24 23:59:59;01:13:00;03:00:00;--
LOBITOS;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;00:54:00;00:54:00;00:04:00
LOBITOS;LO6;2021-03-24 00:00:00;2021-03-24 23:59:59;01:34:00;01:34:00;--
LOBITOS;CAMPO LOBITOS;2021-03-24 00:00:00;2021-03-24 23:59:59;01:21:00;01:21:00;--
LOBITOS;FLOTANTE LO;2021-03-24 00:00:00;2021-03-24 23:59:59;01:19:00;01:19:00;--
LOBITOS;MC DONALD;2021-03-24 00:00:00;2021-03-24 23:59:59;18:48:00;18:48:00;--
MR MATT;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;22:01:00;23:27:00;00:04:00
MR MATT;MC DONALD;2021-03-24 00:00:00;2021-03-24 23:59:59;00:25:00;00:25:00;--
MR MATT;RIO AMAZONAS;2021-03-24 00:00:00;2021-03-24 23:59:59;00:04:00;00:04:00;--
NEPTUNO;PUERTO TALARA;2021-03-24 00:00:00;2021-03-24 23:59:59;12:03:00;12:32:00;00:07:00
NEPTUNO;CAMPO PENA NEGRA;2021-03-24 00:00:00;2021-03-24 23:59:59;06:58:00;06:58:00;--
NEPTUNO;PN3;2021-03-24 00:00:00;2021-03-24 23:59:59;00:27:00;02:12:00;--
NEPTUNO;PN2;2021-03-24 00:00:00;2021-03-24 23:59:59;00:07:00;00:07:00;--
NEPTUNO;FLOTANTE PN;2021-03-24 00:00:00;2021-03-24 23:59:59;00:03:00;00:04:00;--
NEPTUNO;FLOTANTE LO;2021-03-24 00:00:00;2021-03-24 23:59:59;00:06:00;00:07:00;--
NEPTUNO;PP;2021-03-24 00:00:00;2021-03-24 23:59:59;00:01:00;00:01:00;--
NEPTUNO;CAMPO LOBITOS;2021-03-24 00:00:00;2021-03-24 23:59:59;01:48:00;01:48:00;--
NEPTUNO;MC DONALD;2021-03-24 00:00:00;2021-03-24 23:59:59;00:03:00;00:03:00;--
