VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;14:04:00;14:47:00;00:09:00
BUCKLEY;RIO AMAZONAS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:13:00;00:13:00;--
BUCKLEY;CAMPO PENA NEGRA;2021-05-27 00:00:00;2021-05-27 23:59:59;06:11:00;07:00:00;--
BUCKLEY;MC DONALD;2021-05-27 00:00:00;2021-05-27 23:59:59;00:04:00;00:04:00;--
BUCKLEY;CAMPO LOBITOS;2021-05-27 00:00:00;2021-05-27 23:59:59;01:44:00;01:44:00;--
BUCKLEY;PN4;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
BUCKLEY;PN14;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
BUCKLEY;PP;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
CHIMERA;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;23:00:00;23:00:00;01:00:00
CHIP II;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;22:34:00;23:09:00;00:04:00
CHIP II;RIO AMAZONAS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:27:00;--
CHIP II;MC DONALD;2021-05-27 00:00:00;2021-05-27 23:59:59;00:20:00;00:20:00;--
CHIRIBAY;CAMPO PENA NEGRA;2021-05-27 00:00:00;2021-05-27 23:59:59;14:46:00;14:46:00;00:08:00
CHIRIBAY;PN7;2021-05-27 00:00:00;2021-05-27 23:59:59;00:02:00;00:02:00;--
CHIRIBAY;OO;2021-05-27 00:00:00;2021-05-27 23:59:59;09:04:00;09:04:00;--
D.VICTOR;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;22:00:00;22:00:00;02:00:00
DONALD R;FLOTANTE LO;2021-05-27 00:00:00;2021-05-27 23:59:59;02:18:00;02:18:00;12:10:00
DONALD R;CAMPO LOBITOS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:04:00;05:02:00;--
DONALD R;LO11;2021-05-27 00:00:00;2021-05-27 23:59:59;00:36:00;00:36:00;--
DONALD R;CC;2021-05-27 00:00:00;2021-05-27 23:59:59;00:18:00;00:20:00;--
DONALD R;LO4;2021-05-27 00:00:00;2021-05-27 23:59:59;00:05:00;00:08:00;--
DONALD R;LO14;2021-05-27 00:00:00;2021-05-27 23:59:59;00:30:00;00:30:00;--
DONALD R;LO10;2021-05-27 00:00:00;2021-05-27 23:59:59;00:04:00;00:04:00;--
DONALD R;LO16;2021-05-27 00:00:00;2021-05-27 23:59:59;00:16:00;00:16:00;--
DONALD R;LO13;2021-05-27 00:00:00;2021-05-27 23:59:59;00:06:00;00:06:00;--
DONALD R;LO6;2021-05-27 00:00:00;2021-05-27 23:59:59;00:10:00;00:12:00;--
DONALD R;LO3;2021-05-27 00:00:00;2021-05-27 23:59:59;00:06:00;00:07:00;--
DONALD R;A8;2021-05-27 00:00:00;2021-05-27 23:59:59;01:18:00;01:19:00;--
DONALD R;LO7;2021-05-27 00:00:00;2021-05-27 23:59:59;00:31:00;00:32:00;--
DONALD R;LO8;2021-05-27 00:00:00;2021-05-27 23:59:59;00:06:00;00:07:00;--
DONALD R;H;2021-05-27 00:00:00;2021-05-27 23:59:59;00:05:00;00:05:00;--
DONALD R;LO9;2021-05-27 00:00:00;2021-05-27 23:59:59;00:08:00;00:08:00;--
ELIZABET;ZZ;2021-05-27 00:00:00;2021-05-27 23:59:59;23:58:00;23:58:00;00:02:00
HIPPO;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;23:54:00;23:54:00;00:06:00
IRIS;FLOTANTE PN;2021-05-27 00:00:00;2021-05-27 23:59:59;06:34:00;09:04:00;00:10:00
IRIS;CAMPO PENA NEGRA;2021-05-27 00:00:00;2021-05-27 23:59:59;00:56:00;08:09:00;--
IRIS;DD;2021-05-27 00:00:00;2021-05-27 23:59:59;00:14:00;00:17:00;--
IRIS;KK;2021-05-27 00:00:00;2021-05-27 23:59:59;00:56:00;00:56:00;--
IRIS;PN1;2021-05-27 00:00:00;2021-05-27 23:59:59;00:46:00;00:52:00;--
IRIS;PN8;2021-05-27 00:00:00;2021-05-27 23:59:59;00:24:00;00:24:00;--
IRIS;PN3;2021-05-27 00:00:00;2021-05-27 23:59:59;00:21:00;00:21:00;--
IRIS;PN9;2021-05-27 00:00:00;2021-05-27 23:59:59;00:20:00;00:22:00;--
IRIS;PN2;2021-05-27 00:00:00;2021-05-27 23:59:59;00:25:00;00:55:00;--
IRIS;PN7;2021-05-27 00:00:00;2021-05-27 23:59:59;00:24:00;00:52:00;--
IRIS;BB;2021-05-27 00:00:00;2021-05-27 23:59:59;00:07:00;00:12:00;--
IRIS;OO;2021-05-27 00:00:00;2021-05-27 23:59:59;00:33:00;00:33:00;--
IRIS;LL;2021-05-27 00:00:00;2021-05-27 23:59:59;00:07:00;00:18:00;--
IRIS;R;2021-05-27 00:00:00;2021-05-27 23:59:59;00:15:00;00:15:00;--
IRIS;HH;2021-05-27 00:00:00;2021-05-27 23:59:59;00:08:00;00:09:00;--
IRIS;Z;2021-05-27 00:00:00;2021-05-27 23:59:59;00:11:00;00:11:00;--
KELLEY;CAMPO SAN PEDRO;2021-05-27 00:00:00;2021-05-27 23:59:59;08:19:00;19:00:00;01:00:00
KELLEY;SP1;2021-05-27 00:00:00;2021-05-27 23:59:59;03:59:00;03:59:00;--
KELLEY;ES1;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
LOBITOS;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;23:52:00;23:52:00;00:08:00
NEPTUNO;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;13:16:00;14:12:00;00:13:00
NEPTUNO;RIO AMAZONAS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:21:00;00:26:00;--
NEPTUNO;CAMPO LITORAL;2021-05-27 00:00:00;2021-05-27 23:59:59;00:15:00;00:29:00;--
NEPTUNO;ZZ;2021-05-27 00:00:00;2021-05-27 23:59:59;00:30:00;00:30:00;--
NEPTUNO;FLOTANTE PN;2021-05-27 00:00:00;2021-05-27 23:59:59;00:43:00;00:50:00;--
NEPTUNO;FLOTANTE LO;2021-05-27 00:00:00;2021-05-27 23:59:59;00:15:00;00:25:00;--
NEPTUNO;LO14;2021-05-27 00:00:00;2021-05-27 23:59:59;00:05:00;00:13:00;--
NEPTUNO;LO13;2021-05-27 00:00:00;2021-05-27 23:59:59;00:55:00;00:55:00;--
NEPTUNO;LO18;2021-05-27 00:00:00;2021-05-27 23:59:59;00:17:00;00:17:00;--
NEPTUNO;CAMPO PROVIDENCIA;2021-05-27 00:00:00;2021-05-27 23:59:59;00:59:00;00:59:00;--
NEPTUNO;PQ;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
NEPTUNO;PVX8;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
NEPTUNO;LT12;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
NEPTUNO;3J;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
NEPTUNO;3B;2021-05-27 00:00:00;2021-05-27 23:59:59;00:02:00;00:02:00;--
NEPTUNO;4D;2021-05-27 00:00:00;2021-05-27 23:59:59;00:14:00;00:14:00;--
NEPTUNO;CAMPO LOBITOS;2021-05-27 00:00:00;2021-05-27 23:59:59;03:31:00;03:31:00;--
NEPTUNO;PP;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
NEPTUNO;CAMPO PENA NEGRA;2021-05-27 00:00:00;2021-05-27 23:59:59;00:27:00;00:27:00;--
NEPTUNO;U;2021-05-27 00:00:00;2021-05-27 23:59:59;00:04:00;00:04:00;--
NEPTUNO;LO10;2021-05-27 00:00:00;2021-05-27 23:59:59;00:05:00;00:05:00;--
NEPTUNO;LO16;2021-05-27 00:00:00;2021-05-27 23:59:59;00:02:00;00:02:00;--
NEPTUNO;LO19;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
OLYMPIC;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;01:29:00;03:19:00;00:06:00
OLYMPIC;LO11;2021-05-27 00:00:00;2021-05-27 23:59:59;09:00:00;09:01:00;--
OLYMPIC;RIO AMAZONAS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:16:00;00:21:00;--
OLYMPIC;ZZ;2021-05-27 00:00:00;2021-05-27 23:59:59;00:21:00;00:24:00;--
OLYMPIC;FLOTANTE LO;2021-05-27 00:00:00;2021-05-27 23:59:59;00:13:00;00:18:00;--
OLYMPIC;KK;2021-05-27 00:00:00;2021-05-27 23:59:59;00:07:00;00:11:00;--
OLYMPIC;TT;2021-05-27 00:00:00;2021-05-27 23:59:59;00:08:00;00:08:00;--
OLYMPIC;FLOTANTE PN;2021-05-27 00:00:00;2021-05-27 23:59:59;03:38:00;03:44:00;--
OLYMPIC;CAMPO LOBITOS;2021-05-27 00:00:00;2021-05-27 23:59:59;04:04:00;04:04:00;--
OLYMPIC;PP;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
OLYMPIC;CAMPO PENA NEGRA;2021-05-27 00:00:00;2021-05-27 23:59:59;02:08:00;02:08:00;--
OLYMPIC;BB;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
OLYMPIC;GG;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
OLYMPIC;R;2021-05-27 00:00:00;2021-05-27 23:59:59;00:03:00;00:03:00;--
OLYMPIC;PN7;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
OLYMPIC;PN9;2021-05-27 00:00:00;2021-05-27 23:59:59;00:03:00;00:03:00;--
OLYMPIC;U;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
OLYMPIC;MC DONALD;2021-05-27 00:00:00;2021-05-27 23:59:59;00:05:00;00:05:00;--
PARINAS;FLOTANTE PN;2021-05-27 00:00:00;2021-05-27 23:59:59;01:20:00;01:21:00;00:08:00
PARINAS;R;2021-05-27 00:00:00;2021-05-27 23:59:59;00:24:00;00:47:00;--
PARINAS;CAMPO LOBITOS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:27:00;04:50:00;--
PARINAS;FLOTANTE LO;2021-05-27 00:00:00;2021-05-27 23:59:59;00:18:00;00:24:00;--
PARINAS;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;10:15:00;11:46:00;--
PARINAS;RIO AMAZONAS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:26:00;00:26:00;--
PARINAS;LO14;2021-05-27 00:00:00;2021-05-27 23:59:59;00:18:00;00:21:00;--
PARINAS;ZZ;2021-05-27 00:00:00;2021-05-27 23:59:59;00:11:00;00:31:00;--
PARINAS;CAMPO PENA NEGRA;2021-05-27 00:00:00;2021-05-27 23:59:59;02:31:00;02:31:00;--
PARINAS;GG;2021-05-27 00:00:00;2021-05-27 23:59:59;00:02:00;00:02:00;--
PARINAS;LO19;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
PARINAS;PP;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
PARINAS;TORTUGA;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
PARINAS;DD;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
PARINAS;MC DONALD;2021-05-27 00:00:00;2021-05-27 23:59:59;00:48:00;00:48:00;--
PARINAS;U;2021-05-27 00:00:00;2021-05-27 23:59:59;00:01:00;00:01:00;--
ROSLYN;LT12;2021-05-27 00:00:00;2021-05-27 23:59:59;02:42:00;02:43:00;00:11:00
ROSLYN;3J;2021-05-27 00:00:00;2021-05-27 23:59:59;00:40:00;00:44:00;--
ROSLYN;CAMPO LITORAL;2021-05-27 00:00:00;2021-05-27 23:59:59;02:36:00;02:36:00;--
ROSLYN;LT1;2021-05-27 00:00:00;2021-05-27 23:59:59;00:07:00;00:43:00;--
ROSLYN;LT2;2021-05-27 00:00:00;2021-05-27 23:59:59;00:13:00;00:52:00;--
ROSLYN;4D;2021-05-27 00:00:00;2021-05-27 23:59:59;00:33:00;00:42:00;--
ROSLYN;LT6;2021-05-27 00:00:00;2021-05-27 23:59:59;02:39:00;05:07:00;--
ROSLYN;3C;2021-05-27 00:00:00;2021-05-27 23:59:59;00:06:00;00:06:00;--
ROSLYN;LT3;2021-05-27 00:00:00;2021-05-27 23:59:59;00:12:00;00:13:00;--
ROSLYN;PG;2021-05-27 00:00:00;2021-05-27 23:59:59;02:06:00;02:14:00;--
ROSLYN;PUERTO TALARA;2021-05-27 00:00:00;2021-05-27 23:59:59;01:09:00;01:48:00;--
ROSLYN;RIO AMAZONAS;2021-05-27 00:00:00;2021-05-27 23:59:59;00:15:00;00:24:00;--
ROSLYN;PV14;2021-05-27 00:00:00;2021-05-27 23:59:59;00:06:00;00:06:00;--
ROSLYN;PVX8;2021-05-27 00:00:00;2021-05-27 23:59:59;00:32:00;00:34:00;--
