VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	PUERTO TALARA	2021-05-29 00:00:00	2021-05-29 23:59:59	12:22:00	12:33:00	00:09:00
BUCKLEY	LT12	2021-05-29 00:00:00	2021-05-29 23:59:59	00:26:00	00:33:00	--
BUCKLEY	4D	2021-05-29 00:00:00	2021-05-29 23:59:59	00:17:00	01:15:00	--
BUCKLEY	LT11	2021-05-29 00:00:00	2021-05-29 23:59:59	07:16:00	07:16:00	--
BUCKLEY	RIO AMAZONAS	2021-05-29 00:00:00	2021-05-29 23:59:59	00:04:00	00:04:00	--
BUCKLEY	CAMPO PROVIDENCIA	2021-05-29 00:00:00	2021-05-29 23:59:59	01:12:00	01:12:00	--
BUCKLEY	PQ	2021-05-29 00:00:00	2021-05-29 23:59:59	00:01:00	00:01:00	--
BUCKLEY	CAMPO LITORAL	2021-05-29 00:00:00	2021-05-29 23:59:59	00:51:00	00:51:00	--
BUCKLEY	3B	2021-05-29 00:00:00	2021-05-29 23:59:59	00:04:00	00:04:00	--
BUCKLEY	3J	2021-05-29 00:00:00	2021-05-29 23:59:59	00:01:00	00:01:00	--
BUCKLEY	PG	2021-05-29 00:00:00	2021-05-29 23:59:59	00:01:00	00:01:00	--
CHIMERA	PUERTO TALARA	2021-05-29 00:00:00	2021-05-29 23:59:59	22:59:00	22:59:00	01:01:00
CHIP II	PUERTO TALARA	2021-05-29 00:00:00	2021-05-29 23:59:59	22:10:00	23:28:00	00:03:00
CHIP II	MC DONALD	2021-05-29 00:00:00	2021-05-29 23:59:59	00:24:00	00:24:00	--
CHIP II	RIO AMAZONAS	2021-05-29 00:00:00	2021-05-29 23:59:59	00:05:00	00:05:00	--
CHIRIBAY	CAMPO PENA NEGRA	2021-05-29 00:00:00	2021-05-29 23:59:59	16:49:00	16:49:00	00:07:00
CHIRIBAY	OO	2021-05-29 00:00:00	2021-05-29 23:59:59	07:03:00	07:03:00	--
CHIRIBAY	KK	2021-05-29 00:00:00	2021-05-29 23:59:59	00:01:00	00:01:00	--
D.VICTOR	PUERTO TALARA	2021-05-29 00:00:00	2021-05-29 23:59:59	22:00:00	22:00:00	02:00:00
DONALD R	FLOTANTE LO	2021-05-29 00:00:00	2021-05-29 23:59:59	03:13:00	03:13:00	00:54:00
DONALD R	ZZ	2021-05-29 00:00:00	2021-05-29 23:59:59	00:20:00	00:46:00	--
DONALD R	LO11	2021-05-29 00:00:00	2021-05-29 23:59:59	01:17:00	01:39:00	--
DONALD R	LO10	2021-05-29 00:00:00	2021-05-29 23:59:59	00:15:00	00:42:00	--
DONALD R	LO7	2021-05-29 00:00:00	2021-05-29 23:59:59	00:52:00	02:35:00	--
DONALD R	LO6	2021-05-29 00:00:00	2021-05-29 23:59:59	01:18:00	01:19:00	--
DONALD R	LO13	2021-05-29 00:00:00	2021-05-29 23:59:59	00:38:00	00:50:00	--
DONALD R	LO9	2021-05-29 00:00:00	2021-05-29 23:59:59	00:20:00	00:22:00	--
DONALD R	H	2021-05-29 00:00:00	2021-05-29 23:59:59	00:13:00	00:16:00	--
DONALD R	LO8	2021-05-29 00:00:00	2021-05-29 23:59:59	00:17:00	00:17:00	--
DONALD R	LO16	2021-05-29 00:00:00	2021-05-29 23:59:59	00:16:00	00:16:00	--
DONALD R	LO14	2021-05-29 00:00:00	2021-05-29 23:59:59	00:14:00	00:14:00	--
DONALD R	A8	2021-05-29 00:00:00	2021-05-29 23:59:59	00:20:00	00:28:00	--
DONALD R	CC	2021-05-29 00:00:00	2021-05-29 23:59:59	00:05:00	00:13:00	--
DONALD R	LO4	2021-05-29 00:00:00	2021-05-29 23:59:59	00:16:00	00:20:00	--
DONALD R	LO3	2021-05-29 00:00:00	2021-05-29 23:59:59	00:10:00	00:22:00	--
DONALD R	LO15	2021-05-29 00:00:00	2021-05-29 23:59:59	01:27:00	01:30:00	--
DONALD R	CAMPO LOBITOS	2021-05-29 00:00:00	2021-05-29 23:59:59	07:43:00	07:43:00	--
DONALD R	U	2021-05-29 00:00:00	2021-05-29 23:59:59	00:01:00	00:01:00	--
ELIZABET	ZZ	2021-05-29 00:00:00	2021-05-29 23:59:59	23:35:00	23:35:00	00:07:00
ELIZABET	CAMPO LOBITOS	2021-05-29 00:00:00	2021-05-29 23:59:59	00:18:00	00:18:00	--
HIPPO	PUERTO TALARA	2021-05-29 00:00:00	2021-05-29 23:59:59	23:53:00	23:53:00	00:07:00
IRIS	DD	2021-05-29 00:00:00	2021-05-29 23:59:59	00:12:00	00:12:00	00:08:00
IRIS	CAMPO PENA NEGRA	2021-05-29 00:00:00	2021-05-29 23:59:59	01:19:00	07:00:00	--
IRIS	NN	2021-05-29 00:00:00	2021-05-29 23:59:59	00:07:00	00:10:00	--
IRIS	R	2021-05-29 00:00:00	2021-05-29 23:59:59	00:26:00	00:27:00	--
IRIS	KK	2021-05-29 00:00:00	2021-05-29 23:59:59	00:54:00	00:54:00	--
IRIS	PN7	2021-05-29 00:00:00	2021-05-29 23:59:59	00:08:00	00:13:00	--
IRIS	OO	2021-05-29 00:00:00	2021-05-29 23:59:59	01:00:00	01:00:00	--
IRIS	PN8	2021-05-29 00:00:00	2021-05-29 23:59:59	02:04:00	02:07:00	--
IRIS	PN3	2021-05-29 00:00:00	2021-05-29 23:59:59	00:35:00	00:39:00	--
IRIS	PN9	2021-05-29 00:00:00	2021-05-29 23:59:59	00:18:00	00:32:00	--
IRIS	PN2	2021-05-29 00:00:00	2021-05-29 23:59:59	00:12:00	00:16:00	--
IRIS	FLOTANTE PN	2021-05-29 00:00:00	2021-05-29 23:59:59	06:04:00	09:32:00	--
IRIS	PN1	2021-05-29 00:00:00	2021-05-29 23:59:59	00:08:00	00:19:00	--
IRIS	LL	2021-05-29 00:00:00	2021-05-29 23:59:59	00:07:00	00:07:00	--
IRIS	HH	2021-05-29 00:00:00	2021-05-29 23:59:59	00:06:00	00:06:00	--
IRIS	BB	2021-05-29 00:00:00	2021-05-29 23:59:59	00:07:00	00:08:00	--
IRIS	Z	2021-05-29 00:00:00	2021-05-29 23:59:59	00:10:00	00:10:00	--
KELLEY	CAMPO SAN PEDRO	2021-05-29 00:00:00	2021-05-29 23:59:59	09:00:00	15:00:00	01:00:00
