VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;20:24:00;23:53:00;00:07:00
CHIMERA;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;08:07:00;10:52:00;01:09:00
CHIMERA;GG;2020-12-12 00:00:00;2020-12-12 23:59:59;01:00:00;01:00:00;--
CHIMERA;RIO AMAZONAS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:59:00;00:59:00;--
CHIMERA;CAMPO LOBITOS;2020-12-12 00:00:00;2020-12-12 23:59:59;04:00:00;04:00:00;--
CHIMERA;CAMPO PENA NEGRA;2020-12-12 00:00:00;2020-12-12 23:59:59;05:00:00;05:00:00;--
CHIMERA;FLOTANTE PN;2020-12-12 00:00:00;2020-12-12 23:59:59;01:00:00;01:00:00;--
CHIP II;FLOTANTE PN;2020-12-12 00:00:00;2020-12-12 23:59:59;01:55:00;01:55:00;12:22:00
CHIP II;CAMPO PENA NEGRA;2020-12-12 00:00:00;2020-12-12 23:59:59;00:19:00;03:46:00;--
CHIP II;PN11;2020-12-12 00:00:00;2020-12-12 23:59:59;00:59:00;01:10:00;--
CHIP II;R;2020-12-12 00:00:00;2020-12-12 23:59:59;00:09:00;00:16:00;--
CHIP II;TT;2020-12-12 00:00:00;2020-12-12 23:59:59;00:13:00;00:25:00;--
CHIP II;FF;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:11:00;--
CHIP II;SS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:21:00;00:21:00;--
CHIP II;PN5;2020-12-12 00:00:00;2020-12-12 23:59:59;00:12:00;00:13:00;--
CHIP II;M;2020-12-12 00:00:00;2020-12-12 23:59:59;00:13:00;00:14:00;--
CHIP II;NN;2020-12-12 00:00:00;2020-12-12 23:59:59;00:14:00;00:19:00;--
CHIP II;PN14;2020-12-12 00:00:00;2020-12-12 23:59:59;00:05:00;00:09:00;--
CHIP II;DD;2020-12-12 00:00:00;2020-12-12 23:59:59;01:09:00;01:27:00;--
CHIP II;OO;2020-12-12 00:00:00;2020-12-12 23:59:59;00:25:00;00:25:00;--
CHIP II;A2;2020-12-12 00:00:00;2020-12-12 23:59:59;00:05:00;00:05:00;--
CHIP II;GG;2020-12-12 00:00:00;2020-12-12 23:59:59;00:14:00;00:14:00;--
CHIP II;PN4;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
CHIP II;Z;2020-12-12 00:00:00;2020-12-12 23:59:59;00:03:00;00:03:00;--
CHIP II;KK;2020-12-12 00:00:00;2020-12-12 23:59:59;00:09:00;00:09:00;--
CHIP II;YY;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
CHIP II;PN2;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
CHIP II;LL;2020-12-12 00:00:00;2020-12-12 23:59:59;00:03:00;00:03:00;--
CHIRIBAY;CAMPO PENA NEGRA;2020-12-12 00:00:00;2020-12-12 23:59:59;17:01:00;17:01:00;00:09:00
CHIRIBAY;LL;2020-12-12 00:00:00;2020-12-12 23:59:59;06:48:00;06:48:00;--
CHIRIBAY;HH;2020-12-12 00:00:00;2020-12-12 23:59:59;00:02:00;00:02:00;--
D.VICTOR;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;08:41:00;13:59:00;01:01:00
D.VICTOR;RIO AMAZONAS;2020-12-12 00:00:00;2020-12-12 23:59:59;09:00:00;09:00:00;--
DONALD R;FLOTANTE LO;2020-12-12 00:00:00;2020-12-12 23:59:59;03:00:00;03:11:00;00:13:00
DONALD R;CAMPO LOBITOS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:09:00;07:33:00;--
DONALD R;LO3;2020-12-12 00:00:00;2020-12-12 23:59:59;00:28:00;00:28:00;--
DONALD R;LO13;2020-12-12 00:00:00;2020-12-12 23:59:59;01:04:00;02:14:00;--
DONALD R;LO9;2020-12-12 00:00:00;2020-12-12 23:59:59;00:12:00;00:34:00;--
DONALD R;LO8;2020-12-12 00:00:00;2020-12-12 23:59:59;02:50:00;02:50:00;--
DONALD R;H;2020-12-12 00:00:00;2020-12-12 23:59:59;00:05:00;00:05:00;--
DONALD R;ZZ;2020-12-12 00:00:00;2020-12-12 23:59:59;02:38:00;02:42:00;--
DONALD R;LO7;2020-12-12 00:00:00;2020-12-12 23:59:59;00:13:00;00:14:00;--
DONALD R;LO6;2020-12-12 00:00:00;2020-12-12 23:59:59;00:59:00;01:11:00;--
DONALD R;LO16;2020-12-12 00:00:00;2020-12-12 23:59:59;01:59:00;02:11:00;--
DONALD R;LO10;2020-12-12 00:00:00;2020-12-12 23:59:59;00:21:00;00:32:00;--
DONALD R;CC;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
DONALD R;LO11;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
ELIZABET;PN2;2020-12-12 00:00:00;2020-12-12 23:59:59;23:55:00;23:55:00;00:05:00
HIPPO;MC DONALD;2020-12-12 00:00:00;2020-12-12 23:59:59;23:52:00;23:52:00;00:08:00
IRIS;FLOTANTE PN;2020-12-12 00:00:00;2020-12-12 23:59:59;07:37:00;07:37:00;00:11:00
IRIS;CAMPO PENA NEGRA;2020-12-12 00:00:00;2020-12-12 23:59:59;01:01:00;06:41:00;--
IRIS;HH;2020-12-12 00:00:00;2020-12-12 23:59:59;01:28:00;01:28:00;--
IRIS;DD;2020-12-12 00:00:00;2020-12-12 23:59:59;00:13:00;00:22:00;--
IRIS;Z;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;00:38:00;--
IRIS;KK;2020-12-12 00:00:00;2020-12-12 23:59:59;00:48:00;01:12:00;--
IRIS;PN7;2020-12-12 00:00:00;2020-12-12 23:59:59;00:12:00;00:15:00;--
IRIS;OO;2020-12-12 00:00:00;2020-12-12 23:59:59;00:24:00;00:39:00;--
IRIS;PN8;2020-12-12 00:00:00;2020-12-12 23:59:59;00:46:00;01:01:00;--
IRIS;PN2;2020-12-12 00:00:00;2020-12-12 23:59:59;00:36:00;00:57:00;--
IRIS;BB;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:10:00;--
IRIS;TT;2020-12-12 00:00:00;2020-12-12 23:59:59;00:28:00;00:29:00;--
IRIS;PN3;2020-12-12 00:00:00;2020-12-12 23:59:59;00:21:00;00:23:00;--
IRIS;PN9;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:14:00;--
IRIS;PN1;2020-12-12 00:00:00;2020-12-12 23:59:59;00:28:00;00:29:00;--
IRIS;LL;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;00:13:00;--
IRIS;GG;2020-12-12 00:00:00;2020-12-12 23:59:59;00:15:00;00:15:00;--
IRIS;R;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
IRIS;M;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
IRIS;PN5;2020-12-12 00:00:00;2020-12-12 23:59:59;00:18:00;00:18:00;--
IRIS;SS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:10:00;--
IRIS;NN;2020-12-12 00:00:00;2020-12-12 23:59:59;00:11:00;00:11:00;--
KELLEY;CAMPO SAN PEDRO;2020-12-12 00:00:00;2020-12-12 23:59:59;08:59:00;12:59:00;02:01:00
KELLEY;SP1-A;2020-12-12 00:00:00;2020-12-12 23:59:59;03:00:00;04:00:00;--
KELLEY;SP1;2020-12-12 00:00:00;2020-12-12 23:59:59;03:00:00;05:00:00;--
MR MATT;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;21:34:00;23:38:00;00:04:00
MR MATT;MC DONALD;2020-12-12 00:00:00;2020-12-12 23:59:59;00:12:00;00:12:00;--
MR MATT;RIO AMAZONAS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
NEPTUNO;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;13:42:00;14:22:00;00:12:00
NEPTUNO;CAMPO PENA NEGRA;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;01:45:00;--
NEPTUNO;A2;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:11:00;--
NEPTUNO;M;2020-12-12 00:00:00;2020-12-12 23:59:59;01:33:00;01:33:00;--
NEPTUNO;FF;2020-12-12 00:00:00;2020-12-12 23:59:59;03:26:00;03:26:00;--
NEPTUNO;FLOTANTE PN;2020-12-12 00:00:00;2020-12-12 23:59:59;00:31:00;00:32:00;--
NEPTUNO;SS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:16:00;--
NEPTUNO;CAMPO LOBITOS;2020-12-12 00:00:00;2020-12-12 23:59:59;01:37:00;01:37:00;--
NEPTUNO;PP;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
NEPTUNO;GG;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
NEPTUNO;YY;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
NEPTUNO;PN5;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
NEPTUNO;UU;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
NEPTUNO;NN;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
OLYMPIC;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;12:11:00;12:11:00;00:13:00
OLYMPIC;LO6;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:07:00;--
OLYMPIC;KK;2020-12-12 00:00:00;2020-12-12 23:59:59;01:00:00;01:00:00;--
OLYMPIC;Z;2020-12-12 00:00:00;2020-12-12 23:59:59;00:32:00;00:32:00;--
OLYMPIC;PN9;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:09:00;--
OLYMPIC;FLOTANTE PN;2020-12-12 00:00:00;2020-12-12 23:59:59;00:56:00;01:02:00;--
OLYMPIC;PN7;2020-12-12 00:00:00;2020-12-12 23:59:59;00:03:00;00:03:00;--
OLYMPIC;GG;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
OLYMPIC;FLOTANTE LO;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:12:00;--
OLYMPIC;MC DONALD;2020-12-12 00:00:00;2020-12-12 23:59:59;01:16:00;01:16:00;--
OLYMPIC;CAMPO LOBITOS;2020-12-12 00:00:00;2020-12-12 23:59:59;01:41:00;01:41:00;--
OLYMPIC;LO13;2020-12-12 00:00:00;2020-12-12 23:59:59;00:04:00;00:04:00;--
OLYMPIC;LO3;2020-12-12 00:00:00;2020-12-12 23:59:59;00:03:00;00:03:00;--
OLYMPIC;CAMPO PENA NEGRA;2020-12-12 00:00:00;2020-12-12 23:59:59;04:43:00;04:43:00;--
OLYMPIC;PN14;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;00:08:00;--
OLYMPIC;PN5;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
OLYMPIC;M;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
OLYMPIC;FF;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;00:08:00;--
OLYMPIC;TT;2020-12-12 00:00:00;2020-12-12 23:59:59;00:09:00;00:09:00;--
OLYMPIC;PN2;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:07:00;--
OLYMPIC;LL;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
OLYMPIC;OO;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
OLYMPIC;NN;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
OLYMPIC;LO19;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
PARINAS;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;15:31:00;15:31:00;00:14:00
PARINAS;PV14;2020-12-12 00:00:00;2020-12-12 23:59:59;00:12:00;00:12:00;--
PARINAS;PVX8;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:11:00;--
PARINAS;LT2;2020-12-12 00:00:00;2020-12-12 23:59:59;00:05:00;00:10:00;--
PARINAS;LT1;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:07:00;--
PARINAS;LT3;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:10:00;--
PARINAS;4D;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:07:00;--
PARINAS;3B;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;00:08:00;--
PARINAS;LT12;2020-12-12 00:00:00;2020-12-12 23:59:59;00:37:00;00:37:00;--
PARINAS;CAMPO LOBITOS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;01:03:00;--
PARINAS;LO18;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
PARINAS;LO10;2020-12-12 00:00:00;2020-12-12 23:59:59;00:14:00;00:14:00;--
PARINAS;LO11;2020-12-12 00:00:00;2020-12-12 23:59:59;00:05:00;00:06:00;--
PARINAS;FLOTANTE LO;2020-12-12 00:00:00;2020-12-12 23:59:59;01:23:00;01:25:00;--
PARINAS;RIO AMAZONAS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:44:00;00:44:00;--
PARINAS;MC DONALD;2020-12-12 00:00:00;2020-12-12 23:59:59;01:09:00;01:09:00;--
PARINAS;CAMPO PROVIDENCIA;2020-12-12 00:00:00;2020-12-12 23:59:59;00:57:00;00:57:00;--
PARINAS;PQ;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
PARINAS;CAMPO LITORAL;2020-12-12 00:00:00;2020-12-12 23:59:59;00:42:00;00:42:00;--
PARINAS;LT6;2020-12-12 00:00:00;2020-12-12 23:59:59;00:03:00;00:03:00;--
PARINAS;PBL1;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
PARINAS;PVX13;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
PARINAS;PP;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
ROSLYN;CAMPO LITORAL;2020-12-12 00:00:00;2020-12-12 23:59:59;00:14:00;01:58:00;00:09:00
ROSLYN;LT12;2020-12-12 00:00:00;2020-12-12 23:59:59;02:00:00;02:00:00;--
ROSLYN;3B;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;00:12:00;--
ROSLYN;LT11;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:10:00;--
ROSLYN;LT1;2020-12-12 00:00:00;2020-12-12 23:59:59;00:12:00;00:28:00;--
ROSLYN;LT3;2020-12-12 00:00:00;2020-12-12 23:59:59;00:14:00;00:15:00;--
ROSLYN;LT6;2020-12-12 00:00:00;2020-12-12 23:59:59;02:26:00;05:26:00;--
ROSLYN;3C;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
ROSLYN;LT2;2020-12-12 00:00:00;2020-12-12 23:59:59;00:12:00;00:12:00;--
ROSLYN;LT4;2020-12-12 00:00:00;2020-12-12 23:59:59;00:06:00;00:06:00;--
ROSLYN;CAMPO PROVIDENCIA;2020-12-12 00:00:00;2020-12-12 23:59:59;00:08:00;03:01:00;--
ROSLYN;PG;2020-12-12 00:00:00;2020-12-12 23:59:59;02:12:00;02:28:00;--
ROSLYN;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;01:01:00;01:33:00;--
ROSLYN;RIO AMAZONAS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:14:00;00:23:00;--
ROSLYN;PV15;2020-12-12 00:00:00;2020-12-12 23:59:59;02:32:00;02:32:00;--
ROSLYN;PVX8;2020-12-12 00:00:00;2020-12-12 23:59:59;01:36:00;01:40:00;--
ROSLYN;3J;2020-12-12 00:00:00;2020-12-12 23:59:59;01:12:00;01:12:00;--
ROSLYN;4D;2020-12-12 00:00:00;2020-12-12 23:59:59;00:09:00;00:09:00;--
SHEYLA;CAMPO LITORAL;2020-12-12 00:00:00;2020-12-12 23:59:59;02:02:00;02:42:00;00:12:00
SHEYLA;PG;2020-12-12 00:00:00;2020-12-12 23:59:59;06:43:00;06:43:00;--
SHEYLA;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;00:17:00;01:29:00;--
SHEYLA;RIO AMAZONAS;2020-12-12 00:00:00;2020-12-12 23:59:59;00:11:00;00:19:00;--
SHEYLA;PV14;2020-12-12 00:00:00;2020-12-12 23:59:59;00:15:00;00:22:00;--
SHEYLA;PVX8;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:17:00;--
SHEYLA;PV15;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;00:13:00;--
SHEYLA;LT12;2020-12-12 00:00:00;2020-12-12 23:59:59;02:35:00;02:46:00;--
SHEYLA;3B;2020-12-12 00:00:00;2020-12-12 23:59:59;00:10:00;00:28:00;--
SHEYLA;4D;2020-12-12 00:00:00;2020-12-12 23:59:59;00:09:00;00:13:00;--
SHEYLA;LT1;2020-12-12 00:00:00;2020-12-12 23:59:59;00:43:00;01:02:00;--
SHEYLA;LT6;2020-12-12 00:00:00;2020-12-12 23:59:59;00:07:00;01:35:00;--
SHEYLA;LT3;2020-12-12 00:00:00;2020-12-12 23:59:59;00:57:00;00:57:00;--
SHEYLA;LT2;2020-12-12 00:00:00;2020-12-12 23:59:59;01:47:00;01:47:00;--
SHEYLA;CAMPO PROVIDENCIA;2020-12-12 00:00:00;2020-12-12 23:59:59;02:51:00;02:51:00;--
SHEYLA;LT11;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
SHEYLA;3J;2020-12-12 00:00:00;2020-12-12 23:59:59;00:03:00;00:03:00;--
SKOOKUM;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;21:00:00;22:59:00;01:01:00
SOPHIA C;PUERTO TALARA;2020-12-12 00:00:00;2020-12-12 23:59:59;13:19:00;18:00:00;01:01:00
SOPHIA C;RIO AMAZONAS;2020-12-12 00:00:00;2020-12-12 23:59:59;04:59:00;04:59:00;--
ZULUF;CAMPO LOBITOS;2020-12-12 00:00:00;2020-12-12 23:59:59;16:58:00;16:58:00;00:09:00
ZULUF;LO13;2020-12-12 00:00:00;2020-12-12 23:59:59;06:48:00;06:48:00;--
ZULUF;LO11;2020-12-12 00:00:00;2020-12-12 23:59:59;00:01:00;00:01:00;--
ZULUF;FLOTANTE LO;2020-12-12 00:00:00;2020-12-12 23:59:59;00:04:00;00:04:00;--
