Diciembre 19	BUCKLEY	19/12/2020 00:00:21	19/12/2020 23:58:30	23H 58M		On	Ca.S/N Ub Barrio Acapulco, Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5723487	-81.2755200	0	1,7
Diciembre 19	CHIMERA	19/12/2020 00:00:00	19/12/2020 00:53:24	53M		Off	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5698499	-81.2909331	0	0
Diciembre 19	CHIMERA	19/12/2020 00:53:24	19/12/2020 08:53:43	8H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5698499	-81.2909331	0	0,06
Diciembre 19	CHIMERA	19/12/2020 09:53:47	19/12/2020 12:53:26	3H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5698999	-81.2916665	0,12	0,26
Diciembre 19	CHIMERA	19/12/2020 14:53:29	19/12/2020 23:53:33	9H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5699665	-81.2906332	0,31	0,41
Diciembre 19	CHIMERA	19/12/2020 23:53:33	19/12/2020 23:59:59	6M		Off	Pari_as Talara Piura, Perù	PUERTO TALARA	-4.5698333	-81.2912333	0,41	0,41
Diciembre 19	CHIP II	19/12/2020 00:00:00	19/12/2020 07:04:57	7H 5M		Off	PI-100, Lobitos Piura, PER	Flotante PN	-4.3239599	-81.2895449	0	0,02
Diciembre 19	CHIP II	19/12/2020 07:04:57	19/12/2020 07:15:48	11M		On	PI-100, Lobitos Piura, PER	Flotante PN	-4.3239504	-81.2895871	0,02	0,11
Diciembre 19	CHIP II	19/12/2020 07:23:27	19/12/2020 07:38:03	15M		On	El Alto Piura, PER	DD	-4.3093800	-81.2782199	2,12	2,31
Diciembre 19	CHIP II	19/12/2020 07:43:03	19/12/2020 07:54:45	12M		On	PI-100, Lobitos Piura, PER	PN4	-4.3191749	-81.2721899	3,53	3,64
Diciembre 19	CHIP II	19/12/2020 08:00:15	19/12/2020 08:05:48	6M		On	El Alto Piura, PER	PN14	-4.3062899	-81.2673899	5,12	5,24
