VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
CHIMERA	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
CHIP II	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
CHIRIBAY	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
D.VICTOR	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
DONALD R	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
ELIZABET	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
HIPPO	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
IRIS	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
KELLEY	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
MR MATT	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
NEPTUNO	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
OLYMPIC	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
PARINAS	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
ROSLYN	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
SHEYLA	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
SKOOKUM	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
SOPHIA C	NONE	2020-12-21 00:00:00	2020-12-21 23:59:59	00:00:00	00:00:00	24:00:00
Virtual fleet for slim\BUCKLEY	PUERTO TALARA	2020-12-21 00:00:00	2020-12-21 23:59:59	23:53:00	23:53:00	00:07:00
Virtual fleet for slim\CHIMERA	CAMPO LOBITOS	2020-12-21 00:00:00	2020-12-21 23:59:59	02:59:00	02:59:00	01:18:00
Virtual fleet for slim\CHIMERA	PUERTO TALARA	2020-12-21 00:00:00	2020-12-21 23:59:59	08:12:00	08:12:00	--
Virtual fleet for slim\CHIMERA	RIO AMAZONAS	2020-12-21 00:00:00	2020-12-21 23:59:59	01:33:00	01:33:00	--
Virtual fleet for slim\CHIMERA	CAMPO PENA NEGRA	2020-12-21 00:00:00	2020-12-21 23:59:59	05:00:00	05:00:00	--
Virtual fleet for slim\CHIMERA	OO	2020-12-21 00:00:00	2020-12-21 23:59:59	00:59:00	00:59:00	--
Virtual fleet for slim\CHIMERA	PN2	2020-12-21 00:00:00	2020-12-21 23:59:59	01:00:00	01:00:00	--
Virtual fleet for slim\CHIMERA	LL	2020-12-21 00:00:00	2020-12-21 23:59:59	01:00:00	01:00:00	--
Virtual fleet for slim\CHIMERA	PN5	2020-12-21 00:00:00	2020-12-21 23:59:59	00:59:00	00:59:00	--
Virtual fleet for slim\CHIMERA	FLOTANTE PN	2020-12-21 00:00:00	2020-12-21 23:59:59	00:59:00	00:59:00	--
Virtual fleet for slim\CHIMERA	LO3	2020-12-21 00:00:00	2020-12-21 23:59:59	00:01:00	00:01:00	--
Virtual fleet for slim\CHIP II	FLOTANTE PN	2020-12-21 00:00:00	2020-12-21 23:59:59	02:02:00	02:02:00	13:24:00
Virtual fleet for slim\CHIP II	CAMPO PENA NEGRA	2020-12-21 00:00:00	2020-12-21 23:59:59	02:10:00	02:10:00	--
Virtual fleet for slim\CHIP II	DD	2020-12-21 00:00:00	2020-12-21 23:59:59	00:33:00	00:33:00	--
Virtual fleet for slim\CHIP II	PN4	2020-12-21 00:00:00	2020-12-21 23:59:59	00:17:00	00:17:00	--
Virtual fleet for slim\CHIP II	PN14	2020-12-21 00:00:00	2020-12-21 23:59:59	00:08:00	00:08:00	--
Virtual fleet for slim\CHIP II	NN	2020-12-21 00:00:00	2020-12-21 23:59:59	02:44:00	02:44:00	--
Virtual fleet for slim\CHIP II	R	2020-12-21 00:00:00	2020-12-21 23:59:59	00:17:00	00:17:00	--
Virtual fleet for slim\CHIP II	M	2020-12-21 00:00:00	2020-12-21 23:59:59	00:09:00	00:09:00	--
Virtual fleet for slim\CHIP II	FF	2020-12-21 00:00:00	2020-12-21 23:59:59	00:16:00	00:16:00	--
Virtual fleet for slim\CHIP II	SS	2020-12-21 00:00:00	2020-12-21 23:59:59	00:12:00	00:12:00	--
Virtual fleet for slim\CHIP II	PN5	2020-12-21 00:00:00	2020-12-21 23:59:59	00:18:00	00:18:00	--
Virtual fleet for slim\CHIP II	UU	2020-12-21 00:00:00	2020-12-21 23:59:59	00:16:00	00:16:00	--
Virtual fleet for slim\CHIP II	A2	2020-12-21 00:00:00	2020-12-21 23:59:59	00:22:00	00:22:00	--
Virtual fleet for slim\CHIP II	TT	2020-12-21 00:00:00	2020-12-21 23:59:59	00:14:00	00:14:00	--
Virtual fleet for slim\CHIP II	Z	2020-12-21 00:00:00	2020-12-21 23:59:59	00:05:00	00:05:00	--
Virtual fleet for slim\CHIP II	KK	2020-12-21 00:00:00	2020-12-21 23:59:59	00:04:00	00:04:00	--
Virtual fleet for slim\CHIP II	GG	2020-12-21 00:00:00	2020-12-21 23:59:59	00:28:00	00:28:00	--
Virtual fleet for slim\CHIP II	PN11	2020-12-21 00:00:00	2020-12-21 23:59:59	00:01:00	00:01:00	--
Virtual fleet for slim\CHIRIBAY	CAMPO PENA NEGRA	2020-12-21 00:00:00	2020-12-21 23:59:59	17:24:00	17:24:00	00:16:00
Virtual fleet for slim\CHIRIBAY	HH	2020-12-21 00:00:00	2020-12-21 23:59:59	00:02:00	00:02:00	--
Virtual fleet for slim\CHIRIBAY	Z	2020-12-21 00:00:00	2020-12-21 23:59:59	00:02:00	00:02:00	--
Virtual fleet for slim\CHIRIBAY	TT	2020-12-21 00:00:00	2020-12-21 23:59:59	00:08:00	00:08:00	--
Virtual fleet for slim\CHIRIBAY	CAMPO LOBITOS	2020-12-21 00:00:00	2020-12-21 23:59:59	01:41:00	01:41:00	--
Virtual fleet for slim\CHIRIBAY	ZZ	2020-12-21 00:00:00	2020-12-21 23:59:59	00:01:00	00:01:00	--
Virtual fleet for slim\CHIRIBAY	LO19	2020-12-21 00:00:00	2020-12-21 23:59:59	00:01:00	00:01:00	--
Virtual fleet for slim\CHIRIBAY	PUERTO TALARA	2020-12-21 00:00:00	2020-12-21 23:59:59	03:13:00	03:13:00	--
Virtual fleet for slim\CHIRIBAY	MC DONALD	2020-12-21 00:00:00	2020-12-21 23:59:59	01:12:00	01:12:00	--
Virtual fleet for slim\D.VICTOR	PUERTO TALARA	2020-12-21 00:00:00	2020-12-21 23:59:59	17:00:00	17:00:00	01:00:00
Virtual fleet for slim\D.VICTOR	RIO AMAZONAS	2020-12-21 00:00:00	2020-12-21 23:59:59	06:00:00	06:00:00	--
Virtual fleet for slim\DONALD R	FLOTANTE LO	2020-12-21 00:00:00	2020-12-21 23:59:59	07:18:00	07:18:00	04:30:00
Virtual fleet for slim\DONALD R	CAMPO LOBITOS	2020-12-21 00:00:00	2020-12-21 23:59:59	04:35:00	04:35:00	--
Virtual fleet for slim\DONALD R	LO8	2020-12-21 00:00:00	2020-12-21 23:59:59	00:10:00	00:10:00	--
Virtual fleet for slim\DONALD R	H	2020-12-21 00:00:00	2020-12-21 23:59:59	00:11:00	00:11:00	--
Virtual fleet for slim\DONALD R	LO9	2020-12-21 00:00:00	2020-12-21 23:59:59	00:07:00	00:07:00	--
Virtual fleet for slim\DONALD R	ZZ	2020-12-21 00:00:00	2020-12-21 23:59:59	00:35:00	00:35:00	--
Virtual fleet for slim\DONALD R	U	2020-12-21 00:00:00	2020-12-21 23:59:59	00:01:00	00:01:00	--
