Mes 11 3	BUCKLEY	03/11/2020 00:00:30	03/11/2020 23:59:59	23H 59M		On	Ca.S/N Ub Zona Industrial, Pari_as Talara Piura, Perù	PUERTO TALARA		-4.5719215	-81.2754814	0	1,76
Mes 11 3	CHIMERA	03/11/2020 00:00:00	03/11/2020 00:14:38	15M		Off	Pari_as Talara Piura, Perù	PUERTO TALARA		-4.5673165	-81.2916998	0	0
Mes 11 3	CHIMERA	03/11/2020 01:14:08	03/11/2020 06:14:09	5H 0M		On	Pari_as Talara Piura, Perù	PUERTO TALARA		-4.5673665	-81.2927164	0	0,18
Mes 11 3	CHIMERA	03/11/2020 10:38:18	03/11/2020 11:38:27	1H 0M		On	La Brea Piura, PER	3B		-4.7143166	-81.3301000	15,37	19,65
Mes 11 3	CHIMERA	03/11/2020 22:06:48	03/11/2020 23:59:59	1H 53M		On	Pari_as Talara Piura, Perù	PUERTO TALARA		-4.5674164	-81.2924332	95,29	103,3
Mes 11 3	CHIP II	03/11/2020 00:00:00	03/11/2020 07:09:27	7H 9M		Off	PI-100, Lobitos Piura, PER	Flotante PN		-4.3239184	-81.2897919	0	0,19
Mes 11 3	CHIP II	03/11/2020 07:09:39	03/11/2020 07:19:24	10M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3249024	-81.2897407	0,22	0,47
Mes 11 3	CHIP II	03/11/2020 07:19:33	03/11/2020 07:28:48	9M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3230899	-81.2891400	0,51	0,83
Mes 11 3	CHIP II	03/11/2020 07:38:30	03/11/2020 07:52:51	14M		On	El Alto Piura, PER	Z		-4.3028699	-81.2923499	3,09	3,24
Mes 11 3	CHIP II	03/11/2020 07:59:33	03/11/2020 08:06:21	7M		On	El Alto Piura, PER	LL		-4.2940879	-81.3049984	4,91	5,25
Mes 11 3	CHIP II	03/11/2020 08:17:00	03/11/2020 08:24:03	7M		On	PI-100, Lobitos Piura, PER	PN2		-4.3162495	-81.3180287	8	8,23
Mes 11 3	CHIP II	03/11/2020 08:24:15	03/11/2020 08:24:33	0M		On	PI-100, Lobitos Piura, PER	PN2		-4.3168649	-81.3183449	8,26	8,32
Mes 11 3	CHIP II	03/11/2020 08:24:45	03/11/2020 08:24:54	0M		On	PI-100, Lobitos Piura, PER	PN2		-4.3175699	-81.3181050	8,36	8,38
Mes 11 3	CHIP II	03/11/2020 08:39:33	03/11/2020 08:48:21	9M		On	PI-100, Lobitos Piura, PER	Flotante PN		-4.3237649	-81.2900099	11,57	11,71
Mes 11 3	CHIP II	03/11/2020 08:51:33	03/11/2020 08:51:42	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3168949	-81.2912249	12,39	12,42
Mes 11 3	CHIP II	03/11/2020 08:52:15	03/11/2020 08:52:21	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3156783	-81.2916223	12,56	12,56
Mes 11 3	CHIP II	03/11/2020 08:52:42	03/11/2020 08:52:51	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3148849	-81.2918250	12,62	12,65
Mes 11 3	CHIP II	03/11/2020 08:53:12	03/11/2020 08:53:15	0M		On	PI-100, Lobitos Piura, PER	CAMPO PEA NEGRA		-4.3140149	-81.2920950	12,72	12,75
Mes 11 3	CHIP II	03/11/2020 08:55:27	03/11/2020 08:55:42	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3102591	-81.2936447	13,2	13,23
Mes 11 3	CHIP II	03/11/2020 08:56:30	03/11/2020 08:56:33	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3084319	-81.2942079	13,4	13,42
Mes 11 3	CHIP II	03/11/2020 09:01:42	03/11/2020 09:01:51	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2992015	-81.2972800	14,48	14,51
Mes 11 3	CHIP II	03/11/2020 09:03:21	03/11/2020 09:03:33	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2964079	-81.2984831	14,82	14,85
Mes 11 3	CHIP II	03/11/2020 09:03:51	03/11/2020 09:04:03	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2954599	-81.2987099	14,93	14,96
Mes 11 3	CHIP II	03/11/2020 09:05:03	03/11/2020 09:05:12	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2934349	-81.2992799	15,16	15,19
Mes 11 3	CHIP II	03/11/2020 09:05:30	03/11/2020 09:05:42	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2926191	-81.2994046	15,26	15,29
Mes 11 3	CHIP II	03/11/2020 09:06:33	03/11/2020 09:06:42	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2907903	-81.2995070	15,46	15,49
Mes 11 3	CHIP II	03/11/2020 09:07:21	03/11/2020 09:07:33	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2893400	-81.2995049	15,62	15,65
Mes 11 3	CHIP II	03/11/2020 09:07:42	03/11/2020 09:07:51	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2887550	-81.2994750	15,69	15,72
Mes 11 3	CHIP II	03/11/2020 09:08:39	03/11/2020 09:08:42	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2871312	-81.2996734	15,88	15,9
Mes 11 3	CHIP II	03/11/2020 09:08:51	03/11/2020 09:09:03	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2867299	-81.2995949	15,91	15,95
Mes 11 3	CHIP II	03/11/2020 09:09:12	03/11/2020 09:09:21	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2861449	-81.2995949	15,98	16,01
Mes 11 3	CHIP II	03/11/2020 09:10:03	03/11/2020 09:10:33	1M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2846899	-81.2995949	16,14	16,24
Mes 11 3	CHIP II	03/11/2020 09:10:42	03/11/2020 09:11:21	1M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2835649	-81.2994300	16,27	16,39
Mes 11 3	CHIP II	03/11/2020 09:11:33	03/11/2020 09:32:12	21M		On	El Alto Piura, PER	TT		-4.2823050	-81.2989049	16,42	16,78
Mes 11 3	CHIP II	03/11/2020 09:33:00	03/11/2020 09:33:12	0M		On	El Alto Piura, PER	TT		-4.2830832	-81.2978303	16,94	16,97
Mes 11 3	CHIP II	03/11/2020 09:33:21	03/11/2020 09:33:42	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2830550	-81.2971349	17,01	17,07
Mes 11 3	CHIP II	03/11/2020 09:34:06	03/11/2020 09:34:12	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2833839	-81.2959486	17,17	17,17
Mes 11 3	CHIP II	03/11/2020 09:36:12	03/11/2020 09:36:21	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2849151	-81.2924160	17,58	17,6
Mes 11 3	CHIP II	03/11/2020 09:37:15	03/11/2020 09:37:21	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2855407	-81.2905856	17,82	17,82
Mes 11 3	CHIP II	03/11/2020 09:40:27	03/11/2020 09:40:33	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2871071	-81.2849664	18,46	18,47
Mes 11 3	CHIP II	03/11/2020 09:44:12	03/11/2020 09:50:33	6M		On	El Alto Piura, PER	A2		-4.2880304	-81.2782976	19,21	19,38
Mes 11 3	CHIP II	03/11/2020 09:53:33	03/11/2020 10:04:33	11M		On	El Alto Piura, PER	R		-4.2894899	-81.2728199	20,02	20,47
Mes 11 3	CHIP II	03/11/2020 10:06:27	03/11/2020 10:21:03	15M		On	El Alto Piura, PER	M		-4.2861300	-81.2694599	20,89	21,02
Mes 11 3	CHIP II	03/11/2020 10:21:21	03/11/2020 10:21:51	1M		On	El Alto Piura, PER	M		-4.2855504	-81.2685183	21,08	21,17
Mes 11 3	CHIP II	03/11/2020 10:22:03	03/11/2020 10:33:00	11M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2862499	-81.2677649	21,2	21,58
Mes 11 3	CHIP II	03/11/2020 10:36:51	03/11/2020 10:38:30	2M		On	ElAlto Talara Piura, Perù	CAMPO PEA NEGRA		-4.2941549	-81.2679600	22,34	22,66
Mes 11 3	CHIP II	03/11/2020 10:38:39	03/11/2020 10:40:00	1M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2972599	-81.2685299	22,69	22,94
Mes 11 3	CHIP II	03/11/2020 10:40:09	03/11/2020 10:40:30	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.2996900	-81.2689799	22,97	23,03
Mes 11 3	CHIP II	03/11/2020 10:40:39	03/11/2020 10:40:51	0M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3004549	-81.2692949	23,06	23,09
Mes 11 3	CHIP II	03/11/2020 10:41:21	03/11/2020 10:41:30	0M		On	El Alto Piura, PER	NN		-4.3015349	-81.2696550	23,18	23,22
Mes 11 3	CHIP II	03/11/2020 10:41:39	03/11/2020 10:52:27	11M		On	El Alto Piura, PER	NN		-4.3020300	-81.2698649	23,25	23,45
Mes 11 3	CHIP II	03/11/2020 10:57:00	03/11/2020 11:06:39	10M		On	El Alto Piura, PER	GG		-4.3007700	-81.2787900	24,39	24,62
Mes 11 3	CHIP II	03/11/2020 11:07:00	03/11/2020 11:07:09	0M		On	El Alto Piura, PER	GG		-4.3016550	-81.2791349	24,68	24,71
Mes 11 3	CHIP II	03/11/2020 11:07:30	03/11/2020 11:07:39	0M		On	El Alto Piura, PER	GG		-4.3024511	-81.2789886	24,77	24,8
Mes 11 3	CHIP II	03/11/2020 11:08:30	03/11/2020 11:10:51	2M		On		CAMPO PEA NEGRA		-4.3041327	-81.2787967	24,96	25,36
Mes 11 3	CHIP II	03/11/2020 11:11:00	03/11/2020 11:21:45	11M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3080000	-81.2785349	25,4	25,85
Mes 11 3	CHIP II	03/11/2020 11:21:48	03/11/2020 11:22:03	0M		On	El Alto Piura, PER	DD		-4.3094016	-81.2767872	25,88	25,91
Mes 11 3	CHIP II	03/11/2020 11:22:15	03/11/2020 11:22:54	1M		On	El Alto Piura, PER	CAMPO PEA NEGRA		-4.3100249	-81.2764349	25,94	26,06
Mes 11 3	CHIP II	03/11/2020 11:23:03	03/11/2020 11:23:15	0M		On	PI-100, Lobitos Piura, PER	PN11		-4.3113391	-81.2760064	26,1	26,13
Mes 11 3	CHIP II	03/11/2020 11:23:24	03/11/2020 11:23:33	0M		On	PI-100, Lobitos Piura, PER	PN11		-4.3118249	-81.2757299	26,16	26,19
Mes 11 3	CHIP II	03/11/2020 11:23:45	03/11/2020 11:23:54	0M		On	PI-100, Lobitos Piura, PER	PN11		-4.3123649	-81.2755499	26,22	26,25
