VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	23:53:00	23:53:00	00:07:00
CHIMERA	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	21:00:00	22:59:00	01:01:00
CHIP II	FLOTANTE PN	2020-11-06 00:00:00	2020-11-06 23:59:59	05:04:00	05:04:00	12:10:00
CHIP II	CAMPO PENA NEGRA	2020-11-06 00:00:00	2020-11-06 23:59:59	00:09:00	02:43:00	--
CHIP II	PN4	2020-11-06 00:00:00	2020-11-06 23:59:59	00:06:00	00:29:00	--
CHIP II	DD	2020-11-06 00:00:00	2020-11-06 23:59:59	00:33:00	00:44:00	--
CHIP II	PN14	2020-11-06 00:00:00	2020-11-06 23:59:59	00:15:00	00:15:00	--
CHIP II	NN	2020-11-06 00:00:00	2020-11-06 23:59:59	00:17:00	00:18:00	--
CHIP II	UU	2020-11-06 00:00:00	2020-11-06 23:59:59	00:14:00	00:15:00	--
CHIP II	M	2020-11-06 00:00:00	2020-11-06 23:59:59	00:15:00	00:17:00	--
CHIP II	R	2020-11-06 00:00:00	2020-11-06 23:59:59	00:10:00	00:12:00	--
CHIP II	GG	2020-11-06 00:00:00	2020-11-06 23:59:59	00:11:00	00:14:00	--
CHIP II	FF	2020-11-06 00:00:00	2020-11-06 23:59:59	00:10:00	00:10:00	--
CHIP II	SS	2020-11-06 00:00:00	2020-11-06 23:59:59	00:09:00	00:11:00	--
CHIP II	PN5	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:05:00	--
CHIP II	A2	2020-11-06 00:00:00	2020-11-06 23:59:59	00:05:00	00:06:00	--
CHIP II	YY	2020-11-06 00:00:00	2020-11-06 23:59:59	00:06:00	00:07:00	--
CHIP II	TT	2020-11-06 00:00:00	2020-11-06 23:59:59	00:36:00	00:37:00	--
CHIP II	Z	2020-11-06 00:00:00	2020-11-06 23:59:59	00:02:00	00:03:00	--
CHIRIBAY	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	23:52:00	23:52:00	00:08:00
D.VICTOR	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	08:35:00	21:59:00	01:01:00
D.VICTOR	MC DONALD	2020-11-06 00:00:00	2020-11-06 23:59:59	01:00:00	01:00:00	--
ELIZABET	LO6	2020-11-06 00:00:00	2020-11-06 23:59:59	22:49:00	22:49:00	00:05:00
ELIZABET	CAMPO LOBITOS	2020-11-06 00:00:00	2020-11-06 23:59:59	01:06:00	01:06:00	--
HIPPO	MC DONALD	2020-11-06 00:00:00	2020-11-06 23:59:59	23:11:00	23:11:00	00:07:00
HIPPO	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	00:42:00	00:42:00	--
IRIS	FLOTANTE PN	2020-11-06 00:00:00	2020-11-06 23:59:59	07:04:00	07:04:00	00:21:00
IRIS	CAMPO PENA NEGRA	2020-11-06 00:00:00	2020-11-06 23:59:59	06:29:00	07:04:00	--
IRIS	HH	2020-11-06 00:00:00	2020-11-06 23:59:59	01:24:00	01:45:00	--
IRIS	Z	2020-11-06 00:00:00	2020-11-06 23:59:59	00:24:00	00:38:00	--
IRIS	KK	2020-11-06 00:00:00	2020-11-06 23:59:59	00:25:00	01:01:00	--
IRIS	PN7	2020-11-06 00:00:00	2020-11-06 23:59:59	00:14:00	00:16:00	--
IRIS	PN2	2020-11-06 00:00:00	2020-11-06 23:59:59	00:48:00	01:01:00	--
IRIS	PN3	2020-11-06 00:00:00	2020-11-06 23:59:59	00:08:00	00:22:00	--
IRIS	PN8	2020-11-06 00:00:00	2020-11-06 23:59:59	00:23:00	00:32:00	--
IRIS	PN1	2020-11-06 00:00:00	2020-11-06 23:59:59	00:14:00	00:26:00	--
IRIS	NN	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:13:00	--
IRIS	GG	2020-11-06 00:00:00	2020-11-06 23:59:59	00:07:00	00:07:00	--
IRIS	DD	2020-11-06 00:00:00	2020-11-06 23:59:59	00:20:00	00:45:00	--
IRIS	OO	2020-11-06 00:00:00	2020-11-06 23:59:59	00:17:00	00:17:00	--
IRIS	PN9	2020-11-06 00:00:00	2020-11-06 23:59:59	00:16:00	00:16:00	--
IRIS	LL	2020-11-06 00:00:00	2020-11-06 23:59:59	00:36:00	00:36:00	--
IRIS	BB	2020-11-06 00:00:00	2020-11-06 23:59:59	00:08:00	00:08:00	--
IRIS	UU	2020-11-06 00:00:00	2020-11-06 23:59:59	00:05:00	00:06:00	--
IRIS	PN4	2020-11-06 00:00:00	2020-11-06 23:59:59	00:03:00	00:03:00	--
IRIS	TT	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
IRIS	M	2020-11-06 00:00:00	2020-11-06 23:59:59	00:25:00	00:25:00	--
IRIS	FF	2020-11-06 00:00:00	2020-11-06 23:59:59	00:17:00	00:17:00	--
IRIS	R	2020-11-06 00:00:00	2020-11-06 23:59:59	00:16:00	00:16:00	--
KELLEY	CAMPO SAN PEDRO	2020-11-06 00:00:00	2020-11-06 23:59:59	12:59:00	12:59:00	01:01:00
KELLEY	SP1-A	2020-11-06 00:00:00	2020-11-06 23:59:59	03:00:00	03:00:00	--
KELLEY	SP1	2020-11-06 00:00:00	2020-11-06 23:59:59	04:00:00	04:00:00	--
KELLEY	ES1	2020-11-06 00:00:00	2020-11-06 23:59:59	03:00:00	03:00:00	--
MISS D	FLOTANTE LO	2020-11-06 00:00:00	2020-11-06 23:59:59	15:03:00	15:03:00	00:15:00
MISS D	CAMPO LOBITOS	2020-11-06 00:00:00	2020-11-06 23:59:59	03:31:00	04:17:00	--
MISS D	LO11	2020-11-06 00:00:00	2020-11-06 23:59:59	00:20:00	00:21:00	--
MISS D	A8	2020-11-06 00:00:00	2020-11-06 23:59:59	00:22:00	00:22:00	--
MISS D	LO7	2020-11-06 00:00:00	2020-11-06 23:59:59	00:39:00	00:51:00	--
MISS D	LO4	2020-11-06 00:00:00	2020-11-06 23:59:59	00:20:00	00:21:00	--
MISS D	LO3	2020-11-06 00:00:00	2020-11-06 23:59:59	00:33:00	00:33:00	--
MISS D	LO6	2020-11-06 00:00:00	2020-11-06 23:59:59	00:06:00	00:06:00	--
MISS D	CC	2020-11-06 00:00:00	2020-11-06 23:59:59	00:11:00	00:11:00	--
MISS D	LO19	2020-11-06 00:00:00	2020-11-06 23:59:59	00:05:00	00:05:00	--
MISS D	LO9	2020-11-06 00:00:00	2020-11-06 23:59:59	00:12:00	00:12:00	--
MISS D	ZZ	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
MISS D	LO15	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:06:00	--
MISS D	H	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:04:00	--
MISS D	LO8	2020-11-06 00:00:00	2020-11-06 23:59:59	01:12:00	01:12:00	--
MR MATT	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	22:30:00	22:30:00	00:08:00
MR MATT	MC DONALD	2020-11-06 00:00:00	2020-11-06 23:59:59	01:10:00	01:10:00	--
MR MATT	TORTUGA	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
MR MATT	RIO AMAZONAS	2020-11-06 00:00:00	2020-11-06 23:59:59	00:11:00	00:11:00	--
NEPTUNO	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	16:16:00	16:16:00	00:13:00
NEPTUNO	VV	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:04:00	--
NEPTUNO	LO3	2020-11-06 00:00:00	2020-11-06 23:59:59	00:35:00	00:35:00	--
NEPTUNO	LO4	2020-11-06 00:00:00	2020-11-06 23:59:59	00:54:00	00:54:00	--
NEPTUNO	LO7	2020-11-06 00:00:00	2020-11-06 23:59:59	00:43:00	00:43:00	--
NEPTUNO	CC	2020-11-06 00:00:00	2020-11-06 23:59:59	00:45:00	00:45:00	--
NEPTUNO	A8	2020-11-06 00:00:00	2020-11-06 23:59:59	00:12:00	00:12:00	--
NEPTUNO	LO11	2020-11-06 00:00:00	2020-11-06 23:59:59	00:03:00	00:03:00	--
NEPTUNO	H	2020-11-06 00:00:00	2020-11-06 23:59:59	01:12:00	01:12:00	--
NEPTUNO	FLOTANTE LO	2020-11-06 00:00:00	2020-11-06 23:59:59	00:10:00	00:12:00	--
NEPTUNO	CAMPO LOBITOS	2020-11-06 00:00:00	2020-11-06 23:59:59	02:12:00	02:12:00	--
NEPTUNO	PP	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
NEPTUNO	MC DONALD	2020-11-06 00:00:00	2020-11-06 23:59:59	00:38:00	00:38:00	--
OLYMPIC	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	12:04:00	12:22:00	00:13:00
OLYMPIC	LO13	2020-11-06 00:00:00	2020-11-06 23:59:59	00:07:00	00:09:00	--
OLYMPIC	LO16	2020-11-06 00:00:00	2020-11-06 23:59:59	00:09:00	00:10:00	--
OLYMPIC	LO10	2020-11-06 00:00:00	2020-11-06 23:59:59	00:07:00	00:07:00	--
OLYMPIC	LO3	2020-11-06 00:00:00	2020-11-06 23:59:59	00:08:00	00:08:00	--
OLYMPIC	FLOTANTE LO	2020-11-06 00:00:00	2020-11-06 23:59:59	00:17:00	00:18:00	--
OLYMPIC	CAMPO PENA NEGRA	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	02:22:00	--
OLYMPIC	PN2	2020-11-06 00:00:00	2020-11-06 23:59:59	00:12:00	00:14:00	--
OLYMPIC	FLOTANTE PN	2020-11-06 00:00:00	2020-11-06 23:59:59	00:10:00	00:12:00	--
OLYMPIC	DD	2020-11-06 00:00:00	2020-11-06 23:59:59	00:06:00	00:06:00	--
OLYMPIC	SS	2020-11-06 00:00:00	2020-11-06 23:59:59	03:47:00	03:47:00	--
OLYMPIC	OO	2020-11-06 00:00:00	2020-11-06 23:59:59	00:03:00	00:03:00	--
OLYMPIC	UU	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:05:00	--
OLYMPIC	LO4	2020-11-06 00:00:00	2020-11-06 23:59:59	00:03:00	00:04:00	--
OLYMPIC	RIO AMAZONAS	2020-11-06 00:00:00	2020-11-06 23:59:59	00:35:00	00:35:00	--
OLYMPIC	CAMPO LOBITOS	2020-11-06 00:00:00	2020-11-06 23:59:59	02:58:00	02:58:00	--
OLYMPIC	HH	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
OLYMPIC	NN	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
OLYMPIC	PN11	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
OLYMPIC	MC DONALD	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:04:00	--
PARINAS	CAMPO LOBITOS	2020-11-06 00:00:00	2020-11-06 23:59:59	00:20:00	02:58:00	00:07:00
PARINAS	PUERTO TALARA	2020-11-06 00:00:00	2020-11-06 23:59:59	16:52:00	16:52:00	--
PARINAS	RIO AMAZONAS	2020-11-06 00:00:00	2020-11-06 23:59:59	00:17:00	00:20:00	--
PARINAS	FLOTANTE LO	2020-11-06 00:00:00	2020-11-06 23:59:59	00:12:00	00:13:00	--
PARINAS	FLOTANTE PN	2020-11-06 00:00:00	2020-11-06 23:59:59	00:23:00	00:24:00	--
PARINAS	MC DONALD	2020-11-06 00:00:00	2020-11-06 23:59:59	02:31:00	02:31:00	--
PARINAS	CAMPO PENA NEGRA	2020-11-06 00:00:00	2020-11-06 23:59:59	00:32:00	00:32:00	--
PARINAS	ZZ	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
PARINAS	LO19	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
PARINAS	PP	2020-11-06 00:00:00	2020-11-06 23:59:59	00:01:00	00:01:00	--
ROSLYN	3J	2020-11-06 00:00:00	2020-11-06 23:59:59	02:32:00	02:32:00	00:16:00
ROSLYN	LT12	2020-11-06 00:00:00	2020-11-06 23:59:59	01:00:00	01:07:00	--
ROSLYN	LT2	2020-11-06 00:00:00	2020-11-06 23:59:59	00:23:00	00:23:00	--
ROSLYN	LT1	2020-11-06 00:00:00	2020-11-06 23:59:59	00:10:00	00:11:00	--
ROSLYN	3B	2020-11-06 00:00:00	2020-11-06 23:59:59	00:14:00	00:18:00	--
ROSLYN	4D	2020-11-06 00:00:00	2020-11-06 23:59:59	00:12:00	00:14:00	--
ROSLYN	LT6	2020-11-06 00:00:00	2020-11-06 23:59:59	05:33:00	05:54:00	--
ROSLYN	3C	2020-11-06 00:00:00	2020-11-06 23:59:59	00:03:00	00:06:00	--
ROSLYN	LT11	2020-11-06 00:00:00	2020-11-06 23:59:59	00:06:00	00:06:00	--
ROSLYN	LT4	2020-11-06 00:00:00	2020-11-06 23:59:59	00:04:00	00:04:00	--
ROSLYN	LT3	2020-11-06 00:00:00	2020-11-06 23:59:59	00:14:00	00:16:00	--
