VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2020-11-08 00:00:00;2020-11-08 23:59:59;23:34:00;23:53:00;00:07:00
CHIMERA;PUERTO TALARA;2020-11-08 00:00:00;2020-11-08 23:59:59;17:00:00;23:00:00;01:00:00
CHIP II;FLOTANTE PN;2020-11-08 00:00:00;2020-11-08 23:59:59;01:49:00;01:49:00;13:47:00
CHIP II;CAMPO PENA NEGRA;2020-11-08 00:00:00;2020-11-08 23:59:59;00:38:00;03:07:00;--
CHIP II;Z;2020-11-08 00:00:00;2020-11-08 23:59:59;00:02:00;00:03:00;--
CHIP II;LL;2020-11-08 00:00:00;2020-11-08 23:59:59;00:17:00;00:18:00;--
CHIP II;TT;2020-11-08 00:00:00;2020-11-08 23:59:59;00:12:00;00:14:00;--
CHIP II;A2;2020-11-08 00:00:00;2020-11-08 23:59:59;00:05:00;00:05:00;--
CHIP II;R;2020-11-08 00:00:00;2020-11-08 23:59:59;00:05:00;00:07:00;--
CHIP II;PN5;2020-11-08 00:00:00;2020-11-08 23:59:59;00:31:00;00:35:00;--
CHIP II;UU;2020-11-08 00:00:00;2020-11-08 23:59:59;00:22:00;00:22:00;--
CHIP II;M;2020-11-08 00:00:00;2020-11-08 23:59:59;00:05:00;00:08:00;--
CHIP II;FF;2020-11-08 00:00:00;2020-11-08 23:59:59;00:06:00;00:06:00;--
CHIP II;SS;2020-11-08 00:00:00;2020-11-08 23:59:59;00:09:00;00:09:00;--
CHIP II;GG;2020-11-08 00:00:00;2020-11-08 23:59:59;00:09:00;00:11:00;--
CHIP II;NN;2020-11-08 00:00:00;2020-11-08 23:59:59;00:14:00;00:14:00;--
CHIP II;PN14;2020-11-08 00:00:00;2020-11-08 23:59:59;00:06:00;00:07:00;--
CHIP II;DD;2020-11-08 00:00:00;2020-11-08 23:59:59;02:09:00;02:12:00;--
CHIP II;PN11;2020-11-08 00:00:00;2020-11-08 23:59:59;00:11:00;00:11:00;--
CHIP II;PN4;2020-11-08 00:00:00;2020-11-08 23:59:59;00:15:00;00:15:00;--
CHIRIBAY;PUERTO TALARA;2020-11-08 00:00:00;2020-11-08 23:59:59;23:55:00;23:55:00;00:05:00
D.VICTOR;PUERTO TALARA;2020-11-08 00:00:00;2020-11-08 23:59:59;07:34:00;10:20:00;00:48:00
D.VICTOR;R;2020-11-08 00:00:00;2020-11-08 23:59:59;00:40:00;00:50:00;--
D.VICTOR;PN3;2020-11-08 00:00:00;2020-11-08 23:59:59;00:10:00;00:10:00;--
D.VICTOR;PN8;2020-11-08 00:00:00;2020-11-08 23:59:59;00:10:00;00:19:00;--
D.VICTOR;PN1;2020-11-08 00:00:00;2020-11-08 23:59:59;00:10:00;00:10:00;--
D.VICTOR;LL;2020-11-08 00:00:00;2020-11-08 23:59:59;00:09:00;00:09:00;--
D.VICTOR;KK;2020-11-08 00:00:00;2020-11-08 23:59:59;00:10:00;00:10:00;--
D.VICTOR;PN4;2020-11-08 00:00:00;2020-11-08 23:59:59;00:19:00;00:29:00;--
D.VICTOR;FLOTANTE PN;2020-11-08 00:00:00;2020-11-08 23:59:59;00:50:00;00:50:00;--
D.VICTOR;LO6;2020-11-08 00:00:00;2020-11-08 23:59:59;01:40:00;01:40:00;--
D.VICTOR;RIO AMAZONAS;2020-11-08 00:00:00;2020-11-08 23:59:59;00:47:00;00:47:00;--
D.VICTOR;CAMPO LOBITOS;2020-11-08 00:00:00;2020-11-08 23:59:59;02:30:00;02:30:00;--
D.VICTOR;CAMPO PENA NEGRA;2020-11-08 00:00:00;2020-11-08 23:59:59;04:29:00;04:29:00;--
D.VICTOR;NN;2020-11-08 00:00:00;2020-11-08 23:59:59;00:19:00;00:19:00;--
ELIZABET;LO6;2020-11-08 00:00:00;2020-11-08 23:59:59;23:49:00;23:49:00;00:03:00
ELIZABET;CAMPO LOBITOS;2020-11-08 00:00:00;2020-11-08 23:59:59;00:08:00;00:08:00;--
