Virtual fleet for JAMES\BUCKLEY	PUERTO TALARA		23h 53m
Virtual fleet for JAMES\CHIMERA	PUERTO TALARA		23h 0m
Virtual fleet for JAMES\CHIP II	Flotante PN		1h 49m
Virtual fleet for JAMES\CHIP II	CAMPO PEA NEGRA		3h 7m
Virtual fleet for JAMES\CHIP II	Z		3m
Virtual fleet for JAMES\CHIP II	LL		18m
Virtual fleet for JAMES\CHIP II	TT		14m
Virtual fleet for JAMES\CHIP II	A2		5m
Virtual fleet for JAMES\CHIP II	R		7m
Virtual fleet for JAMES\CHIP II	PN5		35m
Virtual fleet for JAMES\CHIP II	UU		22m
Virtual fleet for JAMES\CHIP II	M		8m
Virtual fleet for JAMES\CHIP II	FF		6m
Virtual fleet for JAMES\CHIP II	SS		9m
Virtual fleet for JAMES\CHIP II	GG		11m
Virtual fleet for JAMES\CHIP II	NN		14m
Virtual fleet for JAMES\CHIP II	PN14		7m
Virtual fleet for JAMES\CHIP II	DD		2h 12m
Virtual fleet for JAMES\CHIP II	PN11		11m
Virtual fleet for JAMES\CHIP II	PN4		15m
Virtual fleet for JAMES\CHIRIBAY	PUERTO TALARA		23h 55m
Virtual fleet for JAMES\D.VICTOR	PUERTO TALARA		10h 20m
Virtual fleet for JAMES\D.VICTOR	Rio Amazonas		47m
Virtual fleet for JAMES\D.VICTOR	CAMPO LOBITOS		2h 30m
Virtual fleet for JAMES\D.VICTOR	CAMPO PEA NEGRA		4h 29m
Virtual fleet for JAMES\D.VICTOR	R		50m
Virtual fleet for JAMES\D.VICTOR	PN3		10m
Virtual fleet for JAMES\D.VICTOR	PN8		19m
Virtual fleet for JAMES\D.VICTOR	PN1		10m
Virtual fleet for JAMES\D.VICTOR	LL		9m
Virtual fleet for JAMES\D.VICTOR	KK		10m
Virtual fleet for JAMES\D.VICTOR	NN		19m
Virtual fleet for JAMES\D.VICTOR	PN4		29m
Virtual fleet for JAMES\D.VICTOR	Flotante PN		50m
Virtual fleet for JAMES\D.VICTOR	LO6		1h 40m
Virtual fleet for JAMES\ELIZABET	LO6		23h 49m
Virtual fleet for JAMES\ELIZABET	CAMPO LOBITOS		8m
Virtual fleet for JAMES\HIPPO	Mc Donald		23h 41m
Virtual fleet for JAMES\HIPPO	PUERTO TALARA		11m
Virtual fleet for JAMES\IRIS	Flotante PN		6h 51m
Virtual fleet for JAMES\IRIS	CAMPO PEA NEGRA		7h 31m
Virtual fleet for JAMES\IRIS	HH		2h 24m
Virtual fleet for JAMES\IRIS	Z		26m
Virtual fleet for JAMES\IRIS	KK		49m
Virtual fleet for JAMES\IRIS	PN7		20m
Virtual fleet for JAMES\IRIS	PN2		38m
Virtual fleet for JAMES\IRIS	PN8		45m
Virtual fleet for JAMES\IRIS	PN1		12m
Virtual fleet for JAMES\IRIS	TT		24m
Virtual fleet for JAMES\IRIS	OO		39m
Virtual fleet for JAMES\IRIS	LL		18m
Virtual fleet for JAMES\IRIS	A2		6m
Virtual fleet for JAMES\IRIS	R		8m
Virtual fleet for JAMES\IRIS	M		17m
Virtual fleet for JAMES\IRIS	FF		16m
Virtual fleet for JAMES\IRIS	PN5		2m
Virtual fleet for JAMES\IRIS	NN		11m
Virtual fleet for JAMES\IRIS	GG		8m
Virtual fleet for JAMES\IRIS	DD		11m
Virtual fleet for JAMES\IRIS	BB		13m
Virtual fleet for JAMES\IRIS	PN9		38m
Virtual fleet for JAMES\IRIS	PN3		15m
Virtual fleet for JAMES\KELLEY	CAMPO SAN PEDRO		18h 0m
Virtual fleet for JAMES\KELLEY	SP1-A		1h 0m
Virtual fleet for JAMES\KELLEY	SP1		4h 0m
Virtual fleet for JAMES\MISS D	Flotante LO		13h 29m
Virtual fleet for JAMES\MISS D	CAMPO LOBITOS		4h 21m
Virtual fleet for JAMES\MISS D	LO11		16m
Virtual fleet for JAMES\MISS D	LO7		2h 33m
Virtual fleet for JAMES\MISS D	LO6		5m
Virtual fleet for JAMES\MISS D	LO14		20m
Virtual fleet for JAMES\MISS D	U		0m
Virtual fleet for JAMES\MISS D	ZZ		2m
Virtual fleet for JAMES\MISS D	LO9		36m
Virtual fleet for JAMES\MISS D	H		26m
Virtual fleet for JAMES\MISS D	LO15		18m
Virtual fleet for JAMES\MISS D	LO8		45m
Virtual fleet for JAMES\MISS D	A8		6m
Virtual fleet for JAMES\MISS D	CC		7m
Virtual fleet for JAMES\MISS D	LO16		2m
Virtual fleet for JAMES\MISS D	LO10		3m
Virtual fleet for JAMES\MISS D	LO13		16m
Virtual fleet for JAMES\MR MATT	PUERTO TALARA		23h 37m
Virtual fleet for JAMES\MR MATT	Mc Donald		19m
Virtual fleet for JAMES\MR MATT	Rio Amazonas		1m
Virtual fleet for JAMES\NEPTUNO	PUERTO TALARA		18h 42m
Virtual fleet for JAMES\NEPTUNO	CAMPO LOBITOS		2h 0m
Virtual fleet for JAMES\NEPTUNO	CAMPO PEA NEGRA		1h 24m
Virtual fleet for JAMES\NEPTUNO	Flotante PN		1h 28m
Virtual fleet for JAMES\NEPTUNO	PN12		5m
Virtual fleet for JAMES\NEPTUNO	TT		7m
Virtual fleet for JAMES\NEPTUNO	Z		0m
Virtual fleet for JAMES\NEPTUNO	ZZ		0m
Virtual fleet for JAMES\NEPTUNO	PP		1m
Virtual fleet for JAMES\OLYMPIC	PUERTO TALARA		12h 1m
Virtual fleet for JAMES\OLYMPIC	Rio Amazonas		28m
Virtual fleet for JAMES\OLYMPIC	CAMPO LOBITOS		2h 36m
Virtual fleet for JAMES\OLYMPIC	LO18		0m
Virtual fleet for JAMES\OLYMPIC	LO13		8m
Virtual fleet for JAMES\OLYMPIC	LO16		12m
Virtual fleet for JAMES\OLYMPIC	LO10		8m
Virtual fleet for JAMES\OLYMPIC	LO7		12m
Virtual fleet for JAMES\OLYMPIC	Flotante LO		6m
Virtual fleet for JAMES\OLYMPIC	CAMPO PEA NEGRA		1h 8m
Virtual fleet for JAMES\OLYMPIC	PN2		15m
Virtual fleet for JAMES\OLYMPIC	BB		0m
Virtual fleet for JAMES\OLYMPIC	Flotante PN		11m
Virtual fleet for JAMES\OLYMPIC	PN7		0m
Virtual fleet for JAMES\OLYMPIC	OO		6h 13m
Virtual fleet for JAMES\OLYMPIC	Mc Donald		6m
Virtual fleet for JAMES\PARI„AS	Flotante LO		5m
Virtual fleet for JAMES\PARI„AS	CAMPO LOBITOS		1h 37m
Virtual fleet for JAMES\PARI„AS	PP		0m
Virtual fleet for JAMES\PARI„AS	PUERTO TALARA		14h 45m
Virtual fleet for JAMES\PARI„AS	Rio Amazonas		23m
Virtual fleet for JAMES\PARI„AS	Mc Donald		2h 6m
Virtual fleet for JAMES\PARI„AS	CAMPO PROVIDENCIA		1h 7m
Virtual fleet for JAMES\PARI„AS	CAMPO LITORAL		48m
Virtual fleet for JAMES\PARI„AS	LT2		1m
Virtual fleet for JAMES\PARI„AS	LT1		8m
Virtual fleet for JAMES\PARI„AS	LT3		11m
Virtual fleet for JAMES\PARI„AS	LT6		10m
Virtual fleet for JAMES\PARI„AS	4D		7m
Virtual fleet for JAMES\PARI„AS	3B		9m
Virtual fleet for JAMES\PARI„AS	LT12		1h 2m
Virtual fleet for JAMES\PARI„AS	PBL1		0m
Virtual fleet for JAMES\PARI„AS	JJ		0m
Virtual fleet for JAMES\PARI„AS	LO18		13m
Virtual fleet for JAMES\PARI„AS	LO16		9m
Virtual fleet for JAMES\PARI„AS	LO6		25m
Virtual fleet for JAMES\PARI„AS	LO7		19m
Virtual fleet for JAMES\ROSLYN	LT12		58m
Virtual fleet for JAMES\ROSLYN	3J		2h 50m
Virtual fleet for JAMES\ROSLYN	CAMPO LITORAL		1h 37m
Virtual fleet for JAMES\ROSLYN	LT2		45m
Virtual fleet for JAMES\ROSLYN	LT1		18m
Virtual fleet for JAMES\ROSLYN	3B		7m
Virtual fleet for JAMES\ROSLYN	4D		15m
Virtual fleet for JAMES\ROSLYN	LT6		5h 25m
Virtual fleet for JAMES\ROSLYN	3C		6m
