VEHICLE;PLATFORM;START_DATETIME;STOP_DATETIME;STANDBY_TIME;INSIDE_TIME;OUTSIDE_TIME
BUCKLEY;PUERTO TALARA;2020-12-14 00:00:00;2020-12-14 23:59:59;02:17:00;02:17:00;00:15:00
BUCKLEY;PG;2020-12-14 00:00:00;2020-12-14 23:59:59;05:08:00;08:25:00;--
BUCKLEY;LT12;2020-12-14 00:00:00;2020-12-14 23:59:59;02:55:00;02:59:00;--
BUCKLEY;LT1;2020-12-14 00:00:00;2020-12-14 23:59:59;00:21:00;00:42:00;--
BUCKLEY;LT3;2020-12-14 00:00:00;2020-12-14 23:59:59;00:17:00;00:29:00;--
BUCKLEY;LT2;2020-12-14 00:00:00;2020-12-14 23:59:59;02:09:00;02:19:00;--
BUCKLEY;3B;2020-12-14 00:00:00;2020-12-14 23:59:59;00:47:00;01:10:00;--
BUCKLEY;4D;2020-12-14 00:00:00;2020-12-14 23:59:59;00:32:00;00:54:00;--
BUCKLEY;LT6;2020-12-14 00:00:00;2020-12-14 23:59:59;00:33:00;00:43:00;--
BUCKLEY;RIO AMAZONAS;2020-12-14 00:00:00;2020-12-14 23:59:59;00:08:00;00:08:00;--
BUCKLEY;CAMPO PROVIDENCIA;2020-12-14 00:00:00;2020-12-14 23:59:59;01:32:00;01:32:00;--
BUCKLEY;CAMPO LITORAL;2020-12-14 00:00:00;2020-12-14 23:59:59;02:01:00;02:01:00;--
BUCKLEY;3J;2020-12-14 00:00:00;2020-12-14 23:59:59;00:03:00;00:03:00;--
BUCKLEY;LT11;2020-12-14 00:00:00;2020-12-14 23:59:59;00:03:00;00:03:00;--
CHIMERA;PUERTO TALARA;2020-12-14 00:00:00;2020-12-14 23:59:59;09:08:00;15:59:00;01:22:00
CHIMERA;MC DONALD;2020-12-14 00:00:00;2020-12-14 23:59:59;02:49:00;02:49:00;--
CHIMERA;FLOTANTE LO;2020-12-14 00:00:00;2020-12-14 23:59:59;01:00:00;01:00:00;--
CHIMERA;CAMPO LOBITOS;2020-12-14 00:00:00;2020-12-14 23:59:59;02:50:00;02:50:00;--
CHIP II;FLOTANTE PN;2020-12-14 00:00:00;2020-12-14 23:59:59;03:35:00;03:35:00;13:40:00
CHIP II;DD;2020-12-14 00:00:00;2020-12-14 23:59:59;00:08:00;00:18:00;--
CHIP II;PN14;2020-12-14 00:00:00;2020-12-14 23:59:59;00:06:00;00:06:00;--
CHIP II;NN;2020-12-14 00:00:00;2020-12-14 23:59:59;00:11:00;00:11:00;--
CHIP II;GG;2020-12-14 00:00:00;2020-12-14 23:59:59;00:08:00;00:20:00;--
CHIP II;R;2020-12-14 00:00:00;2020-12-14 23:59:59;00:15:00;00:22:00;--
CHIP II;M;2020-12-14 00:00:00;2020-12-14 23:59:59;00:12:00;00:12:00;--
CHIP II;PN5;2020-12-14 00:00:00;2020-12-14 23:59:59;00:25:00;00:26:00;--
CHIP II;UU;2020-12-14 00:00:00;2020-12-14 23:59:59;00:09:00;00:09:00;--
CHIP II;SS;2020-12-14 00:00:00;2020-12-14 23:59:59;00:09:00;00:10:00;--
CHIP II;FF;2020-12-14 00:00:00;2020-12-14 23:59:59;00:08:00;00:08:00;--
CHIP II;A2;2020-12-14 00:00:00;2020-12-14 23:59:59;00:07:00;00:08:00;--
CHIP II;TT;2020-12-14 00:00:00;2020-12-14 23:59:59;00:13:00;00:13:00;--
CHIP II;PN4;2020-12-14 00:00:00;2020-12-14 23:59:59;00:09:00;00:09:00;--
CHIP II;PN1;2020-12-14 00:00:00;2020-12-14 23:59:59;01:31:00;01:32:00;--
