VEHICLE	PLATFORM	START_DATETIME	STOP_DATETIME	STANDBY_TIME	INSIDE_TIME	OUTSIDE_TIME
BUCKLEY	CAMPO LOBITOS	2021-01-20 00:00:00	2021-01-20 23:59:59	00:11:00	03:48:00	00:07:00
BUCKLEY	FLOTANTE LO	2021-01-20 00:00:00	2021-01-20 23:59:59	14:29:00	14:40:00	--
BUCKLEY	CC	2021-01-20 00:00:00	2021-01-20 23:59:59	00:14:00	00:20:00	--
BUCKLEY	LO6	2021-01-20 00:00:00	2021-01-20 23:59:59	00:10:00	00:17:00	--
BUCKLEY	LO3	2021-01-20 00:00:00	2021-01-20 23:59:59	00:20:00	00:24:00	--
BUCKLEY	H	2021-01-20 00:00:00	2021-01-20 23:59:59	03:16:00	03:19:00	--
BUCKLEY	LO8	2021-01-20 00:00:00	2021-01-20 23:59:59	00:07:00	00:08:00	--
BUCKLEY	LO15	2021-01-20 00:00:00	2021-01-20 23:59:59	00:06:00	00:11:00	--
BUCKLEY	A8	2021-01-20 00:00:00	2021-01-20 23:59:59	00:06:00	00:07:00	--
BUCKLEY	PP	2021-01-20 00:00:00	2021-01-20 23:59:59	00:08:00	00:08:00	--
BUCKLEY	LO4	2021-01-20 00:00:00	2021-01-20 23:59:59	00:13:00	00:13:00	--
BUCKLEY	LO9	2021-01-20 00:00:00	2021-01-20 23:59:59	00:09:00	00:09:00	--
BUCKLEY	LO19	2021-01-20 00:00:00	2021-01-20 23:59:59	00:01:00	00:01:00	--
BUCKLEY	ZZ	2021-01-20 00:00:00	2021-01-20 23:59:59	00:01:00	00:01:00	--
BUCKLEY	LO7	2021-01-20 00:00:00	2021-01-20 23:59:59	00:07:00	00:07:00	--
CHIMERA	FLOTANTE LO	2021-01-20 00:00:00	2021-01-20 23:59:59	02:07:00	03:00:00	00:22:00
CHIMERA	PUERTO TALARA	2021-01-20 00:00:00	2021-01-20 23:59:59	06:04:00	08:08:00	--
CHIMERA	LO6	2021-01-20 00:00:00	2021-01-20 23:59:59	00:59:00	00:59:00	--
CHIMERA	LO9	2021-01-20 00:00:00	2021-01-20 23:59:59	01:00:00	01:00:00	--
CHIMERA	MC DONALD	2021-01-20 00:00:00	2021-01-20 23:59:59	00:01:00	00:01:00	--
CHIMERA	LO3	2021-01-20 00:00:00	2021-01-20 23:59:59	01:00:00	01:00:00	--
CHIMERA	PG	2021-01-20 00:00:00	2021-01-20 23:59:59	01:00:00	01:00:00	--
CHIMERA	CAMPO LOBITOS	2021-01-20 00:00:00	2021-01-20 23:59:59	04:31:00	04:31:00	--
CHIMERA	LO18	2021-01-20 00:00:00	2021-01-20 23:59:59	01:59:00	01:59:00	--
CHIMERA	PP	2021-01-20 00:00:00	2021-01-20 23:59:59	02:00:00	02:00:00	--
CHIP II	FLOTANTE PN	2021-01-20 00:00:00	2021-01-20 23:59:59	02:28:00	02:28:00	12:09:00
CHIP II	CAMPO PENA NEGRA	2021-01-20 00:00:00	2021-01-20 23:59:59	00:12:00	02:44:00	--
CHIP II	PN4	2021-01-20 00:00:00	2021-01-20 23:59:59	00:10:00	00:10:00	--
CHIP II	DD	2021-01-20 00:00:00	2021-01-20 23:59:59	00:11:00	00:18:00	--
CHIP II	KK	2021-01-20 00:00:00	2021-01-20 23:59:59	00:07:00	00:07:00	--
CHIP II	PN9	2021-01-20 00:00:00	2021-01-20 23:59:59	00:07:00	00:07:00	--
CHIP II	TT	2021-01-20 00:00:00	2021-01-20 23:59:59	03:18:00	03:25:00	--
